n-gram,frekvence
školství,145
také,127
již,99
děti,95
jejich,92
třeba,88
učitelů,85
další,82
návrh,81
mne,80
než,79
podle,77
dnes,76
procent,74
dětí,74
všem,74
skutečně,71
či,68
řešení,67
sněmovně,66
více,66
tedy,65
let,64
dluhů,64
poslanecké,64
den,62
ráda,59
díky,58
korun,58
zákona,57
mají,56
roku,55
rozpočtu,54
dětských,52
děkuji,52
jim,51
naše,51
sociální,51
zvýšení,51
ano,51
alespoň,50
rok,50
škol,49
dluhy,49
hodně,48
budu,48
sněmovny,48
práce,46
velmi,46
musí,46
české,46
školy,45
samozřejmě,45
čssd,45
vlády,44
pak,44
bych,44
zase,42
lidí,42
peníze,41
učitelé,41
nyní,41
především,41
jeho,41
bydlení,41
platů,40
mnoho,40
těch,39
exekuce,38
věci,38
insolvenčního,37
podporu,37
lidé,37
1,37
jde,36
přeji,36
věc,36
téma,36
zda,36
tisíc,36
dětských dluhů,38
insolvenčního zákona,35
poslanecké sněmovně,32
poslanecké sněmovny,32
pěkný den,28
sociální demokracie,22
15 procent,20
občanského zákoníku,18
platů učitelů,18
přeji všem,15
dětské dluhy,15
školského výboru,14
dlužnímu otroctví,14
více než,13
mimo jiné,12
den všem,12
příští rok,12
roce 2021,12
rok 2020,11
děkuji všem,11
pan ministr,11
průměrný plat,11
novelu insolvenčního,10
skvělá zpráva,10
poslanecká sněmovna,10
jana maláčová,10
zvýšení platů,10
druhá šance,10
naše děti,10
fórum rodinné,10
rodinné politiky,10
podle mého,9
díky všem,9
novely občanského,9
rozpočtu rok,9
dluhovému otroctví,9
rodiny dětmi,9
financování regionálního,9
regionálního školství,9
platy učitelů,9
české republiky,9
tří let,8
konec konců,8
návrh rozpočtu,8
mladí lidé,8
druhou šanci,8
dluhů dlužnímu,8
rodičovského příspěvku,8
000 kč,8
prvního dne,8
prohlášení vlády,8
dnes odpoledne,8
ministr plaga,8
tisíc korun,8
této věci,8
dluhové pasti,8
plat učitele,8
učitelek učitelů,8
rodičovský příspěvek,8
další krok,7
zvaných dětských,7
velmi rychle,7
půdě poslanecké,7
splácení dluhů,7
učitelkám učitelům,7
placení dluhů,7
komise ústavu,7
více mém,7
učitelky učitele,7
ministr školství,7
paní ministryně,7
deset procent,7
1750 korun,7
korun měsíčně,7
roku 2017,7
mého působení,7
maturitu matematiky,7
učitelkami učiteli,7
návrh novely,7
naší zemi,7
pěkný den všem,11
novelu insolvenčního zákona,10
fórum rodinné politiky,10
novely občanského zákoníku,9
financování regionálního školství,9
dluhů dlužnímu otroctví,8
zvaných dětských dluhů,7
půdě poslanecké sněmovny,7
rozpočtu rok 2020,7
průměrný plat učitele,7
novely insolvenčního zákona,6
novela insolvenčního zákona,6
placení dluhů dlužnímu,6
programové prohlášení vlády,6
exekuce dětských dluhů,6
ústavně právního výboru,5
ano placení dluhů,5
reformy financování regionálního,5
během tří let,5
zvýšení platů učitelů,5
učitelů 15 procent,5
kolegy poslanecké sněmovně,5
rodinné politiky 2019,5
zvýšení rodičovského příspěvku,5
nového předsedy školského,4
předsedy školského výboru,4
všem krásný den,4
dnešního kulatého stolu,4
jeden dlužník jeden,4
dlužník jeden exekutor,4
dluhů dluhovému otroctví,4
nových dětských dluhů,4
rodiny dětmi seniory,4
exekuce očima povinného,4
době mého působení,4
platů učitelů 15,4
první návrh rozpočtu,4
bezpečnost ochrana zdraví,4
ochrana zdraví školství,4
zemí višegrádské čtyřky,4
stálé komise ústavu,4
návrh novely občanského,4
všem zraněným přeji,4
novelu exekučního řádu,4
konference fórum rodinné,4
napříč politickým spektrem,4
přeji všem krásný,3
platformy sociální bydlení,3
vyloučení bydlení rok,3
občanského zákoníku zákazu,3
zákoníku zákazu dětských,3
zákazu dětských dluhů,3
nejvyššího kontrolního úřadu,3
poslanecké sněmovny seminář,3
sněmovny seminář šikaně,3
mladí lidé mohli,3
splácení dluhů dluhovému,3
přeji všem pěkný,3
přeji brzké uzdravení,3
dnešní koaliční rada,3
rodičovského příspěvku 300,3
české asociace povinných,3
poslanecké sněmovny tomáš,3
sněmovny tomáš hanzel,3
proplácení nemocenské prvního,3
nemocenské prvního dne,3
reformu financování regionálního,3
zrušení karenční doby,3
nemocní dostávat peníze,3
souboru tyl dolních,3
český rozhlas plus,3
kounicových kolejích brně,3
svazu průmyslu dopravy,3
ano splácení dluhů,3
komise ústavu poslanecké,3
ústavu poslanecké sněmovny,3
regiony české republiky,3
1 6 2019,3
páté národní konference,3
roce 2021 průměrný,3
placení dluhů dlužnímu otroctví,6
reformy financování regionálního školství,5
fórum rodinné politiky 2019,5
nového předsedy školského výboru,4
jeden dlužník jeden exekutor,4
ano placení dluhů dlužnímu,4
platů učitelů 15 procent,4
bezpečnost ochrana zdraví školství,4
návrh novely občanského zákoníku,4
konference fórum rodinné politiky,4
přeji všem krásný den,3
novely občanského zákoníku zákazu,3
občanského zákoníku zákazu dětských,3
zákoníku zákazu dětských dluhů,3
půdě poslanecké sněmovny seminář,3
poslanecké sněmovny seminář šikaně,3
splácení dluhů dluhovému otroctví,3
poslanecké sněmovny tomáš hanzel,3
proplácení nemocenské prvního dne,3
reformu financování regionálního školství,3
zvýšení platů učitelů 15,3
komise ústavu poslanecké sněmovny,3
roce 2021 průměrný plat,3
dneska otázkách václava moravce,3
konferenci fórum rodinné politiky,3
obrovská gratulace pavlíně kopáčikové,3
gratulace pavlíně kopáčikové samozřejmě,3
pavlíně kopáčikové samozřejmě vítězství,3
kopáčikové samozřejmě vítězství hlavně,3
samozřejmě vítězství hlavně jaký,3
vítězství hlavně jaký vztah,3
hlavně jaký vztah dětmi,3
jaký vztah dětmi jim,3
vztah dětmi jim funguje,3
dětmi jim funguje nádhera,3
jim funguje nádhera atmosféra,3
neskutečná absolutní dokonalá díky,3
učitelům díky pořadatelům díky,3
díky pořadatelům díky zase,3
pořadatelům díky zase rok,3
právě teď poslanecké sněmovně,3
předsedkyně stálé komise ústavu,3
stálá komise poslanecké sněmovny,3
komise poslanecké sněmovny ústavu,3
výročních zpráv české televize,3
děti školy lysicích blanensku,2
školy lysicích blanensku vzpomínku,2
paní dějepisářku zemřela tragické,2
dějepisářku zemřela tragické nehodě,2
mířila čtyřicítkou žákyň žáků,2
čtyřicítkou žákyň žáků exkurzi,2
žákyň žáků exkurzi lidic,2
dnes senátním výboru hospodářství,2
senátním výboru hospodářství zemědělství,2
výboru hospodářství zemědělství dopravu,2
hospodářství zemědělství dopravu obhajovat,2
zemědělství dopravu obhajovat novelu,2
dopravu obhajovat novelu insolvenčního,2
obhajovat novelu insolvenčního zákona,2
novelu insolvenčního zákona umožňuje,2
insolvenčního zákona umožňuje rychlejší,2
zákona umožňuje rychlejší řešení,2
umožňuje rychlejší řešení zvaných,2
rychlejší řešení zvaných dětských,2
řešení zvaných dětských dluhů,2
zvaných dětských dluhů děkuji,2
dětských dluhů děkuji vstřícné,2
dluhů děkuji vstřícné přijetí,2
děkuji vstřícné přijetí doufám,2
vstřícné přijetí doufám dobré,2
přijetí doufám dobré dílo,2
doufám dobré dílo již,2
dobré dílo již velmi,2
dílo již velmi rychle,2
již velmi rychle podaří,2
velmi rychle podaří dokončit,2
první popřáli manžel petr,2
popřáli manžel petr doma,2
manžel petr doma sněmovně,2
petr doma sněmovně kolega,2
ano placení dluhů dlužnímu otroctví,4
novely občanského zákoníku zákazu dětských,3
občanského zákoníku zákazu dětských dluhů,3
půdě poslanecké sněmovny seminář šikaně,3
zvýšení platů učitelů 15 procent,3
obrovská gratulace pavlíně kopáčikové samozřejmě,3
gratulace pavlíně kopáčikové samozřejmě vítězství,3
pavlíně kopáčikové samozřejmě vítězství hlavně,3
kopáčikové samozřejmě vítězství hlavně jaký,3
samozřejmě vítězství hlavně jaký vztah,3
vítězství hlavně jaký vztah dětmi,3
hlavně jaký vztah dětmi jim,3
jaký vztah dětmi jim funguje,3
vztah dětmi jim funguje nádhera,3
dětmi jim funguje nádhera atmosféra,3
učitelům díky pořadatelům díky zase,3
díky pořadatelům díky zase rok,3
stálá komise poslanecké sněmovny ústavu,3
konference fórum rodinné politiky 2019,3
děti školy lysicích blanensku vzpomínku,2
paní dějepisářku zemřela tragické nehodě,2
mířila čtyřicítkou žákyň žáků exkurzi,2
čtyřicítkou žákyň žáků exkurzi lidic,2
dnes senátním výboru hospodářství zemědělství,2
senátním výboru hospodářství zemědělství dopravu,2
výboru hospodářství zemědělství dopravu obhajovat,2
hospodářství zemědělství dopravu obhajovat novelu,2
zemědělství dopravu obhajovat novelu insolvenčního,2
dopravu obhajovat novelu insolvenčního zákona,2
obhajovat novelu insolvenčního zákona umožňuje,2
novelu insolvenčního zákona umožňuje rychlejší,2
insolvenčního zákona umožňuje rychlejší řešení,2
zákona umožňuje rychlejší řešení zvaných,2
umožňuje rychlejší řešení zvaných dětských,2
rychlejší řešení zvaných dětských dluhů,2
řešení zvaných dětských dluhů děkuji,2
zvaných dětských dluhů děkuji vstřícné,2
