n-gram,frekvence
pana,98
premiéra,92
zájmů,88
jeho,87
podle,78
čr,76
eu,74
pan,74
střetu,71
babiš,62
také,61
jde,57
babiše,57
mě,55
premiér,52
podvod,50
evropské,45
komise,45
ek,44
další,42
státu,40
ano,39
proti,38
parlamentu,36
senát,34
senátu,34
dotace,34
dnes,34
tedy,34
stát,33
zákona,32
dotací,32
peníze,32
kterou,30
jednání,30
čapí,30
vlády,29
státní,29
právě,28
korun,28
hnízdo,28
paní,28
dotační,27
let,27
holdingu,26
senátor,25
soud,25
agrofert,25
bohužel,25
české,24
jejich,24
zástupce,24
evropského,24
soudu,24
rád,24
měl,24
čez,24
říká,23
milionů,23
možné,23
rozpočtu,23
děkuji,23
auditní,23
kvůli,22
nyní,22
musí,22
bych,21
prezidenta,21
ministryně,21
audit,21
miliardy,21
auditu,21
přes,21
mu,20
včera,20
rozhodnutí,20
již,20
své,19
případě,19
teď,19
střetu zájmů,66
pana premiéra,50
senát parlamentu,28
parlamentu čr,27
čapí hnízdo,27
premiéra babiše,21
pan premiér,20
andrej babiš,19
evropské komise,18
střet zájmů,16
dotační podvod,15
evropská komise,15
převzetí státu,14
paní ministryně,12
pana babiše,11
andreje babiše,11
hnutí ano,11
zájmů premiéra,10
miliardy korun,10
premiér babiš,9
veřejnoprávních médií,9
daňových poplatníků,9
zákona střetu,9
státní zástupce,9
svěřenských fondů,9
nezávislost veřejnoprávních,8
zájmů pana,8
mého názoru,8
dobrý den,8
podle zákona,8
kauze čapí,7
pan babiš,7
čerpání dotací,7
pana šarocha,7
evropské radě,7
podle mého,7
tomto případě,7
česká republika,7
agent stb,7
veřejných zakázek,7
rop sz,7
auditní zprávy,7
monitorovací systém,7
podle mě,7
premiéra jeho,6
rozpočtu eu,6
senátor 21,6
české republiky,6
hrubé porušení,6
porušení ústavy,6
prokázaný dotační,6
milionů korun,6
evropského parlamentu,6
panem premiérem,6
auditních zpráv,6
trestný čin,6
evropského práva,6
můžete sledovat,5
pana prezidenta,5
dotačního podvodu,5
českou republiku,5
státního rozpočtu,5
jednání pana,5
komise senátu,5
ministryně dostálová,5
zneužití pravomoci,5
chtěl bych,5
state capture,5
našich daní,5
několik let,5
svěřenského fondu,5
pan pecka,5
trestné činnosti,5
českého premiéra,5
miliard korun,5
děkuji všem,5
evropského nařízení,5
sdělovací prostředky,5
stovky milionů,4
státního zástupce,4
senát parlamentu čr,27
zákona střetu zájmů,9
pana premiéra babiše,9
střetu zájmů premiéra,8
kauze čapí hnízdo,7
nezávislost veřejnoprávních médií,7
podle mého názoru,7
zájmů pana premiéra,6
zájmů premiéra babiše,6
hrubé porušení ústavy,6
střetu zájmů pana,5
pan premiér babiš,4
malého středního podniku,4
veřejnoprávních médií čr,4
jednání evropské rady,4
republiky hrubé porušení,4
paní ministryně dostálová,4
prokázaný dotační podvod,4
schůzi senát parlamentu,4
babiš střetu zájmů,4
jednání pana premiéra,4
mého volebního obvodu,4
premiér andrej babiš,4
stálá komise senátu,4
komise senátu sdělovací,4
senátu sdělovací prostředky,4
zákon střetu zájmů,3
definice malého středního,3
můžete sledovat online,3
manželky koaličního partnera,3
střet zájmů pana,3
peníze daňových poplatníků,3
liberální demokracii senátor,3
větší dotační podvod,3
dotační podvod než,3
korupce převzetí státu,3
jeho střetu zájmů,3
evidovaný agent stb,3
nejvyšší správní soud,3
syna pana premiéra,3
pana premiéra jeho,3
malý střední podnik,3
soudní dvůr eu,3
prezidenta republiky hrubé,3
poskytnout auditní zprávy,3
založení svěřenských fondů,3
výnosů trestné činnosti,3
chtěl bych poděkovat,3
podle evropského nařízení,3
usnesení vyzývající vládu,3
vyzývající vládu spolupráci,3
voleb evropského parlamentu,3
hnutí ano 2011,3
schůze senát parlamentu,2
včera fungovalo tady,2
fungovalo tady alespoň,2
fóra pražských senátorů,2
šaroch mohl rozhodnout,2
mohl rozhodnout rozporu,2
rozhodnout rozporu evropským,2
rozporu evropským soudem,2
odpověď otázku ministři,2
otázku ministři mmr,2
ministři mmr dlouhodobě,2
mmr dlouhodobě protěžují,2
dlouhodobě protěžují prostřednictvím,2
protěžují prostřednictvím netransparentních,2
prostřednictvím netransparentních zakázek,2
netransparentních zakázek společnost,2
zakázek společnost dodává,2
společnost dodává nespolehlivé,2
dodává nespolehlivé aplikace,2
nespolehlivé aplikace nesmyslné,2
aplikace nesmyslné stovky,2
nesmyslné stovky milionů,2
stovky milionů jaká,2
milionů jaká výhoda,2
jaká výhoda komu,2
výhoda komu plyne,2
opakovaně pokusil urazit,2
střetu zájmů premiéra babiše,5
nezávislost veřejnoprávních médií čr,4
republiky hrubé porušení ústavy,4
stálá komise senátu sdělovací,4
komise senátu sdělovací prostředky,4
definice malého středního podniku,3
střet zájmů pana premiéra,3
větší dotační podvod než,3
střetu zájmů pana premiéra,3
