n-gram,frekvence
dnes,157
vláda,89
rád,86
díky,73
také,69
sociálních,66
let,65
jednání,63
naše,62
mě,60
všem,59
služeb,56
jejich,54
všechny,53
setkání,53
chceme,52
další,52
společně,51
musí,49
budeme,48
děkuji,48
již,46
teď,43
naši,43
naší,42
budu,40
ústavní,40
čr,40
jeho,39
strany,39
velmi,38
prostřednictvím,38
důležité,38
včera,37
sněmovně,37
nejen,37
my,37
než,36
musíme,36
peníze,36
premiéra,35
zde,34
týden,34
návrh,34
poslanecké,34
skutečně,34
více,33
vlády,33
zákona,33
den,32
chci,32
sněmovny,32
pátek,32
své,31
práce,31
potřeba,31
výborný,31
podporu,30
předsedy,30
rodiny,30
služby,29
jde,29
právě,29
dnešní,29
sociální,28
příspěvek,28
předseda,27
vše,27
vody,27
jim,27
ano,27
bohužel,27
rodina,26
řešení,26
pak,26
našich,26
stát,25
vládě,25
měl,25
přeji,25
sociálních služeb,50
dofinancování sociálních,21
sociální služby,18
poslanecké sněmovně,17
děkuji všem,16
výborný pátek,16
ústavní ochranu,15
mimo jiné,15
vody půdy,14
pana premiéra,14
financování sociálních,13
ochranu vody,13
poslanecké sněmovny,13
4 let,13
tomáš zdechovský,13
100 let,12
evropského parlamentu,12
rodičovský příspěvek,12
michaela šojdrová,11
rodičovského příspěvku,10
budu rád,10
pardubického kraje,10
budu těšit,10
víc než,9
insolvenčního zákona,9
andrej babiš,9
gymnázium pardubice,9
andreje babiše,9
vychované dítě,9
již zítra,8
heřmanově městci,8
pardubice mozartova,8
práce sociálních,8
sociálních věcí,8
let věku,8
500 korun,8
každé vychované,8
střet zájmů,8
marek výborný,8
musí platit,7
paní ministryně,7
volebního zákona,7
roman línek,7
přeji krásný,7
lepší evropu,7
marian jurečka,7
události komentáře,7
církevních restitucí,7
zdanění náhrad,7
náhrad církvím,7
sociálních službách,7
15 let,7
zvýšení rodičovského,7
okresní konferenci,7
mladí lidovci,7
dvě miliardy,6
bychom měli,6
naší země,6
mnohem více,6
šárka jelínková,6
jednání sněmovny,6
dětmi 4,6
2 miliardy,6
krásný víkend,6
jan bartošek,6
dobrá zpráva,6
prezidenta republiky,6
partii primě,6
pan premiér,6
vládní koalice,6
pavel svoboda,6
klidnou sílu,6
naši svobodu,6
miluše horská,6
příští týden,5
platy učitelů,5
podpora rodiny,5
kandidátů předsedu,5
novelu insolvenčního,5
ústavní stížnost,5
dofinancování sociálních služeb,21
financování sociálních služeb,13
ústavní ochranu vody,11
ochranu vody půdy,9
gymnázium pardubice mozartova,8
práce sociálních věcí,8
4 let věku,8
každé vychované dítě,8
zvýšení rodičovského příspěvku,7
dětmi 4 let,6
novelu insolvenčního zákona,5
pardubice mozartova 449,5
padni komu padni,5
přeji krásný víkend,5
zdanění církevních restitucí,5
zdanění náhrad církvím,5
aktuální politické situaci,5
novelu volebního zákona,4
sociálních služeb rok,4
kandidáty evropského parlamentu,4
krásný víkend budu,4
víkend budu těšit,4
budu těšit zase,4
budu rád vaše,4
tomáš zdechovský michaela,4
zdechovský michaela šojdrová,4
ministryně práce sociálních,4
evropské lidové strany,4
miluše horská senátorka,4
horská senátorka pardubicko,4
senátorka pardubicko přeloučsko,4
pardubicko přeloučsko chlumecko,4
předseda marek výborný,4
problémy pana premiéra,4
musí platit všechny,3
zisk jednoho mandátu,3
přepočet hlasů mandáty,3
21 tisíc hlasů,3
tisíc hlasů víc,3
hlasů víc než,3
víc než 5,3
než 5 lety,3
slavíme 100 let,3
vy budu rád,3
hejtmana pardubického kraje,3
pardubického kraje roman,3
kraje roman línek,3
ochrana vody půdy,3
jeden všechny jednoho,3
petice ústavní ochranu,3
mého gymnázium pardubice,3
rodiny dětmi 4,3
jednání poslanecké sněmovny,3
peníze dofinancování sociálních,3
pěvecký sbor vlastislav,3
předseda podvýboru problematiku,3
podvýboru problematiku exekucí,3
problematiku exekucí insolvencí,3
exekucí insolvencí oddlužení,3
marian jurečka jan,3
jurečka jan bartošek,3
500 korun každé,3
korun každé vychované,3
víc než tichou,3
než tichou vzpomínku,3
otázky václava moravce,3
zájmů pana premiéra,3
debaty kandidátů předsedu,3
těšit zase týden,3
všechny rodiče dětmi,3
rodiče dětmi 4,3
70 000 rodin,3
peníze sociální služby,3
naši petici ústavní,3
petici ústavní ochranu,3
čeští daňoví poplatníci,3
hlasovat nedůvěře vládě,3
zloděj křičí zdaňte,3
křičí zdaňte ukradl,3
mladí křesťanští demokraté,3
ústavní ochranu vody půdy,7
gymnázium pardubice mozartova 449,5
přeji krásný víkend budu,4
krásný víkend budu těšit,4
tomáš zdechovský michaela šojdrová,4
ministryně práce sociálních věcí,4
miluše horská senátorka pardubicko,4
horská senátorka pardubicko přeloučsko,4
senátorka pardubicko přeloučsko chlumecko,4
21 tisíc hlasů víc,3
tisíc hlasů víc než,3
hlasů víc než 5,3
víc než 5 lety,3
hejtmana pardubického kraje roman,3
pardubického kraje roman línek,3
petice ústavní ochranu vody,3
mého gymnázium pardubice mozartova,3
rodiny dětmi 4 let,3
peníze dofinancování sociálních služeb,3
víkend budu těšit zase,3
předseda podvýboru problematiku exekucí,3
podvýboru problematiku exekucí insolvencí,3
problematiku exekucí insolvencí oddlužení,3
marian jurečka jan bartošek,3
500 korun každé vychované,3
korun každé vychované dítě,3
víc než tichou vzpomínku,3
budu těšit zase týden,3
všechny rodiče dětmi 4,3
rodiče dětmi 4 let,3
naši petici ústavní ochranu,3
petici ústavní ochranu vody,3
zloděj křičí zdaňte ukradl,3
našimi kandidáty evropského parlamentu,3
michaela šojdrová tomáš zdechovský,3
maminkám každé vychované dítě,3
především ods stan top,2
získali 21 tisíc hlasů,2
musíme přicházet konkrétními tématy,2
chybí dvě miliardy korun,2
dneska slavíme 100 let,2
václava havla něj bychom,2
havla něj bychom svobodu,2
něj bychom svobodu neměli,2
iniciovali svolání mimořádné schůze,2
svolání mimořádné schůze jediným,2
mimořádné schůze jediným chceme,2
schůze jediným chceme vlády,2
jediným chceme vlády slyšet,2
chceme vlády slyšet závazek,2
vlády slyšet závazek nejpozději,2
slyšet závazek nejpozději poloviny,2
závazek nejpozději poloviny června,2
nejpozději poloviny června najdou,2
poloviny června najdou dvě,2
června najdou dvě miliardy,2
najdou dvě miliardy zachrání,2
dvě miliardy zachrání financování,2
miliardy zachrání financování sociálních,2
zachrání financování sociálních služeb,2
financování sociálních služeb rok,2
myslíte vy budu rád,2
náměstek hejtmana pardubického kraje,2
ochranu vody půdy rád,2
ostrožské nové vsi společně,2
všechny rodiny dětmi 4,2
daňový poplatník nesmí korunou,2
poplatník nesmí korunou podílet,2
nesmí korunou podílet řešení,2
schválili novelu insolvenčního zákona,2
lékař léčit usmrcovat udělá,2
léčit usmrcovat udělá vše,2
usmrcovat udělá vše zákon,2
udělá vše zákon přímým,2
vše zákon přímým útokem,2
zákon přímým útokem lidský,2
přímým útokem lidský život,2
útokem lidský život úctu,2
lidský život úctu němu,2
život úctu němu nikdy,2
přeji krásný víkend budu těšit,4
miluše horská senátorka pardubicko přeloučsko,4
horská senátorka pardubicko přeloučsko chlumecko,4
21 tisíc hlasů víc než,3
tisíc hlasů víc než 5,3
hlasů víc než 5 lety,3
hejtmana pardubického kraje roman línek,3
krásný víkend budu těšit zase,3
předseda podvýboru problematiku exekucí insolvencí,3
podvýboru problematiku exekucí insolvencí oddlužení,3
500 korun každé vychované dítě,3
všechny rodiče dětmi 4 let,3
naši petici ústavní ochranu vody,3
získali 21 tisíc hlasů víc,2
václava havla něj bychom svobodu,2
havla něj bychom svobodu neměli,2
iniciovali svolání mimořádné schůze jediným,2
svolání mimořádné schůze jediným chceme,2
mimořádné schůze jediným chceme vlády,2
schůze jediným chceme vlády slyšet,2
jediným chceme vlády slyšet závazek,2
chceme vlády slyšet závazek nejpozději,2
vlády slyšet závazek nejpozději poloviny,2
slyšet závazek nejpozději poloviny června,2
závazek nejpozději poloviny června najdou,2
nejpozději poloviny června najdou dvě,2
poloviny června najdou dvě miliardy,2
června najdou dvě miliardy zachrání,2
najdou dvě miliardy zachrání financování,2
dvě miliardy zachrání financování sociálních,2
miliardy zachrání financování sociálních služeb,2
zachrání financování sociálních služeb rok,2
náměstek hejtmana pardubického kraje roman,2
petice ústavní ochranu vody půdy,2
všechny rodiny dětmi 4 let,2
daňový poplatník nesmí korunou podílet,2
poplatník nesmí korunou podílet řešení,2
lékař léčit usmrcovat udělá vše,2
léčit usmrcovat udělá vše zákon,2
usmrcovat udělá vše zákon přímým,2
udělá vše zákon přímým útokem,2
vše zákon přímým útokem lidský,2
zákon přímým útokem lidský život,2
přímým útokem lidský život úctu,2
útokem lidský život úctu němu,2
lidský život úctu němu nikdy,2
život úctu němu nikdy schválen,2
úctu němu nikdy schválen věnujme,2
němu nikdy schválen věnujme podpoře,2
nikdy schválen věnujme podpoře hospicové,2
schválen věnujme podpoře hospicové paliativní,2
věnujme podpoře hospicové paliativní péče,2
veřejným zájmem znát výsledky auditu,2
nižší odvody pracující rodiče 500,2
odvody pracující rodiče 500 korun,2
pracující rodiče 500 korun důchodu,2
rodiče 500 korun důchodu každé,2
500 korun důchodu každé vychované,2
korun důchodu každé vychované dítě,2
zaslouží víc než tichou vzpomínku,2
vděčný děti můžou žít svobodě,2
děti můžou žít svobodě můžou,2
můžou žít svobodě můžou represí,2
žít svobodě můžou represí říkat,2
svobodě můžou represí říkat myslí,2
můžou represí říkat myslí chodit,2
represí říkat myslí chodit chtějí,2
víc než 5 lety obrovský,2
než 5 lety obrovský závazek,2
víkend budu těšit zase týden,2
konzervativní politika moderní politikou evropy,2
rodiče dětmi 4 let věku,2
korun každé vychované dítě ženy,2
každé vychované dítě ženy mají,2
vychované dítě ženy mají průměru,2
hřebčín dnes baku zapsán seznam,2
dnes baku zapsán seznam světového,2
baku zapsán seznam světového dědictví,2
zapsán seznam světového dědictví unesco,2
seznam světového dědictví unesco skvělá,2
