n-gram,frekvence
eu,124
děti,89
dnes,78
dětí,76
děkuji,71
evropské,62
mě,56
pomoci,55
jeho,53
podle,52
díky,51
čr,49
ep,43
my,41
parlamentu,40
dětem,39
jim,39
země,38
naše,38
let,37
své,37
také,36
lidí,36
naší,36
jejich,36
podporu,35
řecku,35
pomoc,35
ráda,35
věřím,34
musí,33
více,33
zemi,33
lepší,33
další,32
den,32
vy,32
musíme,32
proti,31
strany,31
bruselu,30
komise,30
ano,29
než,29
právě,29
mají,28
budu,28
velmi,28
vláda,28
všem,28
teď,27
stejně,27
lidé,27
světě,26
uprchlických,26
česká,26
situaci,25
evropského,25
stále,25
epp,24
premiéra,24
šojdrová,23
pak,23
skutečně,23
třeba,23
přijetí,23
české,22
mezi,22
naši,22
měla,22
evropských,22
volby,22
řecka,21
budeme,21
dobře,21
roku,21
unie,21
pomáhat,21
společnosti,21
evropě,21
evropského parlamentu,20
evropské unie,16
evropském parlamentu,15
uprchlických dětí,14
evropský parlament,14
evropské unii,13
lidských práv,12
podle mě,12
evropské komise,11
česká republika,10
dobrý den,10
naše země,9
češi pomáhají,9
naši zemi,9
michaela šojdrová,9
nicholas winton,8
lidská práva,7
nedoprovázených dětí,7
držím palce,7
paní šojdrová,6
pracovních míst,6
von der,6
podle něj,6
naše děti,6
hezký večer,6
uprchlických táborů,6
táborů řecku,6
lepší evropu,6
post předsedy,6
obětem války,6
česká vláda,6
evropskou unii,6
uprchlické děti,6
30 let,6
budu ráda,6
evropských lidovců,6
české republice,5
děkuji všem,5
petr pithart,5
evropských voleb,5
manfred weber,5
přijetí nedoprovázených,5
dětským obětem,5
dobrovolnou solidaritu,5
řeckých ostrovech,5
volby evropského,5
právní stát,5
celém světě,5
minulý týden,5
200 rodin,5
střetu zájmů,5
pevně věřím,5
předsedu evropské,5
děti kterým,4
chci poděkovat,4
skvělá zpráva,4
ursula von,4
uprchlického tábora,4
práva dětí,4
přijetí syrských,4
řeckých uprchlických,4
der leyen,4
zemědělském výboru,4
nedoprovázených uprchlických,4
sociálních sítích,4
minulý rok,4
pavel svoboda,4
církevních restitucí,4
chtějí pomoci,4
přijetí dětí,4
dětí doprovodu,4
000 pracovních,4
nicholase wintona,4
další kroky,4
území evropské,4
právě teď,4
lídři eu,4
eu další,4
pan premiér,4
nezaopatřených uprchlických,4
uprchlických táborů řecku,5
dětským obětem války,5
volby evropského parlamentu,5
předsedu evropské komise,5
ursula von der,4
von der leyen,4
nedoprovázených uprchlických dětí,4
000 pracovních míst,4
území evropské unie,4
nezaopatřených uprchlických dětí,4
polil hořlavinou zapálil,3
krok správným směrem,3
naší lidskou zodpovědností,3
lidskou zodpovědností povinností,3
strany obchodních řetězců,3
evropský sbor solidarity,3
sir nicholas winton,3
chci poděkovat všem,3
výzva svědomí evropy,3
okolo 200 rodin,3
evropská lidová strana,3
uprchlických dětí doprovodu,3
konec dvojí kvality,3
děkuji všem podporu,3
dvojí kvalitu potravin,3
evropského sboru solidarity,3
situaci pronásledovaných křesťanů,2
václavském náměstí praze,2
květnou neděli významný,2
neděli významný den,2
příjezd ježíše jeruzaléma,2
ježíše jeruzaléma lid,2
jeruzaléma lid vítal,2
lid vítal palmovými,2
vítal palmovými větvemi,2
palmovými větvemi používáme,2
větvemi používáme kočičky,2
děkuji mohla mladým,2
mohla mladým lidoveckým,2
mladým lidoveckým nadějím,2
lidoveckým nadějím promluvit,2
nadějím promluvit velmi,2
promluvit velmi vážím,2
velmi vážím krásných,2
vážím krásných žlutých,2
krásných žlutých ponožek,2
podle prvotních informací,2
takový komentář cílem,2
vzdělání možnost zařadit,2
možnost zařadit společnosti,2
cílem ulevit přetížené,2
ulevit přetížené řecké,2
přetížené řecké vládě,2
skvělá zpráva demokratická,2
zpráva demokratická země,2
demokratická země navíc,2
země navíc skutečně,2
navíc skutečně investuje,2
skutečně investuje české,2
investuje české republice,2
české republice velké,2
republice velké množství,2
velké množství peněz,2
množství peněz vytváří,2
peněz vytváří tisíce,2
vytváří tisíce pracovních,2
tisíce pracovních míst,2
pracovních míst mě,2
