n-gram,frekvence
dnes,47
než,38
mě,35
tedy,31
teď,30
takže,29
vlády,27
uhlí,25
ab,25
ano,25
více,24
vláda,23
třeba,23
opravdu,23
no,22
peníze,22
tady,21
let,21
chce,21
proti,20
stát,19
dopravy,19
bych,19
právě,19
vše,18
další,18
ovšem,18
mají,17
jeden,17
podle,17
prostě,17
kraje,17
prostředí,17
lounech,16
kraj,16
země,16
ministr,16
měl,16
tehdy,15
jeho,15
pár,15
době,15
top,15
vlastně,15
české,15
díky,15
my,15
zákon,15
naší,14
totiž,14
musí,14
přesně,14
čr,14
09,14
mohl,14
eu,14
zákona,14
babiše,13
všechny,13
vy,13
řešení,13
místo,13
naše,12
zase,12
práce,12
30,12
velmi,12
naprosto,12
těch,12
dálnice,12
nikdo,12
česku,11
mezi,11
nové,11
vypadá,11
řízení,11
pouze,11
lidé,11
také,11
pak,11
top 09,13
více než,10
životního prostředí,10
těší mě,8
předseda vlády,7
dobrá zpráva,7
dan pitek,6
hnědého uhlí,6
životní prostředí,6
karel schwarzenberg,5
andreje babiše,5
století páry,5
zákoník práce,5
ústecký kraj,5
hospodářském výboru,5
prezident zeman,4
více peněz,4
těžba hnědého,4
václav havel,4
slevy jízdném,4
stavebního zákona,4
stavební zákon,4
opravdu chceme,4
rudá věž,4
věž smrti,4
údolí berounky,4
ministra dopravy,4
vzpomeňme rok,4
přírody krajiny,4
mnoho zdaru,4
3 roky,4
té doby,4
směřování naší,4
naší země,4
hloupý vtip,4
příští rok,4
elektronické řízení,3
podle dopravní,3
dopravní situace,3
naše děcka,3
mirkem kalouskem,3
30 let,3
proti suchu,3
karla schwarzenberga,3
peníze uhlí,3
státním rozpočtu,3
státní rozpočet,3
ministr brabec,3
státních organizací,3
vláda chce,3
státních rezerv,3
díky všem,3
ničí krajinu,3
chtěl bych,3
dává smysl,3
ukrajině mají,3
mají jasno,3
mejdan pomalu,3
pomalu končí,3
slevy dotace,3
volební období,3
plukovníka stehlíka,3
žádný jiný,3
uhelná energetika,3
odra dunaj,3
české republice,3
předsedy vlády,3
karlem schwarzenbergem,3
době krize,3
zůstane zachován,3
ministr ťok,3
opět moci,3
lidská práva,3
ochranu přírody,3
vlády čr,3
lounské radnici,3
dálnice d7,3
odhalování pamětní,3
pamětní desky,3
desky generálu,3
těžba hnědého uhlí,4
rudá věž smrti,4
směřování naší země,4
podle dopravní situace,3
ukrajině mají jasno,3
mejdan pomalu končí,3
ochranu přírody krajiny,3
odhalování pamětní desky,3
pamětní desky generálu,3
desky generálu mašínovi,3
přeji mnoho zdaru,3
ochraně životního prostředí,3
povrchová těžba hnědého,3
lounským starostou pavlem,2
starostou pavlem jandou,2
elektronické řízení dopravy,2
řízení dopravy mělo,2
dopravy mělo dávno,2
mělo dávno většině,2
dávno většině českých,2
většině českých dálnic,2
českých dálnic možnost,2
dálnic možnost podle,2
možnost podle dopravní,2
dopravní situace špatného,2
situace špatného počasí,2
špatného počasí snížit,2
počasí snížit rychlost,2
snížit rychlost zakázat,2
rychlost zakázat předjíždění,2
zakázat předjíždění standardem,2
předjíždění standardem evropských,2
standardem evropských dálnicích,2
evropských dálnicích řešit,2
dálnicích řešit pouze,2
řešit pouze pár,2
pouze pár úsecích,2
pár úsecích d1,2
úsecích d1 nedostatečné,2
plán ukončení výroby,2
ukončení výroby elektřiny,2
výroby elektřiny uhlí,2
prezident zeman vyzývá,2
zeman vyzývá větší,2
