n-gram,frekvence
ano,37
eet,37
mě,31
proti,25
dnes,24
návrh,23
ods,23
sněmovny,22
jestli,22
než,21
sněmovně,18
čssd,18
mají,17
lidí,16
hlasování,16
babiš,16
právě,16
piráti,16
státní,15
lidi,14
stejně,14
mu,13
přijde,13
další,13
zrušení,13
rozpočtu,13
bohužel,13
jeden,12
miliard,12
podle,12
vláda,11
daně,11
vládní,11
top,11
09,11
rozšíření,11
výboru,11
zákon,10
třeba,10
mezi,10
strany,10
ministryně,10
sociální,10
čez,10
pan,10
člověk,9
volby,9
teď,9
bych,9
české,9
pirátů,9
ohledně,9
kvůli,9
dvě,9
smluv,9
spd,9
paní,9
prošlo,9
velmi,8
důvod,8
evropské,8
jinak,8
babiše,8
europarlamentu,8
přimíchávání,8
biopaliv,8
občas,8
první,8
faltýnek,8
registru,8
koalice,8
sněmovna,8
díky,8
premiér,8
mne,8
práce,8
stát,8
úplně,7
rok,7
zákona,7
top 09,11
povinného přimíchávání,7
smluv čez,7
registru smluv,7
zrušení povinného,6
přimíchávání biopaliv,6
rozšíření eet,6
andrej babiš,5
evropského parlamentu,5
pan premiér,5
ano čssd,5
další státní,5
prošlo sněmovnou,5
ministryně financí,4
sociální služby,4
stejný efekt,4
vládní koalice,4
paní ministryně,4
rozpočtovém výboru,4
čez další,4
omezení kumulace,4
kumulace platů,4
rozšíření registru,4
ústavní soud,3
bytů praze,3
plénu sněmovny,3
evropské unii,3
miliard korun,3
rodičovského příspěvku,3
2 miliardy,3
pana premiéra,3
úplně stejný,3
biopaliv nafty,3
státní zástupce,3
jinými slovy,3
ministryně maláčová,3
vládní pozici,3
analytický tým,3
pozměňovací návrh,3
rozpočtového výboru,3
církevních restitucí,2
skutečně můžeme,2
záleží kolik,2
platí daně,2
poslanecké sněmovny,2
rozdíl mezi,2
pirátské strany,2
jana maláčová,2
sněmovní verzi,2
držte palce,2
verzi zákona,2
služební zákon,2
3 roky,2
sociální demokracie,2
určitě skvěle,2
eet sociální,2
nabytí nemovitosti,2
průmyslu obchodu,2
dva měsíce,2
registr smluv,2
hlasování sněmovně,2
mě lidi,2
volby sněmovny,2
české republice,2
občas mě,2
martina jaroše,2
evropskou komisi,2
poslanci ano,2
jaroslav faltýnek,2
schůzi sněmovny,2
