n-gram,frekvence
díky,61
mě,31
práce,30
dnes,28
třeba,25
lidí,25
ano,22
řešení,20
práci,20
teď,19
právě,18
jinak,18
jeho,17
návrh,16
naší,16
jde,15
ať,15
stát,15
či,15
sociální,15
měla,14
další,14
přes,14
zde,14
1,14
musí,14
kvůli,14
než,14
mají,14
pak,13
více,13
děti,13
čr,13
bydlení,13
fakt,13
víc,13
2,12
tedy,12
let,12
dětí,12
smysl,12
pana,11
strany,11
hodně,11
doporučuju,11
vím,11
fajn,11
té,11
ta,11
věc,11
nemá,11
sněmovně,11
eu,11
ráda,10
státu,10
hlavní,10
lidi,10
lze,10
soc,10
všem,10
vlády,10
státní,10
dál,10
podporu,10
možné,10
peníze,10
chybí,10
měl,10
den,9
přitom,9
hlasů,9
vláda,9
paní,9
své,9
místo,9
máte,9
přesně,9
zákon,9
sněmovny,9
péče,9
právě teď,6
zde publikovaný,6
publikovaný návrh,6
návrh řešení,6
díky pochvalu,5
střetu zájmů,5
díky všem,5
sociálních služeb,5
sociální práce,5
malé děti,5
10 tisíc,4
rodičovského příspěvku,4
pana ministra,4
odebírání dětí,4
úřad práce,4
velká británie,4
vánoci bývají,4
bývají mrazy,4
nebude fyzicky,4
fyzicky možné,4
možné venku,4
venku účtenky,4
účtenky vydávat,4
téhle zemi,3
dětské skupiny,3
paní ministryně,3
soc služby,3
rady čtk,3
2 mld,3
mnohem víc,3
kvalitní sociální,3
rodičovský příspěvek,3
té interpelaci,3
víc než,3
sociální práci,3
respektuju výsledek,3
výsledek konzervativní,3
konzervativní strany,3
doufám velká,3
británie brát,3
zájmy skotů,3
skotů ohled,3
ohled vyjádřili,3
vyjádřili většinovou,3
většinovou vůli,3
vůli setrvat,3
setrvat eu,3
eu zdůrazňuji,3
zdůrazňuji vítěz,3
shodou okolností,3
oficiální dotaz,3
exekučního řádu,3
soulad zákonů,3
zákonů realitou,3
mrazy zkrátka,3
zkrátka nebude,3
nového roku,2
podařilo prosadit,2
druhá část,2
startovací byty,2
poměrné zastoupení,2
veřejný zájem,2
své zkušenosti,2
částečných úvazků,2
můžeme demokracii,2
demokracii pečovat,2
pečovat nejen,2
nejen svátek,2
svátek každém,2
každém ovšem,2
ovšem někteří,2
někteří klíčoví,2
klíčoví učitelé,2
učitelé novináři,2
novináři úředníci,2
úředníci politici,2
politici díky,2
všem přispívají,2
přispívají svým,2
svým dílem,2
zde publikovaný návrh,6
publikovaný návrh řešení,6
vánoci bývají mrazy,4
nebude fyzicky možné,4
fyzicky možné venku,4
možné venku účtenky,4
venku účtenky vydávat,4
respektuju výsledek konzervativní,3
výsledek konzervativní strany,3
doufám velká británie,3
velká británie brát,3
zájmy skotů ohled,3
skotů ohled vyjádřili,3
ohled vyjádřili většinovou,3
vyjádřili většinovou vůli,3
většinovou vůli setrvat,3
vůli setrvat eu,3
setrvat eu zdůrazňuji,3
eu zdůrazňuji vítěz,3
soulad zákonů realitou,3
bývají mrazy zkrátka,3
mrazy zkrátka nebude,3
zkrátka nebude fyzicky,3
můžeme demokracii pečovat,2
demokracii pečovat nejen,2
pečovat nejen svátek,2
nejen svátek každém,2
svátek každém ovšem,2
každém ovšem někteří,2
ovšem někteří klíčoví,2
někteří klíčoví učitelé,2
klíčoví učitelé novináři,2
učitelé novináři úředníci,2
novináři úředníci politici,2
úředníci politici díky,2
politici díky všem,2
díky všem přispívají,2
všem přispívají svým,2
přispívají svým dílem,2
svým dílem nezapomeňme,2
dílem nezapomeňme přechod,2
nezapomeňme přechod přes,2
přechod přes poušť,2
přes poušť trvá,2
poušť trvá zhruba,2
trvá zhruba 2,2
zhruba 2 generace,2
2 generace dle,2
generace dle starých,2
dle starých knih,2
starých knih pečovat,2
lékařské posudkové službě,2
jdeme těch 101,2
těch 101 oslavit,2
101 oslavit koncert,2
oslavit koncert paměť,2
koncert paměť národa,2
paměť národa organizuje,2
národa organizuje překvapivě,2
financování sociálních služeb,2
mega průšvih chybí,2
průšvih chybí mld,2
chybí mld hlediska,2
rozpočtu tedy menší,2
tedy menší peníze,2
menší peníze mířící,2
peníze mířící statisíce,2
mířící statisíce potřebných,2
statisíce potřebných prevenci,2
2 mld kč,2
kdyby nebylo smutný,2
rodičovský příspěvek lze,2
příspěvek lze brát,2
oblasti sociálních služeb,2
odebírání dětí rodin,2
zdejší úřad práce,2
předávání stipendií romským,2
stipendií romským studentům,2
první neděle adventní,2
neděle adventní čas,2
zde publikovaný návrh řešení,6
nebude fyzicky možné venku,4
fyzicky možné venku účtenky,4
možné venku účtenky vydávat,4
respektuju výsledek konzervativní strany,3
doufám velká británie brát,3
zájmy skotů ohled vyjádřili,3
skotů ohled vyjádřili většinovou,3
ohled vyjádřili většinovou vůli,3
vyjádřili většinovou vůli setrvat,3
většinovou vůli setrvat eu,3
vůli setrvat eu zdůrazňuji,3
setrvat eu zdůrazňuji vítěz,3
vánoci bývají mrazy zkrátka,3
bývají mrazy zkrátka nebude,3
mrazy zkrátka nebude fyzicky,3
zkrátka nebude fyzicky možné,3
můžeme demokracii pečovat nejen,2
demokracii pečovat nejen svátek,2
pečovat nejen svátek každém,2
nejen svátek každém ovšem,2
svátek každém ovšem někteří,2
každém ovšem někteří klíčoví,2
ovšem někteří klíčoví učitelé,2
někteří klíčoví učitelé novináři,2
klíčoví učitelé novináři úředníci,2
učitelé novináři úředníci politici,2
novináři úředníci politici díky,2
úředníci politici díky všem,2
politici díky všem přispívají,2
díky všem přispívají svým,2
všem přispívají svým dílem,2
přispívají svým dílem nezapomeňme,2
svým dílem nezapomeňme přechod,2
dílem nezapomeňme přechod přes,2
nezapomeňme přechod přes poušť,2
přechod přes poušť trvá,2
přes poušť trvá zhruba,2
poušť trvá zhruba 2,2
trvá zhruba 2 generace,2
zhruba 2 generace dle,2
2 generace dle starých,2
generace dle starých knih,2
dle starých knih pečovat,2
jdeme těch 101 oslavit,2
těch 101 oslavit koncert,2
101 oslavit koncert paměť,2
oslavit koncert paměť národa,2
koncert paměť národa organizuje,2
paměť národa organizuje překvapivě,2
mega průšvih chybí mld,2
průšvih chybí mld hlediska,2
rozpočtu tedy menší peníze,2
tedy menší peníze mířící,2
menší peníze mířící statisíce,2
peníze mířící statisíce potřebných,2
mířící statisíce potřebných prevenci,2
rodičovský příspěvek lze brát,2
předávání stipendií romským studentům,2
první neděle adventní čas,2
neděle adventní čas štědrosti,2
adventní čas štědrosti komu,2
čas štědrosti komu zadat,2
štědrosti komu zadat práci,2
komu zadat práci sleduju,2
zadat práci sleduju dlouhodobě,2
práci sleduju dlouhodobě kampaň,2
sleduju dlouhodobě kampaň kvalitní,2
dlouhodobě kampaň kvalitní sociální,2
kampaň kvalitní sociální práci,2
kvalitní sociální práci obdivuju,2
sociální práci obdivuju zkouším,2
práci obdivuju zkouším změnu,2
obdivuju zkouším změnu stát,2
zkouším změnu stát rozpočtu,2
změnu stát rozpočtu pozměňovacím,2
stát rozpočtu pozměňovacím návrhem,2
rozpočtu pozměňovacím návrhem jistější,2
pozměňovacím návrhem jistější ta,2
návrhem jistější ta sbírka,2
nebude fyzicky možné venku účtenky,4
fyzicky možné venku účtenky vydávat,4
zájmy skotů ohled vyjádřili většinovou,3
skotů ohled vyjádřili většinovou vůli,3
ohled vyjádřili většinovou vůli setrvat,3
vyjádřili většinovou vůli setrvat eu,3
většinovou vůli setrvat eu zdůrazňuji,3
vůli setrvat eu zdůrazňuji vítěz,3
vánoci bývají mrazy zkrátka nebude,3
bývají mrazy zkrátka nebude fyzicky,3
mrazy zkrátka nebude fyzicky možné,3
zkrátka nebude fyzicky možné venku,3
můžeme demokracii pečovat nejen svátek,2
demokracii pečovat nejen svátek každém,2
pečovat nejen svátek každém ovšem,2
nejen svátek každém ovšem někteří,2
svátek každém ovšem někteří klíčoví,2
každém ovšem někteří klíčoví učitelé,2
ovšem někteří klíčoví učitelé novináři,2
někteří klíčoví učitelé novináři úředníci,2
klíčoví učitelé novináři úředníci politici,2
učitelé novináři úředníci politici díky,2
novináři úředníci politici díky všem,2
úředníci politici díky všem přispívají,2
politici díky všem přispívají svým,2
díky všem přispívají svým dílem,2
všem přispívají svým dílem nezapomeňme,2
přispívají svým dílem nezapomeňme přechod,2
svým dílem nezapomeňme přechod přes,2
dílem nezapomeňme přechod přes poušť,2
nezapomeňme přechod přes poušť trvá,2
přechod přes poušť trvá zhruba,2
přes poušť trvá zhruba 2,2
poušť trvá zhruba 2 generace,2
trvá zhruba 2 generace dle,2
zhruba 2 generace dle starých,2
2 generace dle starých knih,2
generace dle starých knih pečovat,2
jdeme těch 101 oslavit koncert,2
těch 101 oslavit koncert paměť,2
101 oslavit koncert paměť národa,2
oslavit koncert paměť národa organizuje,2
koncert paměť národa organizuje překvapivě,2
mega průšvih chybí mld hlediska,2
rozpočtu tedy menší peníze mířící,2
tedy menší peníze mířící statisíce,2
menší peníze mířící statisíce potřebných,2
peníze mířící statisíce potřebných prevenci,2
první neděle adventní čas štědrosti,2
neděle adventní čas štědrosti komu,2
adventní čas štědrosti komu zadat,2
čas štědrosti komu zadat práci,2
štědrosti komu zadat práci sleduju,2
komu zadat práci sleduju dlouhodobě,2
zadat práci sleduju dlouhodobě kampaň,2
práci sleduju dlouhodobě kampaň kvalitní,2
sleduju dlouhodobě kampaň kvalitní sociální,2
dlouhodobě kampaň kvalitní sociální práci,2
kampaň kvalitní sociální práci obdivuju,2
kvalitní sociální práci obdivuju zkouším,2
sociální práci obdivuju zkouším změnu,2
