n-gram,frekvence
mě,92
teď,79
vy,73
dnes,69
třeba,66
bych,63
pak,61
takže,56
praze,52
další,48
věci,48
proti,48
mají,47
jestli,46
koalice,44
podle,42
tady,42
ano,42
let,42
místo,40
jeho,40
také,40
rád,40
než,39
kdyby,39
no,38
více,38
exekuce,37
snad,35
díky,35
prostě,35
těch,35
zákona,34
jeden,34
lidi,33
jim,33
opravdu,33
ta,32
návrh,32
jejich,32
zase,31
jde,31
názor,30
prahy,30
lidí,30
mezi,30
či,30
trochu,29
pár,29
lidé,29
úplně,29
možná,29
nikoliv,28
vlastně,28
kvůli,28
budu,28
nikdo,28
pan,28
měl,28
dělat,27
sněmovně,27
víc,27
primátor,27
řešit,27
ti,26
přitom,26
včera,26
tedy,26
exekucí,25
takhle,25
lidem,24
soudy,24
den,24
všech,24
právě,24
stát,24
první,23
sám,23
člověk,23
téma,23
podle mě,14
insolvenčního zákona,13
doby korektní,13
got ta,9
více než,9
jiný názor,8
elektronických komunikacích,8
předražené hrnce,8
šílenosti doby,8
dětské exekuce,8
praha sobě,8
nevím jestli,8
politické korektnosti,8
neplatné exekuce,7
zdeněk hřib,7
top 09,7
hromadných žalobách,7
hromadných žalob,7
soudy mají,7
pražská koalice,7
bych chtěl,6
novela insolvenčního,6
karlu gottovi,6
napsal komentář,6
velký dík,6
primátor prahy,6
primátor hřib,6
tomto případě,6
zdravotním postizenim,6
investiční životní,6
životní pojištění,6
této věci,6
mate pravdu,6
soudních sporů,6
vedení města,6
8 let,6
dobrá zpráva,6
události komentáře,5
zákona elektronických,5
půl milionu,5
neprodávají předražené,5
aspoň povedlo,5
načerno znovu,5
daně nemovitosti,5
svůj názor,5
tři roky,5
karla got,5
finanční gramotnosti,5
hřib primátor,5
pan primátor,5
tisíc exekucí,5
ministerstvo spravedlnosti,5
dvojího metru,5
mají soudy,5
dětských exekucí,5
no teď,5
hlavního města,5
lidé kterým,5
kterým dluhy,5
dluhy vznikly,5
žáka vyučování,5
institut hromadných,5
hana kordová,5
kordová marvanová,5
zbyňkem prouskem,5
trestním řízení,5
několika desítkami,5
desítkami let,5
daňových poplatníků,5
trochu jiný,4
168 hodin,4
soud svitavách,4
pohody klidu,4
politická korektnost,4
hrnce předváděcích,4
předváděcích akcích,4
nezabavitelné minimum,4
obou stran,4
zvýšení daně,4
protiprávních exekucí,4
šílenosti doby korektní,8
novela insolvenčního zákona,6
investiční životní pojištění,6
zákona elektronických komunikacích,5
neprodávají předražené hrnce,5
karla got ta,5
zdeněk hřib primátor,5
hřib primátor prahy,5
kterým dluhy vznikly,5
institut hromadných žalob,5
hana kordová marvanová,5
několika desítkami let,5
předražené hrnce předváděcích,4
hrnce předváděcích akcích,4
zvýšení daně nemovitosti,4
200 metrů čtverečních,4
princip dvojího metru,4
lidé kterým dluhy,4
dluhy vznikly dětství,4
velký dík patří,4
lovcem šmejdů zbyňkem,4
šmejdů zbyňkem prouskem,4
novely insolvenčního zákona,4
tour de france,4
mají trochu jiný,3
novela zákona elektronických,3
neplatné exekuce zastavovat,3
najednou spadlo nebe,3
poslední tři roky,3
knize šílenosti doby,3
mezi aktem pietním,3
aktem pietním aktem,3
mental power prague,3
power prague film,3
prague film festival,3
zvýšení nezabavitelného minima,3
péčí řádného hospodáře,3
mohou věci měnit,3
daň převodu nemovitosti,3
soudy mají neplatné,3
jeden dlužník jeden,3
