n-gram,frekvence
teď,17
vy,16
pan,14
víc,14
bych,13
dnes,13
díky,12
vláda,12
premiér,12
ano,12
podle,12
prosím,11
opravdu,11
prezident,11
školství,11
fakt,10
pak,10
říká,10
jeho,10
let,9
rozhodnutí,9
rád,9
než,9
pane,9
kdyby,9
máte,9
chce,9
úplně,8
naše,8
vlády,8
mu,8
měl,8
hodně,8
ta,8
všem,8
politiků,7
všechny,7
nechci,7
mě,7
ústavní,7
či,7
ať,7
my,7
názor,7
jardo,7
myslím,6
nemocnici,6
platy,6
kvůli,6
stejně,6
volbách,6
jestli,6
stát,6
kraje,6
poradce,6
třeba,6
práce,6
premiéra,6
také,6
ministra,6
peníze,6
řekl,6
politice,6
nejsem,6
celý,5
panu,5
osobně,5
měli,5
platů,5
funkci,5
nejen,5
stan,5
naší,5
jejich,5
tedy,5
zase,5
vaše,5
poslední,5
posledních,5
možná,5
platů politiků,5
rodičovský příspěvek,5
víc než,4
vše dobré,3
snížení platů,3
posledních 6,3
zlínského kraje,3
střetu zájmů,3
den učitelů,3
pana premiéra,3
seznam zprávy,3
pan premiér,3
10 let,3
smutný příběh,3
bratře kristu,3
schválen program,2
této vlády,2
kolega ferjenčík,2
této země,2
petr gazdík,2
chtěl bych,2
radní školství,2
zlínském kraji,2
2 roky,2
pán bůh,2
nový iphone,2
vlastní návrh,2
pan ministr,2
ta péče,2
výrazné zlepšení,2
školství zlínského,2
česku chybí,2
podle vkusu,2
vkusu každého,2
každého soudruha,2
kontroverzní projekt,2
příčinou zaznamenaného,2
zaznamenaného plošného,2
plošného vzestupu,2
vzestupu důvěry,2
důvěry ústavním,2
ústavním institucím,2
institucím obtížné,2
obtížné určit,2
určit přičemž,2
přičemž nelze,2
nelze vyloučit,2
vyloučit variantu,2
variantu náhodného,2
náhodného výkyvu,2
výkyvu způsobeného,2
způsobeného výběrovou,2
výběrovou chybou,2
chybou měření,2
prezidenta republiky,2
so sad,2
neumí číst,2
díky všem,2
nejsem ježíš,2
ježíš kristus,2
miloš zeman,2
hodně štěstí,2
zvýšený rodičovský,2
pan prezident,2
jistě pane,2
pane ministře,2
miroslav zikmund,1
zikmund nelituji,1
nelituji žádného,1
žádného dne,1
dne cestách,1
cestách myslím,1
myslím celý,1
celý život,1
život cesta,1
cesta panu,1
panu zikmundovi,1
zikmundovi jehož,1
jehož čest,1
čest znát,1
snížení platů politiků,3
školství zlínského kraje,2
podle vkusu každého,2
vkusu každého soudruha,2
příčinou zaznamenaného plošného,2
zaznamenaného plošného vzestupu,2
plošného vzestupu důvěry,2
vzestupu důvěry ústavním,2
důvěry ústavním institucím,2
ústavním institucím obtížné,2
institucím obtížné určit,2
obtížné určit přičemž,2
určit přičemž nelze,2
přičemž nelze vyloučit,2
nelze vyloučit variantu,2
vyloučit variantu náhodného,2
variantu náhodného výkyvu,2
náhodného výkyvu způsobeného,2
výkyvu způsobeného výběrovou,2
způsobeného výběrovou chybou,2
výběrovou chybou měření,2
nejsem ježíš kristus,2
zvýšený rodičovský příspěvek,2
jistě pane ministře,2
miroslav zikmund nelituji,1
zikmund nelituji žádného,1
nelituji žádného dne,1
žádného dne cestách,1
dne cestách myslím,1
cestách myslím celý,1
myslím celý život,1
