n-gram,frekvence
parlamentu,183
republiky,183
dnes,165
české,162
čr,114
mě,103
naše,91
eu,90
sněmovna,72
poslanecká,71
jeho,70
spolupráci,69
také,69
předsedou,69
našich,69
setkání,68
zde,65
let,64
právě,63
výročí,63
jednání,54
paní,53
děkuji,52
roce,50
sněmovny,48
naší,45
můžete,44
den,43
přijal,42
v4,42
teď,40
zemí,40
národní,40
nato,39
jejich,39
naši,39
jim,37
pozvání,35
evropské,35
společně,35
roku,35
všem,34
vztahy,34
země,34
parlamentů,34
rád,34
další,32
firmy,32
spolupráce,31
diskutovali,31
první,30
poslanci,30
mezi,30
evropě,30
přeji,30
poslanecké,29
poslanců,29
než,29
nejen,29
měl,29
mají,28
hodin,28
rady,28
dnešní,28
proti,28
předsedy,27
předseda,27
národního,26
během,26
vztahů,26
vlády,26
evropy,26
budu,26
spolu,26
mluvili,26
těším,25
shromáždění,25
pan,25
stále,25
našeho,25
české republiky,113
parlamentu české,71
poslanecká sněmovna,70
sněmovna parlamentu,67
právě teď,28
národní rady,21
naše firmy,18
předsedů parlamentů,18
evropské unie,17
národního shromáždění,16
poslanecké sněmovny,16
andrej danko,15
parlamentu čr,14
evropského parlamentu,13
parlamentů zemí,13
senát parlamentu,13
slovenské republiky,13
srbské republiky,12
ilegální migraci,12
můžete sledovat,12
českou republiku,12
můžete pustit,11
visegrádské skupiny,11
rozšíření eu,11
danko predseda,11
predseda sns,11
české republice,10
události komentáře,10
jana palacha,10
dolní sněmovny,10
děkuji všem,10
cyrila metoděje,10
roce 1968,10
české firmy,10
světové války,9
výročí sametové,9
sametové revoluce,9
mě čeká,9
budu hostem,9
rád bych,9
karla got,9
got ta,9
pražském hradě,9
můžete přečíst,9
česká republika,9
přijal pozvání,9
zemí v4,8
předsedou dolní,8
dolní komory,8
spolkového sněmu,8
summitu předsedů,8
30 let,8
severní makedonie,8
miloš zeman,8
wolfgang sobotka,8
hlavním městě,8
oficiální návštěva,8
zahraničních věcí,8
vesnice roku,8
střední evropě,8
zlínském kraji,8
uctil památku,8
českých firem,7
celý projev,7
projev můžete,7
diskutovali také,7
vzájemných vztahů,7
zahraniční politice,7
bezpečnostní situaci,7
pořadu události,7
geoffem reganem,7
naší země,7
komory parlamentu,7
prezident české,7
obchodní investiční,7
nový velvyslanec,7
eu nato,7
roku 1989,7
přátel čr,7
senior parlamentu,7
parlamentu české republiky,71
poslanecká sněmovna parlamentu,67
sněmovna parlamentu české,67
senát parlamentu čr,13
andrej danko predseda,11
danko predseda sns,11
výročí sametové revoluce,9
předsedů parlamentů zemí,9
karla got ta,9
pořadu události komentáře,7
prezident české republiky,7
památky obětí holocaustu,7
celý projev můžete,6
nejvyšších ústavních činitelů,6
předseda národní rady,6
parlamentů zemí visegrádské,6
zemí visegrádské skupiny,6
soukromá audience papeže,6
audience papeže františka,6
summitu předsedů parlamentů,6
miloš zeman prezident,6
zeman prezident české,6
předsedou dolní sněmovny,6
výročí okupace československa,5
národní rady rakouska,5
spojení mezi prahou,5
obchodní investiční vztahy,5
projev můžete přečíst,5
vzniku samostatného československého,5
samostatného československého státu,5
předsedů parlamentů evropské,5
parlamentů evropské unie,5
dolní komory parlamentu,5
volby evropského parlamentu,5
obětí holocaustu předcházení,5
holocaustu předcházení zločinům,5
předcházení zločinům proti,5
zločinům proti lidskosti,5
otázky václava moravce,4
průmyslu dopravy čr,4
čeká nabitý program,4
můžete pustit zde,4
sejm rzeczypospolitej polskiej,4
okupace československa nacistickým,4
československa nacistickým německem,4
národná rada slovenskej,4
rada slovenskej republiky,4
setkání nejvyšších ústavních,4
mě čeká soukromá,4
čeká soukromá audience,4
spolkového sněmu německa,4
kanadské dolní sněmovny,4
boji proti ilegální,4
proti ilegální migraci,4
dějepisné soutěže studentů,4
soutěže studentů gymnázií,4
české republiky senát,4
republiky senát parlamentu,4
výročí slovenského národního,4
slovenského národního povstání,4
obec dolní němčí,4
můžete přečíst zde,4
česká republika letos,4
letos partnerskou zemí,4
německého spolkového sněmu,4
parlamentů zemí v4,4
předsedou senát parlamentu,4
oficiální návštěva kazachstánu,4
platu poslanců absenci,4
poslanců absenci jednání,4
téma krácení platu,4
krácení platu poslanců,4
místopředsedou národní rady,4
národní rady sr,4
podrobné informace najdete,4
informace najdete zde,4
prvního zasedání dolní,4
zasedání dolní komory,4
říjnu mě čeká,4
mě čeká oficiální,4
poslanecká sněmovna parlamentu české,67
sněmovna parlamentu české republiky,67
andrej danko predseda sns,11
parlamentů zemí visegrádské skupiny,6
soukromá audience papeže františka,6
