n-gram,frekvence
podle,29
eu,26
jinak,26
vy,25
jeho,23
pak,22
mě,22
dnes,21
ano,20
proti,20
jejich,20
ja,20
mu,19
let,19
vše,18
ta,18
než,17
fakt,16
více,16
třeba,16
nejlepší,15
velmi,14
bych,14
me,14
vam,14
tady,13
lidí,13
teď,13
mají,13
také,13
lidi,13
uz,13
neni,12
místo,12
další,12
pane,12
take,12
zdechovský,12
nikdy,12
stát,11
kdyz,11
své,11
komise,11
opravdu,11
díky,11
europoslanec,11
jeden,11
ma,11
no,11
pan,10
zájmů,10
diky,10
vůbec,10
trochu,10
prostě,10
pravda,10
dlouho,10
dětí,10
zda,10
dva,10
prostřednictvím,10
clanek,9
jestli,9
kdu,9
mohl,9
my,9
čr,9
ti,9
hodně,9
naprosto,9
jim,9
nikdo,9
nebude,9
kdyby,9
nevím,9
české,8
takže,8
dobře,8
jedna,8
měli,8
vše nejlepší,6
tomáš zdechovský,6
europoslanec tomáš,5
více než,5
podle mě,4
andreje babiše,4
chtěl bych,4
lidská práva,4
střetu zájmů,4
ruská propaganda,4
nevím zda,4
střet zájmů,3
střetu zájmu,3
evropském parlamentu,3
zájmů českého,3
českého premiéra,3
jiří čunek,3
trochu jinak,3
pane zdechovský,3
nevím jestli,3
pan premiér,2
myslím dobře,2
článek 8,2
2x ročně,2
podle soudu,2
10 000,2
dobře víte,2
řada lidí,2
sociální služby,2
my tykame,2
přeju ať,2
katolické církve,2
sovětský svaz,2
pravý čas,2
přeji vše,2
zemich eu,2
úplně jinak,2
roger scruton,2
de facto,2
prvním místě,2
parlamentu štrasburku,2
zájmů premiéra,2
premiéra andreje,2
johannes hahn,2
podle kterého,2
dobré jméno,2
bych poděkovat,2
paní ministryně,2
evropské komise,2
dnes vyrazili,2
32 let,2
let ministryně,2
ministryně financí,2
34 let,2
hodně dlouho,2
misto abyste,2
abyste zakazali,2
zakazali podobne,2
podobne praktiky,2
praktiky date,2
date ceduli,2
ceduli ma,2
ma logiku,2
vláda pata,2
pata mata,2
kudlu zad,2
všechny tři,2
sir roger,2
podle něj,2
kandidovat předsedu,2
novou nemocnici,2
udelali chybu,2
opravdu nemyslím,2
pár pokut,2
pokut podmínka,2
podmínka pak,2
pak lidé,2
lidé diví,2
diví otcové,2
otcové páchají,2
europoslanec tomáš zdechovský,5
zájmů českého premiéra,3
přeji vše nejlepší,2
evropském parlamentu štrasburku,2
premiéra andreje babiše,2
chtěl bych poděkovat,2
misto abyste zakazali,2
abyste zakazali podobne,2
zakazali podobne praktiky,2
podobne praktiky date,2
praktiky date ceduli,2
date ceduli ma,2
ceduli ma logiku,2
vláda pata mata,2
pár pokut podmínka,2
pokut podmínka pak,2
podmínka pak lidé,2
pak lidé diví,2
lidé diví otcové,2
diví otcové páchají,2
otcové páchají sebevraždy,2
páchají sebevraždy matky,2
sebevraždy matky zavraždí,2
matky zavraždí své,2
zavraždí své děti,2
své děti zavede,2
více než jeden,2
stížností oznámeno norské,2
oznámeno norské vládě,2
shodou náhod zažil,2
náhod zažil europoslanec,2
několik desítek tisíc,2
desítek tisíc lidí,2
vše nejlepší narozeninám,2
super pan premiér,1
pan premiér přidá,1
premiér přidá neřekne,1
přidá neřekne většinu,1
neřekne většinu vezme,1
většinu vezme zvýšených,1
vezme zvýšených daní,1
zvýšených daní příliš,1
daní příliš vysoká,1
příliš vysoká inflace,1
vysoká inflace deseti,1
inflace deseti tisíc,1
deseti tisíc 300,1
tisíc 300 kč,1
300 kč ročně,1
kč ročně věříte,1
ročně věříte pohádkám,1
věříte pohádkám zázračném,1
pohádkám zázračném miliardáři,1
zázračném miliardáři umí,1
miliardáři umí řídit,1
umí řídit stát,1
řídit stát firmu,1
stát firmu funguje,1
firmu funguje mu,1
uzavřené jednání omlouvám,1
jednání omlouvám obsah,1
omlouvám obsah bohužel,1
obsah bohužel nepatří,1
bohužel nepatří twitter,1
nepatří twitter zítra,1
twitter zítra řeší,1
zítra řeší střet,1
řeší střet zájmů,1
střet zájmů přímo,1
zájmů přímo plénum,1
zde problém české,1
problém české ukřivděnosti,1
české ukřivděnosti většina,1
ukřivděnosti většina čechů,1
většina čechů totiž,1
čechů totiž nedohlédne,1
totiž nedohlédne dál,1
nedohlédne dál než,1
dál než mnichov,1
diky clanek posledni,1
misto abyste zakazali podobne,2
abyste zakazali podobne praktiky,2
