n-gram,frekvence
mě,129
jeho,92
prezidenta,74
senátu,71
bych,64
teď,64
prostě,63
no,61
pak,61
jejich,54
své,52
třeba,51
či,51
než,51
mu,49
proti,49
další,44
tedy,42
žalobu,41
dnes,39
prezident,39
fakt,38
žaloby,38
lidí,37
dost,34
jeden,34
rád,33
trochu,31
měl,30
možná,30
takže,30
opravdu,30
víc,30
svůj,29
podle,27
jednání,27
zase,26
pár,26
vy,26
ano,26
těch,26
nikdy,26
ústavní,26
svoji,26
budu,25
jinak,25
první,25
lidi,24
let,24
tenhle,24
mají,24
právo,24
něj,24
svého,24
oznámení,24
jim,23
všem,23
abych,23
ta,22
zákona,22
dělat,22
svým,22
přes,22
alespoň,22
my,22
jo,21
politice,21
hodně,21
mezi,21
prosím,21
tady,21
paní,20
práce,20
diskuzi,20
člověk,20
chtěl,20
senátor,20
práci,20
ní,20
stejně,19
trestní oznámení,16
víc než,10
hrubé porušení,10
porušení ústavy,10
držet zbraň,10
předsedy senátu,9
žalobu prezidenta,9
trestný čin,8
text žaloby,7
ústavní žaloby,7
prezidenta hrubé,7
podle mě,7
práva držet,7
žaloby prezidenta,6
trestním oznámením,6
kolegy senátory,6
klubu senátor,6
senátor 21,6
tomáš goláň,6
kávu láskou,6
no teď,5
státní zástupce,5
porušování ústavy,5
připraven nést,5
nést odpovědnost,5
trestního oznámení,5
požádám kolegy,5
václav láska,5
mě baví,5
sociálních sítích,5
pléna senátu,5
rok půl,5
miloš zeman,5
my politici,5
české politiky,4
sociální sítě,4
no jo,4
ženy děti,4
láskou ii,4
káva láskou,4
senátní klub,4
měl bych,4
senátorek senátorů,4
chtěl bych,4
svým trestním,4
nadále stojím,4
stojím zároveň,4
zároveň připraven,4
odpovědnost své,4
své činy,4
činy policie,4
policie shledala,4
shledala podáním,4
podáním trestního,4
oznámení spáchal,4
spáchal trestný,4
zbavili imunity,4
českou republiku,4
ústavní žalobu,4
pane lásko,4
no prostě,4
ladislav kos,4
petr orel,4
goláň přemysl,4
přemysl rabas,4
rabas lukáš,4
lukáš wagenknecht,4
dost možná,4
recepci c1,4
pravda láska,4
žalobě prezidenta,4
praze 5,4
prvním kole,4
stavební odbor,4
křivé obvinění,4
lidská práva,4
místopředseda senátu,4
předseda klubu,4
magoři vražděj,4
prezident zeman,4
hrubé porušení ústavy,10
prezidenta hrubé porušení,7
práva držet zbraň,7
klubu senátor 21,6
připraven nést odpovědnost,5
ústavní žaloby prezidenta,4
svým trestním oznámením,4
nadále stojím zároveň,4
stojím zároveň připraven,4
zároveň připraven nést,4
nést odpovědnost své,4
odpovědnost své činy,4
své činy policie,4
činy policie shledala,4
policie shledala podáním,4
shledala podáním trestního,4
podáním trestního oznámení,4
trestního oznámení spáchal,4
oznámení spáchal trestný,4
spáchal trestný čin,4
požádám kolegy senátory,4
tomáš goláň přemysl,4
