n-gram,frekvence
dnes,101
stan,74
mě,63
lidí,61
my,60
naše,55
premiér,54
premiéra,52
vláda,51
díky,50
ano,50
let,50
hnutí,50
naší,49
než,47
budu,47
další,47
rád,46
teď,46
všem,45
zemi,44
bych,44
babiš,44
české,43
pan,40
jeho,40
své,40
jim,39
sněmovně,38
země,38
stále,38
právě,38
tady,38
den,37
totiž,37
této,37
lidé,37
proti,37
měl,37
starostové,36
lidem,34
naši,33
stát,33
problémy,32
mu,32
vlády,31
politiky,31
chceme,30
mají,30
prezident,29
třeba,29
nezávislí,29
jejich,29
věci,28
ať,27
republiky,27
ta,27
děkuji,26
návrh,26
státní,25
stran,25
tedy,25
měli,24
ministra,24
době,24
roku,24
jeden,24
nejen,24
školství,24
všechny,24
snad,24
všech,23
pana,23
pár,23
mezi,23
rok,23
bohužel,23
lidi,23
radost,23
musí,23
starostové nezávislí,28
andrej babiš,22
pan premiér,15
hnutí stan,15
české republiky,14
české republice,13
ministra kultury,11
andreje babiše,11
naší zemi,11
jan farský,10
česká republika,10
naší země,10
vít rakušan,10
víc než,9
čapí hnízdo,9
proti suchu,9
hnutí ano,9
top 09,9
budu rád,8
milion chvilek,8
chvilek demokracii,8
děkuji všem,8
poslanecká sněmovna,8
evropská unie,8
pana premiéra,7
chtěl bych,7
20 let,7
petr gazdík,7
věra kovářová,7
celý rozhovor,7
poslanecké sněmovně,7
právního státu,7
vážený pane,7
kauze čapí,7
díky všem,7
středočeského kraje,6
30 let,6
rád bych,6
politických stran,6
události komentáře,6
neziskový sektor,6
bych rád,6
zdanění církevních,6
střetu zájmů,6
všem lidem,6
evropské komise,6
spousta lidí,5
pavel čížek,5
cesta krajinu,5
kovářová železná,5
trestný čin,5
mnoho lidí,5
upřímnou soustrast,5
kutné hoře,5
evropského parlamentu,5
rodičovského příspěvku,5
více než,5
miloš zeman,5
celý život,5
václava moravce,5
pane premiére,5
otevřený dopis,5
mikuláš bek,5
této země,5
tato vláda,5
rozum hrsti,5
státního zastupitelství,5
ano ksčm,5
církevních restitucí,5
prezident republiky,5
pan prezident,4
ano čssd,4
té doby,4
15 let,4
david smoljak,4
projekt 1000,4
1000 1,4
1 cesta,4
příští rok,4
vládní koalice,4
milion chvilek demokracii,7
kauze čapí hnízdo,7
věra kovářová železná,5
zdanění církevních restitucí,5
1000 1 cesta,4
1 cesta krajinu,4
výročí sametové revoluce,4
vlády české republiky,4
otázky václava moravce,4
slibovali nebudou zvyšovat,4
vzít rozum hrsti,4
ano čssd ksčm,3
spustili projekt 1000,3
projekt 1000 1,3
budu rád budete,3
dnes budu hostem,3
problémy problémy svého,3
lidí české republice,3
více než jindy,3
střetu zájmů premiéra,3
parlamentu české republiky,3
hnutí starostové nezávislí,3
dotací skupiny agrofert,3
vážený pane premiére,3
bych rád kdyby,3
premiér andrej babiš,3
funkce člena rady,3
petr gazdík mikuláš,3
gazdík mikuláš bek,3
nebudou zvyšovat daně,3
slibovali líp zatím,3
líp zatím líp,3
zatím líp jim,3
líp jim konečně,3
jim konečně měl,3
konečně měl vzít,3
měl vzít rozum,3
otevřený dopis premiérovi,3
post ministra kultury,2
dobrá věc podařila,2
věc podařila sněmovna,2
podařila sněmovna maká,2
sněmovna maká víc,2
maká víc než,2
víc než vláda,2
než vláda prosazuje,2
vláda prosazuje digitální,2
prosazuje digitální česko,2
my budeme právo,2
budeme právo státem,2
právo státem komunikovat,2
státem komunikovat digitálně,2
digitalizací skutečně ušetřit,2
skutečně ušetřit vlastní,2
ušetřit vlastní oči,2
vlastní oči viděl,2
oči viděl estonsku,2
koalice ano čssd,2
poslední den roce,2
den roce spousta,2
roce spousta lidí,2
spousta lidí chystá,2
lidí chystá oslavovat,2
chystá oslavovat příchod,2
oslavovat příchod nového,2
příchod nového roku,2
nového roku odpočítávají,2
roku odpočítávají zbývající,2
odpočítávají zbývající hodiny,2
zbývající hodiny konce,2
hodiny konce starého,2
konce starého té,2
starého té doby,2
té doby malé,2
doby malé děti,2
oslavy nejsou bujaré,2
nejsou bujaré alespoň,2
bujaré alespoň čas,2
alespoň čas napsat,2
čas napsat pár,2
1000 1 cesta krajinu,4
spustili projekt 1000 1,3
projekt 1000 1 cesta,3
petr gazdík mikuláš bek,3
slibovali nebudou zvyšovat daně,3
slibovali líp zatím líp,3
líp zatím líp jim,3
zatím líp jim konečně,3
líp jim konečně měl,3
jim konečně měl vzít,3
konečně měl vzít rozum,3
měl vzít rozum hrsti,3
dobrá věc podařila sněmovna,2
věc podařila sněmovna maká,2
podařila sněmovna maká víc,2
sněmovna maká víc než,2
maká víc než vláda,2
víc než vláda prosazuje,2
než vláda prosazuje digitální,2
vláda prosazuje digitální česko,2
my budeme právo státem,2
budeme právo státem komunikovat,2
právo státem komunikovat digitálně,2
digitalizací skutečně ušetřit vlastní,2
skutečně ušetřit vlastní oči,2
ušetřit vlastní oči viděl,2
vlastní oči viděl estonsku,2
koalice ano čssd ksčm,2
poslední den roce spousta,2
den roce spousta lidí,2
roce spousta lidí chystá,2
spousta lidí chystá oslavovat,2
lidí chystá oslavovat příchod,2
chystá oslavovat příchod nového,2
oslavovat příchod nového roku,2
příchod nového roku odpočítávají,2
nového roku odpočítávají zbývající,2
roku odpočítávají zbývající hodiny,2
odpočítávají zbývající hodiny konce,2
zbývající hodiny konce starého,2
hodiny konce starého té,2
konce starého té doby,2
starého té doby malé,2
té doby malé děti,2
oslavy nejsou bujaré alespoň,2
nejsou bujaré alespoň čas,2
bujaré alespoň čas napsat,2
alespoň čas napsat pár,2
čas napsat pár slov,2
napsat pár slov uplynulém,2
pár slov uplynulém roce,2
lorda robertsona bývalého generálního,2
robertsona bývalého generálního tajemníka,2
bývalého generálního tajemníka nato,2
generálního tajemníka nato funkci,2
tajemníka nato funkci době,2
nato funkci době našeho,2
funkci době našeho přistoupení,2
jan farský pavel čížek,2
farský pavel čížek spustili,2
debata předsedů 9 politických,2
předsedů 9 politických stran,2
9 politických stran souvisí,2
politických stran souvisí projektem,2
stran souvisí projektem rozděleni,2
souvisí projektem rozděleni svobodou,2
projektem rozděleni svobodou výročí,2
rozděleni svobodou výročí sametové,2
svobodou výročí sametové revoluce,2
výročí sametové revoluce ptát,2
sametové revoluce ptát chceme,2
revoluce ptát chceme řešit,2
ptát chceme řešit současné,2
chceme řešit současné problémy,2
řešit současné problémy české,2
současné problémy české společnosti,2
problémy české společnosti této,2
české společnosti této sestavě,2
společnosti této sestavě setkáváme,2
této sestavě setkáváme málokdy,2
spustili projekt 1000 1 cesta,3
projekt 1000 1 cesta krajinu,3
slibovali líp zatím líp jim,3
líp zatím líp jim konečně,3
zatím líp jim konečně měl,3
líp jim konečně měl vzít,3
jim konečně měl vzít rozum,3
konečně měl vzít rozum hrsti,3
dobrá věc podařila sněmovna maká,2
věc podařila sněmovna maká víc,2
podařila sněmovna maká víc než,2
sněmovna maká víc než vláda,2
maká víc než vláda prosazuje,2
víc než vláda prosazuje digitální,2
než vláda prosazuje digitální česko,2
my budeme právo státem komunikovat,2
budeme právo státem komunikovat digitálně,2
digitalizací skutečně ušetřit vlastní oči,2
skutečně ušetřit vlastní oči viděl,2
