ID,Community
adam-vojtech,0
alena-schillerova,0
andrej-babis,0
vladimir-kremlik,0
petr-hladik,0
alena-gajduskova,0
jan-hamacek,0
marek-vyborny,0
katerina-valachova,0
tomas-prouza,0
jan-skopecek,2
miloslava-vostra,0
alexandra-udzenija,2
vojtech-munzar,2
petr-fiala,2
ludek-niedermayer,2
jiri-pospisil,2
vit-rakusan,2
antonin-stanek,3
barbora-koranova,4
martin-kupka,4
lukas-wagenknecht,8
ondrej-profant,4
miroslav-kalousek,2
david-smoljak,6
dominik-feri,2
mikulas-ferjencik,2
marketa-adamova,2
frantisek-kopriva,5
michaela-sojdrova,5
hana-zakova,8
tomas-czernin,8
milos-vystrcil,8
herbert-pavera,8
helena-langsadlova,9
ivan-bartos,8
mikulas-peksa,5
jakub-janda,10
jan-bartosek,0
jan-cizinsky,2
jan-hrncir,5
radim-fiala,5
tomio-okamura,5
veronika-vrecionova,5
jan-kobza,12
jan-lipavsky,2
jiri-drahos,2
marketa-gregorova,5
jan-zahradil,5
jana-cernochova,4
jana-vildumetzova,0
ladislav-oklestek,0
jaroslav-foldyna,13
jaroslav-polacek,2
jiri-dolejs,14
tomas-golan,2
jiri-vosecky,8
renata-chmelova,8
karel-havlicek,0
lubomir-volny,15
lubomir-zaoralek,16
marek-zenisek,2
lukas-otys,17
lukas-semerak,18
tomas-macura,18
marek-hilser,2
pavel-fischer,2
zuzana-majerova-zahradnikova,19
marek-novak,19
radek-vondracek,19
sarka-jelinkova,0
marian-jurecka,2
martin-kolovratnik,0
martina-dlabajova,5
pavel-poc,5
michal-kucera,2
vlastimil-valek,2
milos-zeman,19
miluse-horska,2
miroslav-antl,20
olga-richterova,21
olga-sehnalova,5
patrik-nacher,0
pavel-belobradek,22
pavel-telicka,5
petr-gazdik,23
petr-hlubucek,1
zdenek-hrib,1
radek-koten,5
radek-rozvoral,5
stanislav-blaha,2
stanislav-polcak,8
tomas-martinek,11
tomas-zdechovsky,8
vaclav-klaus,19
vaclav-laska,8
vera-kovarova,2
veslav-michalik,2
zdenek-nytra,8
zdenek-ondracek,7
