Slovo,Podobnost
globální,0.3973219692707062
doporučení,0.28542089462280273
ohniska,0.2793916165828705
představím,0.2711319029331207
zájemcům,0.269270122051239
opatření,0.2686709761619568
častá,0.26215195655822754
pracovníky,0.2572087347507477
posádky,0.24799124896526337
informace,0.24296610057353973
tzv,0.24163393676280975
níže,0.23447541892528534
počtu,0.23443371057510376
zdravotnická,0.2244163155555725
strany,0.2212514579296112
situace,0.21819034218788147
prezident,0.21382151544094086
informační,0.21097694337368011
městě,0.21020057797431946
pohotovostní,0.20955798029899597
operován,0.20702677965164185
nákupních,0.19932903349399567
speciální,0.19658957421779633
dne,0.1941031515598297
ředitel,0.19026800990104675
