StatementId,Text
0D7075FCEB010B8D489E7E2BE8918867,"Dnes se na Ministerstvo financí ČR uskutečnila tisková konference na téma  Platy ve veřejné sféře . Vyjádřil jsem se při této příležitosti k platům ve zdravotnictví. Kromě mě na tiskové konferenci hovořili Andrej Babiš a Alena Schillerová."
17EC865651B20C2FDAFAD7299618DB79,"Poslední záchvěv léta a vzpomínka na dovolenou na jižní Moravě. A od zítra v plné síle vstříc novým úkolům. Čeká mě důležité jednání o rozpočtu s paní ministryní Alenou Schillerovou a pak na vládě předkládám klíčovou novelu zákona o léčivech, která zvýší dostupnost léků v lékárnách pro české pacienty. Držte mi palce!    Přeji vám krásný nedělní večer a zítra úspěšný vstup do nového týdne!"
1c425bbcff178df3453fef58ec91b7cf,"Pěkný nedělní večer. Od brzkého rána do pozdních večerních hodin řešíme opatření proti koronaviru. Děláme maximum pro to, abychom zamezili šíření nákazy na naše území a ochránili naše občany.     V Bruselu nám vyčítali, že jsme příliš přísní. Ale situace v Itálii potvrzuje naše obavy a ukazuje, že naše opatření mají hlavu a patu. Denně zde vidíme prudký nárůst nových případů koronaviru. Během 24 hodin v Itálii onemocnělo 1 292 lidí a 133 lidí zemřelo. Právě proto jsme od soboty zavedli 14 denní karanténu pro všechny přijíždějící z Itálie. Drtivá většina případů je totiž u nás právě odsud. A místo kritiky se dnes naopak některé okolní země od nás v opatřeních inspirují.     A přijali jsme jich skutečně celou řadu. V rychlosti.     Na hraničních přechodech od zítra startuje informační kampaň, namátkové kontroly a měření teploty. Letáky se budou rozdávat také v mezinárodních vlacích a autobusech a dorazí do schránek téměř pěti milionů domácností.     Co dál. Zastavili jsme lety ze všech letišť v severní Itálii, z Číny a Jižní Koreje. Mimořádně jsme zakázali vývoz respirátorů a dezinfekcí. Díky pomoci Ministerstva financí se začala regulovat maximální cena respirátorů, díky čemuž jsme stopli byznys se strachem.     Organizujeme centrální nákup respirátorů pro nemocnice a lékaře v terénu. Příští týden nakoupíme 200 tisíc respirátorů pro zdravotníky v nemocnicích a terénu, abychom před onemocněním ochránili lékaře, kteří jsou v první linii, a zajistili zdravotní péči pro občany.     Od tohoto týdne také chceme, aby nám pořadatelé hlásili akce s účastí nad 5 000 osob. Navýšili jsme laboratorní kapacity. Všech osm laboratoří jede na plné obrátky. Testujeme přibližně 100 vzorků denně a máme velkou rezervu, kapacity jsou na více než 600 vzorků za den.     A jedna čerstvá novinka. O karanténě pro kontakty nakažených osob budou nově na dálku rozhodovat praktičtí lékaři, protože chceme, aby se hygienici soustředili na trasování kontaktů osob, které jsou nakažené, a nákazu maximálně podchytili.    Základním nástrojem, jak veřejnost chránit, je předávat maximum informací. Proto zasíláme Čechům za hranicemi informační SMS. Informace jsou i na tabulích na dálnicích. Na letištích, nádražích i hraničních přechodech probíhá informační kampaň. Informace o koronaviru máme podrobně na webu Ministerstva zdravotnictví. Fungují infolinky Státního zdravotního ústavu 724 810 106 a 725 191 367 a krajské hygienické stanice jsou k dispozici na lince 112.    To samozřejmě není konečná. Každý den vyhodnocujeme situaci a podle toho se rozhodujeme o dalších opatřeních.     Na závěr děkuji všem občanům, kteří přijali karanténu. Vím, že to není snadné, ale v současné chvíli je to hrozně důležité. Dodržením karantény se chováme zodpovědně nejen ke svému zdraví, ale také ke zdraví našich blízkých a celé společnosti.     Připojuji fotku z dnešní večerní tiskové konference s paní ministryní Schillerovou, kde jsme o tomhle všem hovořili.     Dobrou noc přátelé."
23bc9099abbf69c1f88724af8fea6935,"Dnes se společně s panem premiérem, ministrem životního prostředí Richardem Brabcem a ministryní financí Alena Schillerová sejdeme s generálním tajemníkem OECD Ángelem Gurríou. Ten mimo jiné představí i doporučení pro oblast zdravotnictví."
48d124e0a8184132f99bea5f1c8a37d7,"Téměř čtvrt miliardy korun navíc! O tolik vzroste rozpočet resortu zdravotnictví. Domluvili jsme se na tom dnes s paní ministryní Alena Schillerová. 👍🏻    ➡️ K navýšení peněz dojde v oblastech, které patří mezi naše priority! Konkrétně 100 milionů korun navíc poputuje na podporu vzdělávání mladých lékařů v rámci rezidenčních míst.     ➡️ Dalších dodatečných 100 milionů půjde na transformaci psychiatrických nemocnic, která je součástí reformy psychiatrické péče, jedné z největších reforem ve zdravotnictví od revoluce. Jejím cílem je kultivovat péči o duševně nemocné v České republice.     ➡️A zhruba 20 milionů korun navíc půjde na dotace pro organizace, které pečují o pacienty, například pro hospice.     S dnešním jednáním jsem spokojen a myslím si, že je to dobrý kompromis. Paní ministryni velice děkuji za konstruktivní spolupráci. ✅"
585e0bf223092590bb3c3682a7b590a2,"Boj proti závislostem pokračuje. Společně s ministryní financí Alenou Schillerovou se dnes budeme snažit přesvědčit poslance, aby nám pomohli zastavit rostoucí trend ve spotřebě alkoholu a tabáku.🥃🚬 Nechceme, aby Česká republika v konzumaci alkoholu nadále vedla světové žebříčky, ročně v důsledku kouření zbytečně zemřelo 16 tisíc lidí a pily již 12leté děti.❌    Na tyto problémy nás dlouhodobě upozorňuje WHO a OECD a doporučují zvýšit spotřební daně.☝️Ty jsou podle nich u nás pořád nízké. Náklady spojené se závislostmi však stojí Čechy každoročně desítky miliard korun. Alkohol téměř 6️⃣0️⃣ miliard a kouření dokonce přes 1️⃣0️⃣0️⃣ miliard. A právě zvyšování spotřebních daní, ačkoliv víme, že to není samospásné a pracujeme na celém komplexu opatření, patří podle všech dostupných studií k nejúčinnějším nástrojům, kterými lze proti závislostem bojovat.✅    Včera jsem o tom hovořil na plénu Poslanecké sněmovny. Celý můj projev si můžete přečíst zde⤵️"
6BFA833E5B79C04BCD97A8007632973F,"Dnešní tisková konference s ministryní financí Alena Schillerová k boji proti závislostem."
7a0ce0ac0295569f5258b783f6203dad,"Diskuse ministryně financí Aleny Schillerové, předsedkyně Národní rozpočtové rady Evy Zamrazilové a ekonomky Heleny Horské.  Bývalý ministr zdravotnictví za ANO Adam Vojtěch a lékařka Zdenka Němečková Crkvenjaš z ODS. @OtazkyVM v neděli od 12:00 na @CzechTV a @CT24zive https://t.co/AhyVrCxATC"
aaf84dfcfcfb441bef46b7ef56559007,"Včerejší tiskovka s paní ministryní Alenou Schillerovou."
cada282f6019692d16a2d20021a7fcb2,"Dnes jsem měl na ministerstvu vzácnou návštěvu. Kolegyni z vlády, paní ministryni financí Alenu Schillerovou.🙂    Probrali jsme investice do modernizace nemocnic a jejich přístrojového vybavení. Shodli jsme se, že zlepšování prostředí pro pacienty a zdravotníky je pro nás naprostá priorita.👍"
