Slovo,Podobnost
spotřebě,0.37254971265792847
zákona,0.23307369649410248
rady,0.21552520990371704
dispozici,0.21387025713920593
crkvenjaš,0.19469162821769714
tomhle,0.1938343644142151
většina,0.1915610283613205
oblastech,0.18969888985157013
vybavení,0.18947379291057587
osob,0.18563607335090637
předávat,0.183893084526062
záchvěv,0.18027454614639282
linii,0.17770038545131683
hygienické,0.1680382788181305
příležitosti,0.16728754341602325
blízkých,0.1664036214351654
korun,0.16519446671009064
hospice,0.16378682851791382
informace,0.1628827601671219
dálku,0.1583583801984787
ministerstvu,0.15319252014160156
cílem,0.1520974189043045
dostupnost,0.15174801647663116
léta,0.14873094856739044
pěkný,0.14836233854293823
