StatementId,Text
0116df545388f111f1af62d708a013f3,"Na dobrých věcech se s vládou vždy shodneme. Takže až do Sněmovny dorazí návrh na zvýšení ročního limitu příjmu pro povinnost platit DPH z 1 na 2 miliony, zvedneme pro něj ruku. Stejný limit podpoříme i pro využití oblíbené paušální daně. Ono se to muselo odpracovat v Bruselu, víte, Zbyněk Stanjura? Nepamatuji si, že byste tam byl se mnou, když jsem výjimku prosazovala👇    https://twitter.com/alenaschillerov/status/1468279116357058569?s=21    https://www.novinky.cz/ekonomika/clanek/stanjura-limit-prijmu-pro-odvod-dph-chceme-zvednout-na-dva-miliony-korun-40382903"
28d3295848f7a32622f84d9430da971b,"Z rozhodnutí ministra financí Zbyněk Stanjura končí prominutí DPH na respirátory. Důvod? Směšný. Prý je jich na trhu dost. Takže od 1. 1. 2022 se zvedá cena o 21 %. Povinnost nosit respirátor zůstává, podpora končí 😷 Kdo na to doplatí? Sociálně nejslabší. Další z asociálních kroků této vlády Úřad vlády ČR 😰  DPH na respirátory jsem prominula v únoru, opatření se několikrát prodlužovalo. Děkuji výrobcům a prodejcům za to, že vyslyšeli můj apel a prominuté DPH si nenechali, ale promítli je do snížení ceny pro spotřebitele 👏"
29d6926c24ed130bb0160f47381ed364,"Programové prohlášení vlády se liší od předvolebních slibů a vláda ho po roce chce měnit. To jsme tady ještě neměli! Situace se podle ministra Stanjury změnila. Ano, díky vyšší inflaci má současná vláda vyšší příjmy, které by měli vrátit lidem, což se ale neděje. Dejte si ⤵️"
386e8539b7eec8999b218871ae5a635b,"🇨🇿 Od 1. ledna 2022 Česká republika hospodaří z rozhodnutí Zbyněk Stanjura v rozpočtovém provizoriu. Co to vlastně pro běžného občana znamená? Pusťte si můj komentář z konce prosince👇   #rozpoctoveprovizorium #statnirozpocet"
40b9d67da0cb2e221f5ded4f7244834d,"Ať jde ministr Stanjura říct těm rodinám, že raketový růst energií nebyla mimořádná událost. To je rozdíl mezi naším vnímáním situace. Podle nás a dalších vlád zemí EU byl rychlý růst cen energií mimořádnou událostí. Pro současnou vládu to nic zásadního není."
5dfdeb85084f8159a5227cce09ae05ca,"Novoroční Partie Terezie Tománkové na CNN Prima NEWS se klidně mohla přejmenovat na “Pan premiér a jeho osmý pád Kudy kam?”. Alibismus, výmluvy, bezradnost, neznalost. Nejčastější věta Petr Fiala: Pracujeme na tom, nebudu to komentovat. Mlžení pokračuje nejen v otázce škrtů ve státním rozpočtu Zbyněk Stanjura, dejte si👇"
61983a0cdd06d03dca8451d551ffe7c6,"Je pro mě absolutně nepochopitelné, že dnes dostaly stopku nové emise úspěšných Dluhopisů Republiky 🇨🇿 To znamená jejich konec a další ránu pro občany. Lidé jich nakoupili za 41,1 miliardy, stal se z nich protiinflační nástroj, jak chránit úspory domácností. Za koho vlastně kope Zbyněk Stanjura?👇    https://www.penize.cz/dluhopisy/431426-dalsi-protiinflacni-dluhopisy-republiky-ted-nebudou-rekl-stanjura    #DluhopisRepubliky"
6791c74efee78b64148d2b774bfc3f56,"Snížení plánovaného schodku státního rozpočtu za rok 2021 o 80 miliard považuji za úspěch. V turbulentní covidové době bylo potřeba pomoci lidem a firmám. Dnešní interpretace čísel ministrem Zbyněk Stanjura vypovídá o tom, že tomu moc nerozumí a nedokáže deficit vyložit bez politikaření.   Zde tvrdá data: Pomoc ekonomice dosáhla od počátku pandemie 662,2 miliardy korun a jen v loňském roce to bylo 360,9 miliardy. Dejte si video👇"
cf4ba2f40b6f389169d880d854b89611,"Je Stanjura na svém místě? ⤵️ https://t.co/6RfKM5Rx7b"
f8a15e7ba6455d1ffe371ee9eea95ae6,"Podle ČSÚ vedlo prominutí DPH v listopadu k nižší ceně elektřiny o 16,2 % a plynu o 11,5 %. Logickou součástí řešení dopadů krize na domácnosti by tak mělo být pokračování v daňovém pardonu alespoň o další 2 měsíce. Zbyněk Stanjura    Když už byly včera naše návrhy v PSP smeteny…"
