StatementId,Text
102e1bb8703e8c6573a71a8c5d7b15dd,"Víc peněz do zdravotnictví a kvalitnější péče o pacienty v roce 2022 👍 To je naše dnešní dohoda s Adam Vojtěch. Platby za státní pojištěnce proto porostou o 200 korun na 1 967 korun měsíčně 💟"
245A14EA50D296A6F48CBF96E513C167,"Plácly jsme si i s ministryní spravedlnosti Marií Benešovou. Její rezort bude příští rok hospodařit s 31 mld. Kč 🤝 Jednání o rozpočtu se tak už pomalu chýlí ke konci, zbývá Jana Maláčová a Adam Vojtěch. Tak nám držte palce 🇨🇿"
4C20AD916A0D8E81EB0E265232B71573,"Naše země udělala v posledních letech v boji proti závislostem obrovský pokrok. Všichni si pamatujeme sídliště zaplevelené hernami nebo zakouřené restaurace a veřejné prostory. Ještě v roce 2012 bylo na našem území neuvěřitelných 75 tisíc automatů a 7500 heren a cigaretový kouř nás provázel na každém rohu 😷    Opatření, která tyto negativní jevy významně omezila, nás vracejí do civilizovaného světa. Čísla odborníků ale ukazují, že musíme zůstat aktivní i nadále. Zatímco v roce 2014 se na protidrogovou politiku vynaložilo okolo jedné miliardy korun, aktuálně tato částka představuje více než 1,6 mld. Kč a každoročně roste. Proto přicházíme s návrhem na zvýšení spotřebních daní na tabák, tvrdý alkohol a hazard, který nejen zhoršuje jejich dostupnost, ale umožňuje získávat prostředky na podporu prevence.     Podrobnosti návrhu jsem společně s Adam Vojtěch a předními odborníky na oblast boje se závislostmi představila na dnešní tiskové konferenci v Adiktologické klinice Všeobecná Fakultní Nemocnice v Praze."
525D754E5B3BEF9DCB9856271E34CE49,"Veřejné zdravotní pojištění je ve vynikající kondici! Loni dosáhlo přebytku 9,52 miliardy korun a vede si nejlépe od krizového roku 2009. Zdravotní pojišťovny si díky ekonomickému růstu vytvářejí rezervy, které pro budou „polštářem“ na horší časy. Nejen o tom jsem dnes informovala své vládní kolegy v pravidelné každoroční zprávě, kterou jsem předkládala s kolegou Adamem Vojtěchem."
8555a4dfd3005b9a7296ffeab71c9852,"20 160 💊 Tolik balení léku Molnupiravir vyjednal Adam Vojtěch pro Českou republiku. Jako jedna z prvních zemí v EU jsme tak získali unikátní tablety, které mohou předcházet vážnému průběhu nemoci covid-19. Přes 14 tisíc balení dorazilo už včera. Léky může předepsat praktik nebo ambulantní specialista, krabička 40 tablet se užívá 5 dní. Primárně pomůže obézním lidem a chronicky nemocným."
8c1ff2e87982a985d3532b75d052802e,"Skvělá práce ministra zdravotnictví Adama Vojtěcha 👍"
8D5E354F032BC8829F1D0C87263108F7,"Zatímco průměrná mzda se v České republice mezi lety 2009 až 2018 zvýšila téměř o polovinu, spotřební daň z lihu vzrostla naposledy v roce 2010. Proto na mě ministr zdravotnictví Adam Vojtěch a národní protidrogová koordinátorka opakovaně apelovali s požadavkem na zvýšení cen alkoholu a tabáku prostřednictvím vyšších sazeb spotřební daně. Říká se, že když je někdo jediný, kdo něco udělat může, tak to udělat musí 😉 Proto jsme dnes představili sazbový balíček, který vhodným způsobem upravuje zdanění tabákových výrobků, tvrdého alkoholu a hazardu 👉"
bc84033c132466dd0835dc8329de6bd8,"Včera na návštěvě nemocnice v Brně a dnes už za stolem v pracovně Adam Vojtěch na Ministerstvu zdravotnictví 🤓 Řešíme investice do modernizace nemocnic a do kvality zdravotnictví 🏥🔬 Není na co čekat, naši pacienti i lékaři si to zaslouží."
DF844EFB078F711CE4A1C683D512B29F,"Dnešní úspěšné jednání s Adam Vojtěch zakončilo náročný maraton schůzek o podobě státního rozpočtu na rok 2020. Shodli jsme se na ještě větší podpoře mladých lékařů a reformě psychiatrické péče, která zkultivuje péči o duševně nemocné v České republice."
e15041e92473b5995b086a1c1be245b3,"Veřejné zdravotní pojištění je ve výborné kondici - loni mělo přebytek 9,52 mld. Kč. Zdravotní pojišťovny si díky ekonomickému růstu vytvářejí rezervy, které pro ně budou „polštářem“ na horší časy. Vyplývá to ze zprávy, kterou jsem s Adamem Vojtěchem dnes předložila na vládě. https://t.co/Jo6s7PStEs"
f5d64b3e899b41c7684d1bdce043ab91,"20 160 💊 Tolik balení tablet Molnupiravir vyjednal Adam Vojtěch pro Českou republiku. Jako jedna z prvních zemí v EU jsme tak získali unikátní tablety, které mohou předcházet vážnému průběhu nemoci covid-19. Přes 14 tisíc balení dorazilo už včera. Léky může předepsat praktik nebo ambulantní specialista, krabička 40 tablet se užívá 5 dní. Primárně pomůže obézním lidem a chronicky nemocným."
fa0d990ff63a7209c949bfd6a1a1792c,"Užíváte si léta a prázdnin? Doufám, že většina z vás ano. Jsou to opravdu krásné dny a i když je vnímám většinou jen ze své pracovny či jednacích síní, mám radost, že léto je jak má být a počasí přeje všem letním radovánkám 🏊‍♂️🚣‍♀️🏄‍♂️🚴‍♂️Vždy mě moc potěší, když si na mě při nich občas vzpomenete a potěšíte mě třeba pozdravem z vašich toulek, ať už po luzích tuzemských či zahraničních.    Zatímco většina z nás míří spíše jižním směrem, v pondělí do České republiky přicestoval z Paříže generální tajemník OECD Ángel Gurría, se kterým jsem společně s panem premiérem a vládními kolegy Richardem Brabecem a Adamem Vojtěchem diskutovala o Hospodářském přehledu OECD pro ČR, který vydává každé dva roky. OECD hodnotí ekonomickou situaci naší země velice příznivě, což je moc dobrá zpráva. Jako ministryni financí mě samozřejmě obzvlášť potěšilo příznivé hodnocení výběru daní a také loňského přijetí zákona o pravidlech rozpočtové odpovědnosti. Je také mnoho oblastí, na kterých ještě musíme zapracovat. Takovou výzvou je například důchodová reforma. Pozitivní je, že většina doporučení od OECD se shoduje s našimi prioritami ve vládním prohlášení.      Z karlovarských lázeňských promenád už zase na rok zmizely červené koberce a ruch festivalového veselí, proto byl v úterý správný čas se vypravit do hotelu Thermal, ve kterém má stát prostřednictvím Ministerstva financí 100% majetkový podíl. Aktuálně totiž vrcholí naše přípravy na jeho významnou rekonstrukci, do které, včetně proměny aktuálně chátrajícího bazénového komplexu na moderní spa wellness centrum, budeme investovat bezmála 600 mil. Kč. Rekonstrukce začne již na podzim a její zdárný a bezproblémový průběh, na jejímž konci bude hotel Thermal znovu patřit mezi nejlepší a nejkonkurenceschopnější hotely ve městě, je pro mě závazkem, z něhož jako ministryně financí neustoupím. Mohu říci, že vše je na dobré cestě a již koncem září bychom měli podepsat smlouvu se strategickým partnerem. Těším se, že se do Karlových Varů brzy zase podívám, abych na vše přímo na místě osobně dohlédla 😉    Středeční jednání vlády se docela protáhlo a i když jsem na něj tentokrát výjimečně nenesla žádné materiály z dílny Ministerstva financí, podrobně jsme se zabývali například snižováním administrativní zátěže podnikatelů, kde Ministerstvo financí připravuje celou řadu důležitých opatření. Třeba díky připravovanému portálu MOJE daně získá 8 milionů daňových subjektů moderní platformu pro komunikaci s Finanční správou, kde vyřeší všechny své daňové povinnosti z pohodlí domova. Ve svém účtu uvidí jak jejich kompletní přehled, tak historii a automaticky se mu vyplní některé údaje v daňovém přiznání a také bude moci portál využívat k jednoduchému účetnictví.    Hned po jednání vlády následovalo jednání senátu, kde jsem pro změnu nesla bodů hned jedenáct. Diskuze v senátu byla náročná a dlouhá a protáhla se až do desáté hodiny večerní, přesto jsem z něj odcházela velmi spokojena, protože se podařilo završit legislativní proces u několika moc důležitých návrhů. Radost mám hlavně ze zákona, který více ochrání klienty pojišťoven a mimo jiné zajistí, že s nimi již pojistku nebude sjednávat kdejaký amatér, ale opravdový profesionál, neboť všichni prodejci pojištění (včetně zprostředkovatelů), budou muset složit odbornou zkoušku zaměřenou na praxi. Senát také posvětil ratifikaci dohody mezi ČR a Íránem o vzájemné podpoře a ochraně investic, která v budoucnu zvýší atraktivitu íránského trhu pro naše výrobce a exportéry např. v oblasti strojírenství, ocelářství a metalurgie nebo výroby chemikálií a léčiv.    Asi všichni z vás během tohoto týdne zaznamenali otřesné fotografie z útrob nelegálního chovu tygrů, který se podařilo rozprášit Celní správě. Chtěla bych za to kolegům ještě jednou moc poděkovat. Nejen tato ušlechtilá a chráněná zvířata si zaslouží důstojné zacházení a žádné podobné praktiky nesmí být tolerovány.     Tento týden mi udělala radost nejen Celní správa, ale také Úřad pro zastupování státu ve věcech majetkových - ÚZSVM  na který státní instituce plánují převést 6 690 nemovitostí, z toho zhruba 650 staveb. Koncentrace nepotřebného státního majetku na jednom místě je základem pro jeho efektivní využití. Stát se tak mnohem snadněji může rozhodnout, zda bude výhodnější tento majetek prodat, nebo jej převést té organizační složce, která pro něj efektivní využití nalezne. Nebude se tak stávat, že si jeden úřad kancelářské prostory pronajímá, zatímco druhý jich má tolik, že do nich zase hledá soukromého nájemce.     Moc jsem se těšila, že se alespoň na chvíli zastavím na probíhajícím hudebním festivalu Colours of Ostrava. To mi bohužel pracovní povinnosti nedovolily, a tak jsem s radostí přijala pozvání na letní tábor dětí zaměstnanců Finanční správy do Smilovic ⚽🌞🏓 Těch pár hodin strávených s malými táborníky bylo pro mě tou nejlepší odměnou za uplynulými pracovními povinnostmi, které však pro tento týden nekončí. Již zítra dopoledne mířím za panem prezidentem a jeho expertním týmem na pracovní setkání k přípravě státního rozpočtu na příští rok.     A po tomto jednání se alespoň na chvíli vydám domů do Brna za rodinou, na kterou se, asi jako každý z nás, těším ze všeho nejvíce.     Přeji vám krásné letní dny s těmi, se kterými je vám nejlépe 😀    Vaše Alena Schillerová"
