StatementId,Text
014b69a25db062b5a245a8d640083612,"Očkovat vakcínami od společnosti Moderna budou v Česku nově jen praktičtí lékaři. Deníku N to sdělil premiér Andrej Babiš. Cílem je podle něj od června dávat vakcínu i lidem od šestnácti let. Příští týden přijde na řadu skupina 45+. https://t.co/2N6iZOIMjC"
044420c091e3c3241b761e5777f61012,"To bude zase řev. Jo, šel jsem ke Xaverovi. Do nového studia. Virus, epidemiologie, astrologie, prostě Babiš, klasika 😎 https://t.co/w3L6mnlGSh"
0745a1275bd0f11cbedf9edcae19f684,"moderátory ČT, kteří zas v rozporu s Kodexem nepokrytě oslavují vítězství  protikorupčního hnutí  na Slovensku, bych rád upozornil, že jako  protikorupční hnutí  začínal v politice i Babiš a jeho ANO, kterýmu teď nemůžou přijít na jméno 😀😂😂"
07cdf2bb05c3f0bd07411346db58a41e,"„Proč bychom měli vyhodit 2,5 miliardy korun za předsednictví? Jsem šetřivý člověk a jsem odpovědný za peníze daňových poplatníků,“ řekl premiér Babiš v Interview Martina Kováře na Rádiu Z ke kritice vlády za přípravu předsednictví v Radě EU.  https://t.co/dTeS2CO8Fe"
0d8f6fd877db915d2cfd9c81b118b378,"Tak a teď pozor. Babiš upekl vánočku 🙈 Velká věc, musíte vidět. Jak se mi povedla? Pište mi do komentářů! 👍 https://t.co/qKRyLbh2Vi"
0E0BD4BC2DCB4341975FA43593D25678,"Čau lidi, tuhle krátkou dovolenou jsme už fakt potřebovali. Vzkazy typu “Pane Babiš, vypadáte hrozně” 😱 a “Máte kruhy pod očima  😵 jste mi poslali xkrát a když se dívám na fotku z roku 2013, tak vidím, že jsem v politice zestárnul o 20 let. Takže se vám teď poslušně hlásím z hor v Rakousku. I když si nemůžu vypnout mobil, trochu jsem na pár dní zvolnil pracovní tempo: maily vyřizuju jen ráno, než se moje paní probudí 😴 No a samozřejmě nemůžu zapomenout na vaše otázky, na které zkusím ještě dnes odpovědět.    Už 13 let jezdíme na tohle místo v horách s přáteli a rodinami trávit konec roku. Protože se s některými z nich celý rok nevidíme, máme si vždycky o čem vyprávět a společně vzpomínáme, co jsme za ten rok prožili. Jsou tu přátelé z Německa a Rakouska a tak samozřejmě s chlapama řešíme politiku a speciálně přistěhovaleckou politiku v obou zemích a u nás, a partnerky zase probírají hlavně děti, dovolené, módu, jídlo a tak. Mimochodem zdejší šéfkuchař je Čech 🇨🇿 a další naši.     S majitelem hotelu jsme se bavili, že má stejné problémy jako spousta firem u nás v Česku: není tady dost kvalifikovaných a schopných lidí. Taky říkal, že jejich nový premiér Sebastian Kurz sníží DPH na 10 procent, na což se samozřejmě všichni těší 👍    Co se týče lyžování, napadlo hodně sněhu a konečně postavili velkou a moderní lanovku na Penken. Akorát teda sjezdovky neupravují nad ránem jako ve Francii, takže když přes noc nasněží, musíme si to sami ujezdit ⛷ Na Nový rok budu zase řídit domů 6 hodin, baví mě to, můžu přemýšlet o tom, co mě čeká příští rok. Bude určitě hustý 🤓    Přeju vám všem do Nového roku hodně zdraví a pohody. A přeju hrdost a svornost. Bez nenávisti. A ještě víc lásky."
1308bd2d71cfd45fea88dbe34aa86259,"„Naše spolupráce s novým ministrem zahraničí bude nyní ještě lepší než s panem Petříčkem,“ myslí si Babiš.  https://t.co/6MgTAxdPa3 @RadioZcz @AndrejBabis"
134cf096d15baaf2fbc05ab71fb41c35,"Čau lidi, moc jsme nespali, pořád Brusel, ale kolegové sehnali kameru a natočili jsme hlášení. Trochu nouzovka, ale aby byla neděle bez Babiše, to bych vám nemohl udělat 🤪 Vyjednáváme rozpočet a ZATÍM dobrý, ale může se to změnit, tak nám držte palce 🇨🇿 https://t.co/QICZWoALsy"
14153d84cda5010bff09efd276d0adfe,"Čau lidi, já jsem Babiš a tohle je Šťastné pondělí. A tohle pondělí je šťastné především proto, že mi poslal vzkaz v naší aplikaci samotný Jindřich Šídlo. Teda takhle. Chtěl mi poslat vzkaz. Avizoval to ve svém pořadu Šťastné pondělí. Ale s těmi novými technologiemi mu to jde asi tak jako mně, takže vzkaz do aplikace neuložil. Ale neva. Poradili jsme si a jeho dotaz teda vystřihli přímo z jeho pořadu. Musíme si přeci pomáhat 🤟😉"
1450c5e491c0b22ca669051609631e34,"Další příklad zneužití moci ze strany Andreje Babiše je jeho telefonát německé kancléřce, aby si  zkrotila  svou europoslankyni, která předsedá kontrolnímu výboru. Že takto jedná AB se svými zaměstnanci a poslanci je jeho věc, ale že takto jedná v zahraničí, je nepřijatelné."
