Slovo,Podobnost
rizika,0.39149150252342224
postižení,0.3815312385559082
vlně,0.3415118157863617
druhé,0.33081039786338806
země,0.33077293634414673
podniky,0.31003323197364807
nemocnice,0.29805952310562134
lidi,0.2961869537830353
pojišťoven,0.2791008949279785
funkci,0.2743418216705322
nadějí,0.2726832628250122
doby,0.2723468840122223
výjimek,0.26623496413230896
moravskoslezské,0.2650740444660187
osob,0.2553774118423462
epidemické,0.254159539937973
vakcín,0.25058141350746155
odběru,0.24610596895217896
vánoci,0.24596668779850006
práci,0.244465172290802
takovéto,0.23686449229717255
rukavic,0.23634719848632812
lety,0.23501236736774445
priority,0.23335659503936768
náměstí,0.23170116543769836
