Slovo,Podobnost
maďarskou,0.9873399138450623
premiéra,0.9860462546348572
mateuszem,0.981874942779541
morawiecki,0.9796103835105896
jednání,0.9792471528053284
polsku,0.9786518216133118
koordinaci,0.9781028032302856
předsedy,0.9769887924194336
radu,0.9764304757118225
kurz,0.9759146571159363
letiště,0.9758163094520569
německého,0.975774347782135
parlamentu,0.975517749786377
kvótám,0.9753368496894836
vily,0.9751788973808289
abych,0.9749571681022644
hradů,0.9748955965042114
návštěvy,0.9746367335319519
společně,0.9745942950248718
nápady,0.974521279335022
zásadních,0.9744871854782104
sebastianem,0.9744610786437988
hnutí,0.9743993878364563
pomáhají,0.9743894934654236
dalšího,0.9743692278862
