Slovo,Podobnost
premiéra,0.9829883575439453
pellegrinim,0.9828640222549438
slovenského,0.9802373051643372
republice,0.978302001953125
panem,0.9769127368927002
prahy,0.9762855768203735
dětí,0.9747390747070312
zemi,0.974443256855011
evropě,0.9743765592575073
nikdo,0.9740171432495117
prezidentem,0.9738863706588745
spousta,0.9738026857376099
politiku,0.9737313389778137
let,0.9736711978912354
lidí,0.9735905528068542
pivo,0.9735638499259949
společně,0.9735122323036194
předsedy,0.9734911918640137
ministr,0.9734517931938171
české,0.9734112024307251
spolupráce,0.9733976721763611
vlády,0.9733810424804688
návrh,0.9733186960220337
všechny,0.973220944404602
myslím,0.9731529355049133
