StatementId,Text
0040637fffdfaac8795ca62580649426,"Spor o 1,8 mld. Alena Schillerová má super zprávu 👍"
004d2214e3dc0fa3aca3006d60bed530,"ŽIVĚ: Jaké budeme platit daně? Kde šetřit a kdy se nadechne česká ekonomika? Hosty Partie jsou ministryně financí za hnutí ANO Alena Schillerová a ekonomka Ilona Švihlíková. Nedělní Partie právě začíná."
03a5955eb3fb31fb815e3291a4539ef7,"Přátelé z Poděbrad, doražte. Už dneska! Tohle je poprvé v dějinách naší země, kdy můžete něco “hnát vejš” 👍 A to doopravdy, ne posíláním dopisů a stížností, ale přímo z očí do očí s ministry a premiérem. Už dneska v 17 hodin v Kongresovém centru Lázeňská kolonáda dostanete slovo. Na pódiu budeme my, kdo tvoříme vládu České republiky. Kromě mě i Richard Brabec, Jaroslava Němcová, Klára Dostálová, Adam Vojtěch, Alena Schillerová, Robert Plaga, Dan Ťok, Jiří Milek, Ilja Šmíd a Tomáš Hüner. A budeme si s vámi povídat o nemocnicích, silnicích, školách, bezpečnosti, platech, důchodech. Prostě o všem, co vás zajímá. Vždycky budete mít k ruce člověka, který za danou věc v této zemi nese zodpovědnost. Moc se na vás těšíme a jsme zvědaví, co uslyšíme 🤓"
0521D138E48C30390B34A84BD7A178A8,"Pobídky jsem navýšil už jako ministr financí. A nejvíc v historii. Teď přišli filmoví producenti s tím, že peníze na letošní rok nestačí, že se tu nemůžou točit velké projekty. Jasně, rádi. Velký respekt Alena Schillerová, která našla půl miliardy. Ale myslím, že i tak jsme pro filmaře atraktivní a taky bezpečná země 🇨🇿"
068d133ab7f65f5eac23c60c5c4f57af,"Kurzarbeit. Alena Schillerová. Mrkněte na video ze Sněmovny 👍"
0BD609ED6C2EDE7C4D0CFC42494BE68A,"Sledujte Alenu Schillerovou na Facebooku. On-line finančák na konci roku 2020, paušální daň od roku 2021. Živnostníkům jsme zdvojnásobili strop pro uplatňování výdajových paušálů na 2 miliony 👌"
0d64d352ec43bff7b3a4f952297be296,"Podívejte se na video od Alena Schillerová 👍"
0DED0DB657A71DC410EF4021E17BDEBA,"Čau lidi, a tentokrát zdravím hlavně Brňáky. O tom, co se u vás stalo, začnu psát za chvíli. Teď ale posílám fotku ze Španělska. Moje dcera tady studuje a dlouho jsem ji neviděl. Byl to jediný víkend v dohledné době, kdy jsem měl čas, tak jsem ji na chviličku zaletěl navštívit. Zároveň sice bylo 2. kolo voleb do Senátu, ale zástupce našeho hnutí v obvodu, kde bydlím, nekandidoval. Klasicky z toho někteří novináři a opoziční politici udělali aféru. Kdo z vás jste volit šli a podpořili naše kandidáty, moc vám za to děkuju ❤️ Sice jsme neobhajovali žádný mandát, ale mohlo to dopadnout určitě líp. Každopádně gratuluju našemu zvolenému Miroslavovi Adámkovi. Rval se jako lev, dal do toho celou energii. Skvělý výkon. Jinak se ale potvrdilo, že senát prostě neumíme. Všechny tradiční politické strany se často spojují a ve druhém kole jdou proti nám. A tím se dostávám k tomu, o čem jsem psal na začátku:    BRNO.    Když vám 54letý zkušený chlap řekne, že takový podraz v životě nezažil, musí to být už fakt něco. Petr Vokřál - primátor města Brna zažil kudlu do zad, která je možná asi jen v politice. Takzvané tradiční demokratické strany se spojily proti našemu vítěznému hnutí. A přidali se k nim i noví a mladí politici, kteří se tradiční manýry naučili víceméně okamžitě.    Řeknu vám na rovinu, jaká je pravda. Myslím, že byste to měli vědět, i když je krutá. Tenhle puč upekla přes noc skupinka kmotrů napojených na ODS. Svým rozhodnutím překvapili dokonce i některé svoje straníky. Vždyť byla jasná dohoda, že vytvoříme širokou koalici hnutí ANO, ODS a dalších stran podle jejich výsledků v jednotlivých městských částech.     Chyběla hodina do podpisu, když se na kamerách objevili čtyři zástupci poražených stran a řekli, že je všechno jinak. A začaly klasické politické kecy. Je vidět, že paní Markéta Vaňková, budoucí primátorka za ODS, se teprve lhát na kamery učí. Takže třeba, když řekla, že se nemohla Petrovi Vokřálovi dovolat, tak stačilo dát na Facebook fotku z mobilu, na které je vidět, že to byla naopak ona, která mu nebrala v kritické chvíli telefon.    A o co teda v Brně jde? Oficiální verze novopečené koalice proti našemu hnutí je “vůle voličů” - což je teda extrémně vtipný, když nejvíc voličů dalo hlas nám. Ve skutečnosti jim jde o to samé, co vždycky. O vliv a o prachy. Dokonce vám to umím vyčíslit:    ŠEST MILIARD.    Za dobu, co byl Petr Vokřál primátor, připravil masivní rozvoj města. Udělal práci, na kterou nikdo před ním neměl představivost, schopnosti ani kuráž. Bavíme se tady o investicích za šest miliard. Všechny projekty jsou připravené a všechny se dokončí během následujícího volebního období. Sledujte:    Hokejová hala, po které volaly celé generace Brňáků, se začíná projektovat a do roku 2022 mohla být hotová. Atletická hala už je vysoutěžená a měla by se příští rok začít stavět. Na Velkém městském okruhu začalo Ředitelství silnic a dálnic stavět klíčový úsek Žabovřeská a bude do dvou až tří let hotový. Koncertní sál bude hotový do roku 2022, teď se dodělává projekt pro stavební povolení, v příštím roce se soutěží dodavatel. Dál tu je Centrální dům magistrátu. Ten bude znamenat, že Brno jako první město v republice stáhne všechny služby do jedné budovy. Aby to zrychlili, koupili rozestavěný projekt administrativní budovy od developera, takže nejpozději do roku 2022 tu bude všechno přestěhované. A samozřejmě Velodrom. Teď je ve fázi studie a začátkem roku se bude soutěžit dodavatel.    Jasně, že u toho chtějí všichni být, přestřihnout pásku a nechat se vyfotit, když naše hnutí udělalo veškerou práci. Chtějí sklidit ovoce za něco, co by sami nikdy nedali dohromady. A politickým podnikatelům jde samozřejmě o prachy.     Jak už jsem řekl novinářům, je to megapodraz. Ukázalo se, že politická scéna je pořád rozdělená na hnutí ANO a takzvané tradiční demokratické strany.    A tradiční strany mají své tradiční metody. Bezelstný člověk je proti nim bezmocný. Nechci Petra Vokřála teď nějak urazit, ale on do toho jednání opravdu bezelstně šel. Podali si ruku s ODS, že spolupráce mezi nimi je jasná. Ano tu ruku, o které pak zástupci tradičních demokratických stran natvrdo lhali, že nikdy podaná nebyla. A když se vynořili zástupci KDU-ČSL a pokoutně Petrovi nabídli koalici s nimi, Petr je odmítl. I přesto, že by díky tomu získal většinu v městské radě. Jak ale řekl později: “Pokud si s někým podám ruku, tak to neporuším.” No a dojel na to.     Když se kmotři rozhodli naše hnutí obejít, přidali se k nim lidovci jako první. Jejich společné vystoupení už jsme všichni viděli. Sám Respekt, který naše hnutí fakt nemusí, o tom napsal: “Budoucí primátorka Markéta Vaňková několikrát lhala, že vítězné hnutí neobejde.”    Mrzí mě to za všechny Brňáky i za Petra. Bylo mu vidět na očích, že nic takového předtím nezažil a že ho to mrzí profesně i lidsky. Ale vím, že se otřepe a půjde dál. Však sám řekl: “Nejsem profesionální politik, vždycky jsem říkal, že politiku dělám, protože chci, aby se v našem městě něco změnilo.”    Víme teď už jistě, že se Brno na další čtyři roky vrací ke starým pořádkům. Kmotři tentokrát vyhráli. Ale budou další volby. A lidi nezapomínají 🇨🇿    Když jsme u toho rozdílu mezi tradičními politiky a manažery, zaujal mě slogan “Všichni chceme lepší Česko, ale jen někteří doopravdy vědí, jak na to.” To byl totiž podtitul konference “Česko, jak jsme na tom?”, kterou pořádal časopis Forbes Česko v Dolních Vítkovicích v Ostravě. A já dostal možnost promluvit hned na úvod a potom debatovat s odborníky.    Na konferenci přijeli zástupci z byznysu, veřejné sféry i vlády, abychom se bavili o vzdělávání, kvalitě života a konkurenceschopnosti naší země ve světě. Řekl jsem několik čísel, která mi přijdou opravdu důležitá. Třeba jen od roku 2014 do roku 2017 se nám zvýšilo HDP o 13 procent. Od roku 2014 jsme vytvořili 366 tisíc nových pracovních míst a teď právě máme nejnižší nezaměstnanost v Evropě. Mezinárodní agentury nás posouvají nahoru v žebříčcích a hodnoceních. Máme vyrovnaný rozpočet a snižujeme zadlužení. Zlepšujeme výběr daní a těží z toho i naše obce a kraje. Třeba v polovině tohoto roku měly na účtech 212 miliard. Nejen obce a kraje, ale i celý náš stát může mohutně investovat do dalšího rozvoje, do zlepšování života lidí.     Máme se čím chlubit a máme potenciál být zpátky na špičce Evropy.    Často slýchám, proč na tom nejsme ještě líp. No musíme si uvědomit, jaká byla naše startovní pozice. Co dělali ti před námi. Nebo spíš nedělali. Naše menšinová vláda bez důvěry vznikla v prosinci 2017. Takže ani ne před rokem. A tahle vláda, která na jejích výsledcích staví, byla jmenovaná v červnu 2018. Konečně máme vládního zmocněnce pro informační technologie a digitalizaci, který má podporu premiéra, spolupracuje s ministry a systematicky řeší projekt Digitálního Česka. Psal jsem vám už v minulém týdenním hlášení o těch hlavních věcech, na kterých náš Vladimír Dzurilla pracuje. Pokud jste to nezaznamenali, budu rád, když si ho přečtete. Píšu v něm, jak zjednodušíme lidem život od narození dítěte až třeba po založení firmy. Nová pravicová ministryně paní Marta Nováková připravuje opatření na odstranění byrokracie, která dneska trápí a zdržuje lidi, podnikatele a živnostníky.     A opět jsme u toho, co udělaly vlády před námi. S čím se musíme potýkat. Třeba se systémem IBM, který je na ministerstvu financí od roku 1993 a každý zaměstnanec finanční správy s ním zápasí. Nová soutěž bohužel potrvá tři roky, protože takovou máme legislativu. Nebo OKsystem na ministerstvu práce. Do IT systémů stát nainvestoval 124 miliard a to takovým způsobem, že teď mají softwarové firmy dominantní postavení. Jsme první, kdo to začíná řešit. Třeba právě na ministerstvu financí s projektem Moje daně. Za minulé vlády spíš ministerstva vnitra a financí bojovala, než aby spolupracovala. Ale o tom jsem vám už psal. Mimochodem 22. listopadu k nám přilétá můj přítel a premiér Estonska Jüri Ratas. Den nato pořádáme konferenci o digitalizaci a budeme se ptát na jejich zkušenosti. Vždyť v Estonsku trvá podání daňového přiznání dvě minuty.    Na konferenci Forbesu jsme se bavili hodně dlouho. A řeč přišla i na produktivitu práce. Pořád tady koluje klišé, jak je u nás produktivita nízká. Nikdo přitom nemluví o tom, že se při jejím výpočtu bere do úvahy spousta faktorů včetně mezd a cen výrobků. Takže tvrdit, že naše země, která ročně vyrobí skoro dva miliony aut na nejmodernějších poloautomatizovaných linkách, má třetinovou produktivitu práce oproti západní Evropě, je fakt k velké debatě makroekonomů. Mám k tomu slušnou analýzu.    Máme neskutečně šikovné lidi. A máme špičkový výzkum, vývoj i výrobu. Důkaz, který nejde přehlédnout sjel právě tento týden z výrobní linky. Určitě jste viděli ty fotky, dal jsem jich sem spoustu. Díky novému letadlu L-39NG od AERO Vodochody se vracíme do exkluzivního klubu zemí, které vyrábí vlastní vojenské letouny. Dlouhých 21 let to trvalo od uvedení předchozího modelu L-159. Je určený hlavně na export, ale předpokládám, že ho využije i naše armáda.     Je skvělé vidět, co náš zbrojní průmysl dokázal navzdory tomu, že ho vlády po revoluci skoro zlikvidovaly. Vracíme se na mezinárodní scénu jako důležitý hráč. Vždyť právě naše Aero Vodochody je historicky největší výrobce lehkých proudových letadel v Evropě a jedním z největších na světě. Z jeho linky sjelo už 6 700 proudových letadel.    Ještě než jejich nejnovější model slavnostně vyjel z hangáru, měl jsem projev a řekl jsem, co všechno podle mě tenhle stroj znamená. Pro naši zemi má jednak průmyslový význam. Je klíčové, že jsme schopní vyvinout a vyrobit vojenské letadlo tady u nás. Na L-39NG je navázaných víc než 40 českých dodavatelů, takže z toho těží celý český letecký průmysl. Přínos je i ekonomický a společenský. Aero díky výrobě a exportu zachová pracovní místa v leteckém odvětví a samozřejmě tady bude platit daně a odvody.     Stejně důležitý je i politický význam. Vývoz vojenského letadla posiluje dlouhodobé vztahy s odběratelskými zeměmi a zlepší image České republiky v zahraničí. Už teď na premiéru přijeli vojenští představitelé několika států, potvrzení zákazníci a potenciální zájemci a diplomatické delegace.    Já osobně Aero podporuju na mezinárodní úrovni. Už jsem o něm mluvil s rakouským premiérem Sebastianem Kurzem, s maďarským premiérem Viktorem Orbánem a německou kancléřkou Angelou Merkelovou. Chci, pomoct, aby byl projekt celosvětově úspěšný a pomáhali v tom i naši ministři.    Když jsme u těch letadel, byl jsem taky v GE Aviation Czech, pobočce jedné z největších světových firem na letecké motory, která má ambice stát se světovým lídrem v turbovrtulových motorech a vyrábět je má právě u nás v České republice. K nim do Letňan se mnou zajela i paní ministryně Marta Nováková a Alena Schillerová a místopředseda Rady pro výzkum, vývoj a inovace Karel Havlíček, abychom se setkali s prezidentem a šéfem GE Aviation Davidem L. Joycem.    Tady v areálu Letov vyrábí GE motory do letadel a zároveň tu probíhá velký výzkumný projekt mezi GE a Českým vysokým učením technickým. Vláda na projekt v minulosti uvolnila návratnou finanční výpomoc pro ČVUT až do limitu skoro dvě miliardy korun. Výsledkem má být zavedení nového studijního oboru fakulty strojní se zaměřením na letecké a kosmické konstrukce a technologie a vybudování Centra pokročilých leteckých technologií.     Je skvělé, že se naše univerzita pouští s nejlepšími světovými společnostmi do ambiciózních projektů, ale finančně je projekt velké fiasko. ČVUT podcenila finanční řízení, nepracovalo se s rizikovými scénáři, chybějí předpokládané zdroje z EU a navíc jsou tam vícenáklady za 400 milionů korun. Abych to zkrátil, pokud resort průmyslu neprodlouží čerpání půjčky, jde fakulta strojní do insolvence, protože v projektu je díra skoro 1,5 miliardy korun…    Okamžitě jsem proto zmocnil ministryni Novákovou a místopředsedu vládní Rady pro výzkum Havlíčka k jednání, chci vědět proč to nastalo a jaké máme varianty řešení. Přiznám se, že už mi s ČVUT dochází trpělivost. Nejdřív skandál s odměnami, kdy se zjistilo, že tam vedoucí činitelé mohou brát 5,5 milionů korun ročně, poté skoro destrukce ústavu kybernetiky a robotiky. O tom jsem vám mimochodem psal minulý týden. A teď další problém na naší největší technické univerzitě.    Každopádně podporujeme firmy, které u nás chtějí skutečně investovat. A tím nemyslím jen postavit továrnu, ale investovat do našich lidí, do jejich vzdělání, do vědy, výzkumu. Ne jako to dělaly minulé vlády, že zahraničním firmám dávaly štědré pobídky, výhody, daňové prázdniny. I díky tomu jsme dostali tu přezdívku Montovna Evropy. Naše vláda nastavila nový kurz. Bavil jsem se o tom s redaktory Newsweeku.     Časopis, který vychází ve 150 zemích světa, dělá speciál “Coutry Reports.” V něm představují jednotlivé země potenciálním investorům. Paní Martyna Mener a pan Manuel de la Serna si za mnou přijeli povídat o Česku. A prý mě uvést jako příklad byznysmena, který se rozhodl jít do politiky. Ještě před začátkem rozhovoru mi říká Mauel, že to vypadá, že mám dneska nabitý program. Upřesnil jsem mu, že mám celý život nabitý program. Jak víte sami z mých reportů.     Vzali jsme to zeširoka. Od začátku mého podnikání přes ten osudový večer, kdy jsem viděl Klause v televizi, jak říká, že v Česku není korupce, až po dnešní dny, naši ekonomiku, Evropskou unii, migraci. Ukázal jsem jim svou knížku, aby viděli, že naše země má vizi, kterou se snažím systematicky naplnit.    Hlavní téma celého rozhovoru byly důvody, proč by měli investoři chodit do naší země. Stejným způsobem vedli rozhovor předtím třeba v Japonsku. Myslím, že se mi podařilo Českou republiku odprezentovat důstojně a vyvrátit mýty, které i za hranicemi šíří naši aktivističtí novináři. Hlavně ten, že jsme montovna ovládaná komunistickou vládou. Na konci říká pan redaktor: “Upřímně, mluvil jsem s mnoha veřejnými osobami a vy mi připadáte hrozně přímočarý, nezníte vůbec jako politik.” Snad to je pozitivní.    Když jsme u těch mýtů, našeho ministra dopravy Dana Ťoka už přestaly bavit ty hoaxy, že nestavíme silnice a sepsal reálná čísla. Právě teď budujeme 110 kilometrů dálnic a 67 kilometrů silnic I. třídy. Třeba na jihočeské části dálnice D3 se pracuje na 19 kilometrech a přidá se k nim dalších 20 kilometrů obchvatu Českých Budějovic. Pokračuje taky D11 z Hradce Králové směrem na Polsko. Na D6 se pracuje po délce 14,6 kilometrů. Jen minulý týden jsme zahajovali dalších pět staveb. Takže pokud vám soused nebo kámoš v hospodě pořád předhazuje, že naše vláda nic nestaví, můžete mu hned v mobilu ukázat mapu, kterou dávám do komentářů.    Kolegové na mě tlačí, že mám zkusit být stručnější. Prý 4 strany reportu je na neděli víc než dost. Takže odsud to vezmu už ve zkratce.    Měli jsme už devatenácté jednání Rady vlády pro koordinaci boje s korupcí. Navštívil mě ministerský předseda Saska–Anhaltska Reiner Haseloff a jednali jsme o hospodářské spolupráci. Na vládě jsme schválili novelu zákona o léčivech, který nově umožní lékařům sdílet lékové záznamy pacientů a lékařům, lékárnám a dalším oprávněným subjektům do této databáze nahlížet. Měli jsme Vládní výbor pro zdravotně postižené. Jednal jsem s velvyslanci zemí Evropské unie a kandidátských zemí. Zúčastnil jsem se Dne podnikatelů v pražském hotelu Ambassador a se mnou ministryně průmyslu a obchodu Marta Nováková a ministryně práce a sociálních věcí Jana Maláčová. Mluvili jsme hlavně o digitalizaci a zjednodušení podnikání. Jednal jsem se zástupci BMW a CzechInvest. Ve sněmovně jsme měli Výbor pro evropské záležitosti.    Dneska večer se vracím od dcery domů a zítra letím do Polska. Ve Varšavě jednám s polským premiérem Mateuszem Morawieckim a navštívím sídlo agentury Frontex. Psal jsem vám už několik hlášení nazpátek, že se chci seznámit s tím, jak naše evropská pohraniční a pobřežní stráž vlastně funguje. Budu taky mluvit s našimi českými experty, kteří ve Frontexu působí. Jejich názor je pro mě nesmírně důležitý.    Mějte se moc hezky a užijte si zbytek víkendu 😎"
119461329B1B54F6E116486DFFDE73E2,"Z dnešního hlášení. Stravenky. Alena Schillerová to Josefu Středulovi v novinách nedarovala a otevřeně se ho zeptala, za koho teda vlastně kope. A ještě to rozvinula u sebe na Facebooku."
142E209F13E517E5087C368BCE08D841,"Jednali jsme s Uberem. Poslal jsem dopis přímo centrále v San Franciscu, aby podnikali dle českých zákonů. Dohodli jsme se, že Uber okamžitě požádá o živnostenský list a licence pro jejich řidiče. Do 30. března uzavřeme společné memorandum, které bude řešit všechno včetně dohody s finanční správou o tržbách a zdanění. Uber dobrovolně zavede EET 👍    Na téhle fotce je Roland Werner, ředitel Public Policy pro region střední a východní Evropy a německy hovořící země. S ním přišel i Tomáš Peťovský, generální ředitel Uber v Česku a na Slovensku a regionální manažeři Alexei Stakh a Ashkan Kebriti. Za nás se zúčastnila ministryně financí Alena Schillerová, ministr dopravy Dan Ťok, primátorka Prahy Adriana Krnáčová a náměstek ministra průmyslu a obchodu pro internetizaci Ondrej Maly."
