Slovo,Podobnost
ministr,0.983414351940155
zdravotnictví,0.9672322273254395
schillerovou,0.9430604577064514
ministerstva,0.9240537285804749
financí,0.9068291187286377
klárou,0.8985591530799866
ministryní,0.8969053626060486
průmyslová,0.8714540004730225
havlíček,0.870488166809082
panem,0.8680397272109985
obchodu,0.8618258237838745
dopravy,0.859038770198822
práce,0.8502066135406494
němcová,0.840920090675354
očí,0.8276330232620239
místní,0.8220314979553223
hrdinka,0.8218321800231934
prostředí,0.8201475739479065
školství,0.8141082525253296
rozvoje,0.8132612109184265
prezidentem,0.8129287958145142
metnara,0.8115113377571106
vnitra,0.8112563490867615
otevírání,0.8092561364173889
ředitele,0.8080716729164124
