Slovo,Podobnost
prezidentem,0.9973804950714111
republika,0.9965626001358032
panem,0.9965129494667053
českých,0.994314432144165
premiérem,0.9942165613174438
policejního,0.9933724403381348
kandidátů,0.993362307548523
jednání,0.993206799030304
předsedou,0.993155837059021
děkuju,0.9930923581123352
domů,0.9930731058120728
středu,0.9930548071861267
policie,0.9930466413497925
ochraně,0.99301677942276
havlíček,0.9930084347724915
číně,0.9928582906723022
zástupci,0.9927961826324463
stát,0.9927706718444824
německa,0.9927611947059631
kterých,0.9927443265914917
lidí,0.9927414655685425
jasná,0.9927077293395996
vztahů,0.9926554560661316
ostatní,0.9926455020904541
oběd,0.992641031742096
