Slovo,Podobnost
normální,0.38779839873313904
šéf,0.3500560224056244
výstavbě,0.2920570969581604
inflaci,0.29175224900245667
havlíček,0.2721644937992096
manželkou,0.26742130517959595
součástí,0.25996389985084534
státního,0.2422516942024231
tzv,0.23906615376472473
cenzury,0.2315540462732315
obvinění,0.2315114289522171
celé,0.22855563461780548
kraje,0.21612215042114258
navržených,0.21530161798000336
táhne,0.21511529386043549
opravy,0.21437257528305054
kus,0.21168731153011322
mpo,0.20788979530334473
žebříčku,0.20625264942646027
podporu,0.2061292976140976
autority,0.20240327715873718
kariéru,0.2022818922996521
abyste,0.20201969146728516
sněmovna,0.20027947425842285
návštěvy,0.19286401569843292
