Slovo,Podobnost
bludy,0.29515811800956726
ukázka,0.27876654267311096
spor,0.2685324251651764
podpory,0.24722449481487274
rodin,0.221212238073349
poté,0.21896103024482727
novodobí,0.20698611438274384
roku,0.20439746975898743
praze,0.201070174574852
náročných,0.19029757380485535
dokonce,0.189604714512825
definitivně,0.1893882006406784
postupně,0.18237167596817017
patrné,0.17543165385723114
včerejší,0.16281375288963318
jádro,0.1590346395969391
zdrojů,0.1586468368768692
drahota,0.15659518539905548
primátoru,0.15450464189052582
špunty,0.1514170914888382
výbornou,0.15010161697864532
weby,0.1466018706560135
průlomové,0.14476370811462402
inflaci,0.1432121992111206
reality,0.14145274460315704
