Slovo,Podobnost
dětech,0.3588332533836365
lidí,0.2891055941581726
emoční,0.2865942418575287
vládě,0.27001291513442993
politické,0.26470625400543213
soupeří,0.2587120831012726
roce,0.25866928696632385
putin,0.25558796525001526
otevřené,0.2464594542980194
stadionu,0.2462291121482849
volebních,0.24478597939014435
kritiků,0.2424299567937851
systémem,0.23593966662883759
leyenová,0.23266349732875824
riley,0.2321709394454956
donalda,0.2304052710533142
mrtvých,0.22657322883605957
mike,0.22181744873523712
mcenany,0.21279525756835938
cdc,0.21136637032032013
krev,0.2112598866224289
analýza,0.21062630414962769
covidu,0.20909884572029114
američané,0.20886598527431488
amerických,0.2046806663274765
