Slovo,Podobnost
půdě,0.34847331047058105
hubu,0.289789617061615
americkému,0.26729321479797363
dnešní,0.2667595446109772
šířením,0.26472991704940796
úrovní,0.25610965490341187
fanatické,0.2535419762134552
vrah,0.23863133788108826
konec,0.23770201206207275
donbase,0.23410354554653168
tweetu,0.23307596147060394
jménu,0.2329527735710144
fámy,0.2303747683763504
takto,0.2295217365026474
králík,0.21983036398887634
pirát,0.21082834899425507
výsledek,0.2075275331735611
idiocie,0.2064466029405594
místní,0.20503152906894684
heil,0.20149974524974823
pokrytec,0.19913284480571747
normandii,0.19885435700416565
lebensraum,0.19878892600536346
nacisty,0.19736823439598083
války,0.19355924427509308
