Slovo,Podobnost
západu,0.40759649872779846
využívám,0.40551406145095825
nikdy,0.4017469584941864
rusko,0.40150436758995056
let,0.35640227794647217
zima,0.356006920337677
záběr,0.343218594789505
celé,0.32938605546951294
místní,0.32318228483200073
čína,0.3184673488140106
všechny,0.3132479786872864
výmluvné,0.3008215129375458
úroveň,0.29944390058517456
evropě,0.29784518480300903
lžím,0.29594048857688904
vaší,0.29276496171951294
lidem,0.29105931520462036
opravdu,0.2902609705924988
stát,0.288083553314209
moskvy,0.2838592231273651
likvidují,0.2808939218521118
prezident,0.2785159945487976
rostoucí,0.2781493067741394
charles,0.276234894990921
podpora,0.27564236521720886
