Slovo,Podobnost
kohezi,0.3785961866378784
masaryka,0.2616523802280426
přátel,0.25209224224090576
státní,0.24990969896316528
rád,0.23847250640392303
podobně,0.23020964860916138
politiků,0.22790192067623138
obnovitelným,0.22777009010314941
unie,0.2263449877500534
členským,0.22349433600902557
migrantům,0.22134236991405487
penězovodů,0.21704337000846863
štrbského,0.21692629158496857
dávek,0.21656613051891327
folklórní,0.2104434221982956
pomník,0.21013560891151428
nezaměstnanosti,0.20747722685337067
strategy,0.20742915570735931
kočárem,0.20668669044971466
kus,0.2047782689332962
čiankách,0.20215702056884766
pánové,0.2011837512254715
zbrzdění,0.20093011856079102
migračních,0.20070131123065948
čtyřku,0.20064005255699158
