Slovo,Podobnost
policie,0.43072816729545593
stav,0.3840959966182709
riziko,0.37289106845855713
koaliční,0.3493196964263916
právem,0.3411051034927368
širokou,0.34023141860961914
kraje,0.33984991908073425
babišův,0.3336060047149658
důvěru,0.3320254683494568
pana,0.30839142203330994
moskvy,0.3073897063732147
ponechat,0.3048129975795746
sněmovny,0.30248165130615234
současnost,0.30131128430366516
nikdo,0.29905781149864197
především,0.2914378046989441
ministrům,0.2873525619506836
politiky,0.28592920303344727
demonstrace,0.2824614346027374
čin,0.2821723520755768
nečas,0.280368834733963
politických,0.2769524157047272
ruskému,0.27527791261672974
uplivnutí,0.2736627757549286
premiér,0.2715177834033966
