Slovo,Podobnost
všechny,0.4157450199127197
předsedou,0.2926226854324341
moravce,0.27725812792778015
místopředseda,0.2750115692615509
dopravy,0.2710946500301361
osoba,0.2634355425834656
zbavme,0.25780007243156433
obchodu,0.2508639395236969
události,0.2480071783065796
uráží,0.24484090507030487
česko,0.2421993762254715
premiéra,0.24091875553131104
plán,0.2389243245124817
dálničních,0.23477181792259216
druhý,0.23202098906040192
tah,0.22678659856319427
průmyslu,0.2244785577058792
trestní,0.22424721717834473
management,0.2184043973684311
hloupá,0.21391409635543823
pane,0.21335291862487793
hamáček,0.21218439936637878
nesmí,0.2108130156993866
tzv,0.2098357379436493
výboru,0.20910368859767914
