Slovo,Podobnost
paní,0.9274604916572571
kalouskovi,0.9126553535461426
kalousek,0.9126552939414978
politice,0.9048572778701782
babišovi,0.9033485054969788
strany,0.8964616656303406
lidi,0.8892576098442078
rok,0.8745346069335938
sněmovně,0.8682329654693604
takový,0.8556811213493347
vlády,0.8546380400657654
ministr,0.8515897393226624
letech,0.8496342301368713
nikdo,0.8494207262992859
předseda,0.8396251797676086
premiérem,0.8354195952415466
financí,0.8266894221305847
pokyn,0.8259310722351074
kterému,0.8119620084762573
politický,0.7993283271789551
opozici,0.7971796989440918
země,0.7709527015686035
hnutí,0.7699521780014038
kdyby,0.7670397758483887
rozpočtu,0.766753077507019
