Slovo,Podobnost
pfizer,0.3335893154144287
itálie,0.30911970138549805
příkazy,0.3049596846103668
prospěch,0.2767683267593384
gumový,0.2669067084789276
občan,0.25067001581192017
rozhodovacími,0.25043728947639465
říká,0.2438296228647232
kancelářích,0.22372747957706451
poplatný,0.2227327972650528
průser,0.21439361572265625
patří,0.20782415568828583
investicního,0.20346346497535706
zdravotnictví,0.20331279933452606
hnutí,0.20094728469848633
škol,0.19266952574253082
malicherně,0.1919829249382019
práce,0.19055631756782532
časem,0.18376152217388153
veřejně,0.17954613268375397
píšou,0.17934353649616241
ministerstev,0.1784484088420868
nemocnice,0.17632395029067993
stát,0.17378422617912292
správné,0.17094840109348297
