StatementId,Text
0005E8EC711E359DAF6CE924B7929FAA,"@MirekTopolanek Pleteš si Honzu a Pavla. Honzu neřeším. Pavla bych také nikdy neřešil, kdyby sprostě nehanobil Karla Schwarzenberga. Tím je pro mě nepřijatalné individuum."
074AA9CC4F0E91CFE1B15C4ED696BCAF,"S Karlem Schwarzenbergem mluvíme otevřeně o deseti letech strany, kterou jsme spolu založili, o její budoucnosti a o politické odpovědnosti."
0A074EA8DC1464F38DB366D87D41EBBC,"Ve Visio art gallery v Plzni jsem si vyzvedl plastiku, kterou jsem koupil před dvěma lety. Jako prémii jsem od galeristy dostal popelníček. Ten dám Karlu Schwarzenbergovi. Bude mít jistě radost."
0DABB708EE8FC9F06BA2C9BE0BCB05D3,"Když jsme s Karlem Schwarzenbergem TOP 09 zakládali, snili jsme o tom, že tu bude aspoň jedna pravicová strana, která bude pevná a neuhne ani v těch nejtěžších okamžicích. Strana, která bude vždycky myslet více na budoucnost naší země než sama na sebe. TOP 09 neuhne, protože to máme v genech. #neuhneme"
102aa22a0cfdffdd9348627d62ffcc57,"Karel Schwarzenberg: „Za charakter Tomáše Czernina ručím. Je to člověk, který mě nikdy nezklamal a za kterého bych dal ruku do ohně.“"
189AD6D2B3626D307E2B0C733B4CDC8B,"Karel Schwarzenberg dnes vstupuje do deváté dekády svého úctyhodného života. Za svobodu naší země a za lidská práva začal bojovat dřív, než se většina z nás narodila, a bojuje dál. Hodně zdraví, sil a humoru, milý Karle!"
191B88E0103076E9EFFA0F3E54A2BC4C,"Karel Schwarzenberg a já jsme dnes pozvali Radka Bangu s manželkou na přátelský oběd. Rádi jsme jim nabídli podporu a pomoc v jejich dnešní nelehké situaci. Nenávist, které musí čelit, je nebezpečným jedem, který je sto otrávit celou společnost. Vážím si Radka Bangy za to, že se s touto atmosférou nechce smířit a že jí odhodlaně vzdoruje."
1cb7acd0d0c82d496a89028c355c486a,"Mám rád Karla Schwarzenberga, obdivuji ho a vždy tomu tak bude. Na rozdíl od něj si však nemyslím, že současný “státní teror v Rusku” je vnitřní ruskou záležitostí. Je to problém nás všech, kteří nechceme být mláceni a zatýkáni. Také si nemyslím, že můžeme mít s Ruskem normální vztahy do té doby, dokud Rusko neopustí anektovaný a okupovaný Krym."
1E5F66E107D87377B9A68630293B7C69,"Podle Zemana byly minulé vlády příliš „pod tlakem EU a USA“. Česká republika je ale členskou zemí Evropské unie, takže tvrzení, že na ni EU vyvíjí vnější tlak, je naprosto nesmyslné. Spojené státy jsou naším spojencem v rámci NATO. Prezident tak de facto odmítá dlouholetý azimut naší zahraniční a obranné politiky, která nám zajišťuje svobodu a bezpečí. Že je to Číňanům úplně fuk, dokazuje fakt, že nejrychleji rostl náš zahraniční obchod s Čínou za Karla Schwarzenberga (zdroj Eurostat). Nám ale odpudivé výroky českého prezidenta jedno být nesmějí, protože dělají ostudu nám všem."
34091be4ae517f177687736938183680,"@kalousekm A Schwarzenbergovi to řeknete kdy?"
34E24FDE4548CA6DAA96D8862F7A5F6A,"Václav Klaus ml. hanebně a lživě pomluvil úctyhodnou dámu, režisérku Olgu Sommerovou. Nepřekvapí to od člověka, který při podpoře Miloše Zemana neváhal lživě pošpinit i Karla Schwarzenberga a jeho minulost. Dnes však má ostudu i ODS, za kterou Václav Klaus ml. kandiduje do sněmovny. Omluví se někdo? Bylo by to milé.    Karel Schwarzenberg: Na dámu, která právem požívá v českém kulturním světě velké vážnosti, zaútočil Václav Klaus mladší. Citoval její údajný výrok, o kterém paní Sommerová říká, že jej nikdy nevyslovila a není také jediný důkaz, že by ho někdy vyslovila, aby jí odsoudil dosti nevybíravými slovy. Jeho souputníci v reakci na jeho článek používají vůči ní ta i nejsprostší slova. Volební kampaň přináší někdy dosti nevybíravé způsoby a výroky, nicméně tak sprostá pomluva, aniž by si pisatel snažil ověřit pravost citátu či jeho zdroj, přece jen dosti překvapuje. Bohužel musím říci, že se Václav Klaus mladší opět dopustil lži.Naprosto chápu obranu obyvatel paneláků a nikomu nelze vyčítat lokalitu jeho původu, ať je to palác či panelák. Ale takto urážet a pomlouvat dámu, to je pro mě příliš."
385a25758547e37729718894370304d1,"S Karlem Schwarzenbergem čekáme v “kavárně Mlýnská” na volební výsledky. Hlavně ale přemýšlíme, jak budeme postupovat po volbách. https://t.co/9LosM80yMO"
3eeea34121ba9a57ef949d9527596341,"Sedíme na Dřevíči na rozhovoru u Karla Schwarzenberga, mluvíme o TOP 09, dostaneme se k osobě @kalousekm kníže se nadechne “račte se podívati”, v tu chvíli mu zazvoní telefon a hlas oznámí “Miroslav Kalousek”. Myslím, že tohle je už trochu moc."
42e3bc8885060db217faf80f0c9da97a,"Časy se mění. Když jsme s Karlem Schwarzenbergem před 11 lety oznamovali, že založíme TOP 09, řekli jsme, co chceme: Hodnotové desataro, programové priority (rozpočtová odpovědnost, EU, atd.). Dnes už se asi nemusí říkat co chci. Stačí říct, že chci. Hodně štěstí..."
49ce74fbd7db26e72ce41ae4a590d374,"Karel Schwarzenberg. Skutečný vlastenec, se kterým se dodnes chtějí setkávat hlavy států a který chápe trendy moderního světa mnohem bystřeji než mnozí o generaci mladší politici. Važme si každé myšlenky, kterou nám předává."
4ee1faf65739fcc9d23e3f54162c3b33,"Na dopis Karla Schwarzenberga a Miroslava Kalouska „ostře reagoval Jiří Ovčáček“. Snad se jednou dočkám odpovídající situace, kdy na dopis Elona Muska ostře zareaguje Franta Novák, výrobce koloběžek z Bobrdovic pod Mrdníkem."
4FE34ED8A700AE6CB5CD06A10EF67C0F,"@JiriPehe Karel IV. nepřipadá v úvahu. Přebírat by musel pokrevní potomek Karel Schwarzenberg a ten by to odmítl."
500a4fdef8f12ad0c19bb98e89f0311d,"Imigranti a kopnutí do Schwarzenberga. 11 měsíců do voleb a už začíná další přetahovaná o absolventy vysoké školy života. https://t.co/k8tzvpHtqB"
537b3132d69d6312bc8e321593337580,"@kalousekm @schwarzenbergk Mno, bylo by fajne, kdyby tu pan knize poslal názor. Bychom byli rádi znát pohled jeho, bo si jej hluboce vážíme. A tento účet nám nepřipadá tak daleko od stylu humoru páně Schwarzenberga aj vhledu ostatních šlechticů.."
561D91DBF9BBCE6A745D4C3A4E92C4F3,"@PetrHonzejk Karel Schwarzenberg si koupil lístky a šel tam. Plně to chápu. Byla to výjimečná šance jít na koncert svých vrstevníků."
58b5323ce2465f4d63711c96e50c3c19,"„Začal chcípat motor.“ @TomasCzernin chce v @TOP09cz změny, k Schwarzenbergovi má blízko https://t.co/5wfJJDIIUW @Blesk24"
5fd8968ead333fb4bc836e3a27a38c21,"Ochrana lidských práv byla za časů Václava Havla a Karla Schwarzenberga vlajkovou lodí naší mezinárodní politiky, díky které jsme ve světě měli velkou autoritu. M. Zeman důsledně ničí obraz České republiky jako demokratické civilizované země. https://t.co/p8y3RydiHI"
61bc9ab6893fd553ebd0257081593511,"Karel Schwarzenberg : Přesně ví, kde je šance budoucnosti naší země. Ví proto i to, co si musíme umět přiznat jako vlastní chyby. Dobře proto ví, proč si @TOP09cz musí vyměnit svého předsedu. Budeme-li se řídit radami @schwarzenberg_k, odvedeme pro ČR ještě mnoho dobré práce. https://t.co/APLoQ6sBH9"
66B774293A7FCF8073D84D60EC17FDCB,"Karla Schwarzenberga a mě označil včera pan prezident za „bývalé lidi“. To je termín, který Státní bezpečnost v padesátých letech převzala od sovětské moci. Označovala jím poražené třídní nepřátele, s nimiž je třeba se vypořádat. Tehdejší ministr vnitra Barák to v roce 1959 dokonce uložil rozkazem. Prezident Zeman se tímto výrokem přihlásil k dědictví Gottwalda, Zápotockého a Novotného. Jasně tím řekl, že třídní boj je mu bližší než demokracie. Můžeme se jen dohadovat, zda tento výrok byl produktem duševní kondice pana prezidenta, nebo zda již existuje nějaký tajný rozkaz ministra Chovance, podobný rozkazu ministra Baráka z roku 1959."
671b8127cef892260e8cfa2492a19722,"Česká zahraniční politika vstupuje s vládou Andreje Babiše do velmi temné etapy. A zjevně opouští akcenty humanismu a lidských práv založené Václavem Havlem a Karlem Schwarzenbergem. Akcenty, které nám v minulosti zajišťovaly mezinárodní respekt. Stáváme se velmi nečitelným a nevěrohodným partnerem pro ostatní země EU. Cena za tuto politiku bude vysoká a škody nepůjde napravit snadno a rychle."
73a07fd8025f82e92f4d3a69fec87cc4,"@SvecKamil @prchal @schwarzenberg_k Pane Šveci, mám takový dojem, že to nezačalo K. Schwarzenbergem, ale že on začínal dokonce u TOPky. Pokud se pletu tak mě opravte, nicméně nechce se mi věřit, že nelze najít druhého MP a schopný tým. Velká chyba pol. stran, napříč tomu, že nedisponují financemi jako má AB."
77e63463a58402ad89c99ea39a58f41e,"@sklenicka_f A navíc byl Radecký “jen” náčelník štábu Karla Filipa Schwarzenberga :). Jen teda nevim jak by se Češi tvářili na pomník @schwarzenbergk ;)"
8005C27A1BD7ACF9C0E2F4344DF70136,"Se Středočechy a Karlem Schwarzenbergem zahajujeme závěrečnou fázi volební kampaně. Přeji jim a celé TOP 09 hodně úspěchů jak v komunálních, tak v senátních volbách. https://t.co/GP2n3IACPy"
88dc0c6a17eba45a2d1a1b0b3ce317d7,"Dnes se dožívá 81. narozenin Karel Schwarzenberg. Vlastenec, diplomat, státník a nekonečně laskavý člověk. Milý Karle, přeji hodně zdraví, lásky a srandy. Jste dnes v naší zemi jediným politikem světového formátu. Potřebujeme Vás víc než kdykoliv dřív."
