StatementId,Text
0081507867ceef0f678b08ed315bc13d,"@RadovanVavra Jaká média? Myslíte ta Babišova? Myslím, že platí jednoduchá rovnice : Kdyby měl @AndrejBabis důvod bát se Pavla Zemana, tak už na své židli Pavel Zeman dávno nesedí. To jsme viděli u řady policejních špiček, včetně šéfa policejní inspekce."
0159D0839F6D85DF9D04C0A1C5548525,"Teď už tu evropskou politiku bude určovat jenom @AndrejBabis sám. Ruku v ruce se Zemanem a Orbánem. Lidé si to tak zvolili, tak to tak bude. Ale že nad tím jásá odborný garant zahraniční politiky @ODScz, to je docela smutné. https://t.co/n0OrkOsBkq"
016335a9cdbbc31b8bde448d92c937d0,"Ostatně se domnívám, že když státník v demokratické zemi poštve lůzu proti zákonodárné moci zvolené ve volbách, je to velezrada. Doporučuji si vzpomenout, kolikrát Zeman i Babiš mluvili o Sněmovně i o Senátu způsobem, kterým se snažili vyvolat v lůze vůči těmto institucím odpor."
01C6D589893120A4FD13EF58F7C7CD46,"Nevypadá to špatně. Pokud Fischerovi, Horáčkovi a Hilšerovi voliči přijdou na druhé kolo, bude moci Miloš Zeman odejít na zasloužený odpočinek. Bude to prospěšné jak pro něj, tak pro naši zemi."
01F1932673EC2C101F47D4A551B61FB6,"Máte někdo přehled, kteří čeští politici mají čínského poradce? Vím, že Miloš Zeman a Jan Zahradil, ale pak už nevím. Zdá se však, že to začíná být znakem “pravého vlastenectví”."
036FAC8A499DD6E27AEBBC859E3AC9AD,"@HanzAusAltStadt Taky si všimněte jak tvrdí, že US a lidovci s ním do vlády nechtěli, takže to bylo jediné řešení. Dodnes je v otevřených zdrojích dohledatelné, jak ho J.Ruml pozval na oběd a přemlouval ho na koalici ODS, US a KDU-ČSL, 102 hlasů. Nechtěl. Chtěl dohodu se Zemanem."
039f8ffad6886e37493553006ee186b6,"“Chceme slušnou vládu” volaly dnes tisíce lidí na Václavském náměstí. Nikdo nezpochybňuje vítězství Andreje Babiše a Miloše Zemana ve volbách. To vítězství je ale nezbavuje odpovědnosti, naopak. Činí je to odpovědné za to, abychom měli slušnou vládu. Zatím pro to oba dva pánové nic nedělají."
03E7AB419F11E63D4209AFB3E7DC997A,"Pokud @AndrejBabis nazývá @kalousekm  vožrala vožralej  (viz jednání o důvěře vládě), jakpak asi oslovuje Zemana..?"
0582e44cb7646bf4222bc44898c58de5,"Schopnost veřejných činitelů hodnotí prezident Miloš Zeman podle jediného kritéria: Zda jsou to všehoschopné kreatury kdykoliv schopné mu podlézat. Z tohoto hlediska je Ondřej Kolář zcela neschopný, jako všichni politici TOP 09. Na svoji neschopnost jsme hrdí."
05A60DB878653C01380BE20334D67D8B,"Mohl byste nám, pane generální řediteli sdělit, co jste tam dělal Vy? Kontroloval jste pana Zemana, nebo pana Pokorného? Proč? Významného hosta přijde ředitel pozdravit. O.K., běžné. Ale u rozhovoru nemá co dělat. Za 28 let jsem tohle nezažil. Nevěřím Vaší nezávislosti. https://t.co/UgsriNe523"
0615f8afcfc28c0b20198b2897dfaf61,"Tu prostou skutečnost, že prezident České republiky Miloš Zeman už není schopen zastávat svoji funkci, tu vidí úplně každý. Problém je, že většině zvolených ústavních činitelů to vyhovuje. Takže se nestane nic, jako vždycky."
06A035C4C882123D258727F2320D27C0,"Sedmi frakcím ve sněmovně se údajně nelíbí jednobarevná menšinová vláda A. Babiše bez důvěry. Pokud mluví pravdu, může Poslanecká sněmovna vzniku takové vlády zabránit. Bude-li zvolen předseda PS, alespoň se zjistí, kdo se s Andrejem Babišem dohodl, kartelu Zeman – Babiš vyhověl a je tak tichým společníkem opoziční smlouvy II. V takovém případě byla opoziční smlouva I. férovější.  Tam to alespoň ty strany veřejně přiznaly."
06AD6627492E94CF1C15AFBD3668F9DF,"@danaketh @Markus_Zeman Jenom proto? Svým způsobem je sranda i se Zemanem."
0944918a171433f6a36d699ecf740e00,"Zeman: ,,Koalice bez ANO jsou spiknutím poražených”. To je nepravdivý plk. Kdo získal mandáty, nebyl poražen a vítězem je dohodnutá většina. Jedinou ,,koalicí poražených” byla Rusnokova vláda. Nikým nevolení Zemanovi kumpáni vládli proti vůli sněmovny a pak ve volbách propadli."
09c202000f5491955849db39a9967db2,"Byl jsem ještě malý kluk, když bylo některým soudruhům nejhůř a v Praze proto přistály desítky ruských letadel. O jakou pomoc chce vlastně Zeman Putina požádat?"
0ab36969ebf85653ce473510c4179492,"Já nebudu tak korektní a slovo ,situace” přeložím do konkrétna : Bezpečnost ČR ohrožují pánové Miloš Zeman a Andrej Babiš. Toho času prezident a premiér naší země."
0b094cfc7f2fd6b9a5ec3aedf1c180c5,"@kalousekm Myslím, že v době zahájení trestního stíhání a dalších úkonů tam Bradáčová, ani Zeman ještě nebyli. Nemohli tak nic ovlivnit."
0B1EE1EDA6CD85EC5B4C9CF0FD0BDAD2,"Ve svém prvním funkčním období vyznamenával Zeman normalizační bolševiky z vlastního rozhodnutí. Teď už to bude moci dělat na doporučení sněmovny. Pokrok nezastavíš. https://t.co/13g9va8rIY"
0ba0355ca106423e866e2a45067167f6,"@kunc_zidenice @PREZIDENTmluvci Není žádný důvod, pane místostarosto, abyste se styděl za trosku jménem Miloš Zeman. Nevolil jste ho a nenesete odpovědnost. Buďte právem hrdý na své Židenice, na Brno, Jihomoravský kraj a celou naši zem. Je stále na co být hrdý. Přeji Vám krásný sváteční večer."
