Slovo,Podobnost
vždycky,0.3712957501411438
delší,0.22796882688999176
ukázat,0.22772783041000366
zastupovat,0.22380249202251434
odchodu,0.21617917716503143
země,0.20874227583408356
znám,0.20873653888702393
vládě,0.20565766096115112
potřebným,0.20370206236839294
zvyklosti,0.20123758912086487
optimismus,0.2007376104593277
takový,0.19053392112255096
kunčar,0.18801969289779663
svobodu,0.18781889975070953
možnost,0.1832817643880844
návštěva,0.17727968096733093
skrývat,0.17640256881713867
běžte,0.17637179791927338
souhlasím,0.17575716972351074
křesťanské,0.1743050366640091
střihoruký,0.16905178129673004
lásky,0.1571269929409027
chrudimsku,0.1526792347431183
lidovci,0.15207816660404205
profesoru,0.1499965488910675
