Slovo,Podobnost
trollové,0.37113431096076965
významný,0.31529709696769714
výrazných,0.2988489866256714
lidstvu,0.27830737829208374
pamatovat,0.2469971626996994
bratrství,0.23782162368297577
odkaz,0.234780415892601
mezinárodní,0.2333097755908966
koalicí,0.23194605112075806
klaus,0.2282082885503769
masaryk,0.22671037912368774
spravné,0.22153633832931519
horší,0.2196301370859146
toufarem,0.21680933237075806
exvelvyslanci,0.21601955592632294
příslušností,0.21525098383426666
zájmů,0.21423734724521637
evropu,0.2142181396484375
prohlubovat,0.2120090276002884
dětí,0.20895083248615265
styl,0.2072058618068695
dělat,0.19947652518749237
špidlík,0.19845204055309296
myslím,0.1957452893257141
podobách,0.19301846623420715
