Slovo,Podobnost
smysl,0.3228795826435089
vznikne,0.2851734757423401
narozdíl,0.28475987911224365
předseda,0.2730625569820404
vedení,0.2688346207141876
voličů,0.2658381462097168
části,0.2582431435585022
schopen,0.23698826134204865
opravdu,0.23614035546779633
fronty,0.2267232984304428
účelovka,0.22568877041339874
léty,0.21522162854671478
pointa,0.21346761286258698
jurecka,0.20219209790229797
kupodivu,0.20160362124443054
koalici,0.1997910887002945
čertí,0.19706591963768005
zkušenosti,0.1949564665555954
novinaři,0.19367732107639313
markéta,0.1923707276582718
hlasy,0.1891661435365677
politik,0.1867465078830719
symboly,0.1844569891691208
babiše,0.18221567571163177
pan,0.18093585968017578
