Slovo,Podobnost
přítomnosti,0.3836669623851776
solidaritou,0.29381063580513
sebe,0.28370726108551025
zrůda,0.2814594805240631
ponoukána,0.23698903620243073
blok,0.22971461713314056
skutečný,0.22883456945419312
pana,0.2173224538564682
čínské,0.2140272855758667
činí,0.21232302486896515
roce,0.21044354140758514
konkurenty,0.209274023771286
moderátora,0.20506499707698822
donbasem,0.2014143019914627
twitterové,0.20047837495803833
maňásek,0.1994723230600357
křesťany,0.1981411874294281
antilidi,0.18793512880802155
vláda,0.18750795722007751
ukrajina,0.18663333356380463
ideály,0.1821184754371643
korce,0.18026073276996613
koalici,0.17764651775360107
zakladatel,0.16743822395801544
institut,0.16230596601963043
