Slovo,Podobnost
teroristický,0.29179590940475464
zastánce,0.28006526827812195
vládě,0.2602201998233795
dětí,0.23550525307655334
podporovatel,0.23502518236637115
společně,0.22322849929332733
pánové,0.20557329058647156
soudu,0.20137958228588104
podíl,0.20058274269104004
táborů,0.19982555508613586
zprávu,0.19499091804027557
reakce,0.1920197755098343
vicepremiéra,0.18910515308380127
novinách,0.18693479895591736
ministryně,0.1867770105600357
terorismu,0.18658988177776337
zapomíná,0.18375663459300995
marie,0.18196266889572144
člověk,0.17233721911907196
stran,0.1663733273744583
vedené,0.15680460631847382
ministr,0.1563333123922348
staré,0.1558651179075241
výměnu,0.15404488146305084
říjnu,0.15198352932929993
