Slovo,Podobnost
nemusí,0.37051862478256226
skutečný,0.3431364893913269
parlamentu,0.30512499809265137
přijede,0.2852075397968292
demonstraci,0.25991591811180115
pozemek,0.24921683967113495
službu,0.23789522051811218
volbách,0.231192946434021
rozdíl,0.22566388547420502
aktuální,0.22540220618247986
rozpočtu,0.22485727071762085
šéfredaktora,0.22410055994987488
tým,0.21911679208278656
evidentní,0.21890705823898315
veřejnoprávní,0.21784642338752747
škol,0.213180810213089
zásluhy,0.2090424746274948
témata,0.20766346156597137
trestat,0.19108428061008453
partnery,0.18585152924060822
konečně,0.18468134105205536
školního,0.18288029730319977
většina,0.17905643582344055
moci,0.17771293222904205
oponentů,0.17549708485603333
