StatementId,Text
028c3c618226428429006a451f5bd17d,"Jak se dívá předseda ODS Petr Fiala na současné dění v USA? A jak vidí situaci ohledně Covid-19 a to, že jsme v řadě ukazatelů souvisejících s touto nemocí jedni z nejhorších na světě? 👉https://t.co/bg857ntwly prostřednictvím @RadioZcz @P_Fiala #podcast"
081eb3c731fd94337ad9898414d928ad,"Petr Fiala pro Česká televize:    „Zpochybňování rozhodnutí Ústavního soudu a urážky vůči jeho předsedovi ze strany předsedy vlády považuji jako neodpovědné.“    Nemůžeme dopustit, abychom před občany zpochybňovali nezávislost této instituce.“"
095621aff83fd47cff38cd393e8a61b2,"Milí přátelé,    je tu poslední den tohoto roku.     Rozumím tomu, že silvestrovská noc je pro mnohé spojena s oslavami. Ale zvažte, prosím, zda letos konec roku neprožít spíše v rodinném kruhu nebo s blízkými přáteli. Nebezpečí pandemie nepominulo.   S nástupem nové varianty omikron je to bohužel přesně naopak.     Nikdo z nás nechce první lednové dny a týdny sledovat, že čísla nakažených opět stoupají a nemocnice se plní vážně nemocnými. Myslete, prosím, na to. Je to na nás všech.     Hezkého silvestra a co nejlepší nový rok Vám přeje Petr Fiala."
0bda9f70501f75553f97200af2048d40,"Mamince @tondablanik opravdu zahrát nedokážu ;-), ale Petr Fiala z Mňága a Žďorp ano. Tak se dnes od 19:00 dívejte a poslouchejte. Pěkný večer:-). #kulturazije https://t.co/QsOtmHfOv5"
0ebbd24c7adda26909aebff24221ba6a,"Obdiv k Číně je postavený na hlavu a proti českým zájmům. Jsme svědky propagování historické lži ve směru k Číně, která mi přijde nebezpečná, říká předseda @ODScz Petr Fiala v rozhovoru s @michalpur. https://t.co/QlXfrnt4k0"
1b0bc3907092b834d23a48e8d11ddbbf,"Hnutí ANO nedrží slovo, nepodpořilo projednání volebního zákona ani okolnosti prodloužení nouzového stavu. Ten nepodpoříme    Petr Fiala: „„Na včerejším jednání předsedů politických stran zastoupených v Poslanecké sněmovně probíhala věcná debata o volebním zákonu a došlo ke shodě v základních parametrech. Jedním z nich bylo dnešní projednávání předložené novely volebního zákona skupiny poslanců pod vedením Marka Výborného, abychom na jeho základě mohli připravit změnu dle pozdější dohody. Dnes při hlasování se ukázalo, že tomu tak není a hnutí ANO nepochopitelně nepodpořilo zařazení projednání tohoto zákona, a tím pádem zkomplikovalo cestu k rozumnému řešení. Stejně tomu bylo u možného prodloužení nouzového stavu. Snažili jsme se vytvořit prostor pro jednání a dohodu. Dali jsme vládě k dispozici naše návrhy, kterými se mohla zabývat. Abychom mohli debatovat o tom, jak odškodňovat, jak pokračovat v očkování, jak otevřít školy. Vládní většina však dnes jasně dala najevo, že o diskusi nestojí, a to v situaci, kdy nemá dostatek hlasů pro prodloužení nouzového stavu. Považujeme to za ostudné a nezodpovědné vůči lidem.“    Marian Jurečka: „Jsem za posledních 24 hodin velmi zklamaný a rozhořčený z jednání vlády! Apelovali jsme na vládu a premiéra, ať jedná o tom, jak upravit parametry vládních opatření. Mnoho živnostníků a firem je na hranici buzerace a naprosto zbytečných komplikujících podmínek, které ale nepomáhají zastavit šíření pandemie.    Opakovaně jsme dávali náměty a návrhy, jak to upravit parametricky i legislativně. Nám jde o ochranu životů lidí, ale i o ochranu živobytí lidí v České republice! Včerejší dohody z jednání pan premiér zapomněl přenést na své kolegy ve Sněmovně a dnes odletěl do Srbska! Přístup vlády a premiéra v této vážné situaci je opravdu velkým zklamáním.“    Markéta Pekarová Adamová: „Andrej Babiš a hnutí ANO nectí žádné dohody. Na včerejším jednání se jasně dohodly všechny politické strany zastoupené ve Sněmovně, že dnes umožní projednání volebního zákona ve formě, která už je předložena. Je to nutné, aby změna volebního zákona proběhla co nejrychleji. Dnes, ani ne za 18 hodin, tato dohoda neplatí, protože ji porušilo hnutí ANO a SPD. Vláda navíc odmítá jednat o našich návrzích, které mají za cíl pomoci lidem lépe zvládat dopady epidemie, a kterými jsme podmínili samotnou debatu o nouzovém stavu. Vláda ignoruje naše návrhy pomoci lidem, bere si je jako rukojmí, ale my se nenecháme vydírat a rozhodně nebudeme hlasovat pro prodloužení nouzového stavu.“"
21bd33fee8f14a32915734bea77266d2," V koalici se dokážeme dohodnout nyní a dohodneme se i po volbách. A jsme připraveni dohodnout se i s ostatními stranami. Ale jen s těmi, kteří budou respektovat, že ČR je součástí demokratického Západu,  uvedl Petr Fiala (ODS). https://t.co/0ic3jgisKE"
241f0edd45f6e6dafd305f4229ace6d8,"Milí přátelé,    jsou tu sváteční chvíle, které mě už od dětství naplňují radostí a nadějí.  Přeji Vám krásné a požehnané Vánoce.    Váš Petr Fiala"
279054715fa6abf06d98157c0ed21a63,"„Dneska už vláda nic neřídí, všechno se jí vymklo z ruky, řídí akorát rozdávání, a to opravdu nemůže dobře dopadnout,“ říká Petr Fiala v rozhovoru pro Seznam Zprávy. Je na stole pád vlády? A jaké jsou plány trojkoalice s lidovci a TOP 09?    https://t.co/IgjUlvddSX"
2dd246697ba0438691633cefbe0003d9,"Petr Fiala: „My, představitelé opozičních stran jsme se postavili vedle sebe a řekli jsme: Nám se to nelíbí, my jsme tím zneklidnění, budeme usilovat o to, aby právo platilo pro všechny a v nás máte politickou alternativu.“    https://t.co/ppCcRYBnUM"
324e7c4b4cc85f9cbb2f026750d1f337,"ODS došla s vládou trpělivost. Petr Fiala je proti prodloužení nouzového stavu o měsíc. Vláda by podle něj měla zdůvodnit, proč ho potřebuje a jaká opatření chystá. „Určitě ne na měsíc a určitě ne dát vládě bianco šek,“ říká.    https://t.co/7agaMfGngG"
32d8c6f2ed6b22b03866bedb3cbce1f9,"Tady je 2. část dnešního povídání @Aktualnecz s předsedou ODS Petrem Fialou, který odpovidá na dotaz: Co když ODS v podzimních volbách nedopadne dobře, nebudou členové volat po výměně předsedy strany? A tady doplněný článek o ODS: https://t.co/5oc1wJLlXA https://t.co/9xlxtl3I0S"
3436e4b9616ab2b19cf7248a9bc4318e,"PŘÍMÝ PŘENOS: Co přináší nová trojkoalice? Jak vidí obsazování společné kandidátky členy ODS, KDU-ČSL a TOP 09? Sledujte pořad Napřímo s Petrem Fialou (ODS), lídrem trojkoalice Spolu.    Více informací najdete na TN.cz: https://bit.ly/3anIUqf"
3933260f92bd1a45d2261437dde71a05,"Vláda by se měla soustředit na získání vakcín, které mají certifikaci Evropské lékové agentury a měla by umožnit nákup i velkým firmám, které mají zájem a které by mohly očkovat svoje zaměstnance.    Poslechněte si Petr Fiala!"
3c3f1df0e706d54b6f5b999854f60bff,"Na tomto místě představuji osobnosti, s nimiž se setkávám ve své práci, v politice, ve svém okolí. Proto také název Lidé kolem mě. K těm úplně nejbližším patří František Mikš. Poznali jsme se před více než 30 lety při vydávání samizdatových časopisů.    František je významnou osobností kulturního života v naší zemi. Je šéfredaktorem kulturního dvouměsíčníku Kontexty a založil a vede i redakci nakladatelství Books & Pipes, kde mimo jiné řídí edici Dějiny a teorie umění.    Do roku 1989 pracoval jako topič a správce kulturního domu, přičemž prakticky veškerý svůj volný čas věnoval vydávání samizdatových časopisů a nezávislým aktivitám.    V roce 1993 jsme spolu zakládali brněnské Centrum pro studium demokracie a kultury. František je rovněž ředitelem Pravého břehu – Institutu Petra Fialy, jehož cílem je otevírat a diskutovat témata moderní pravicové politiky.    František píše zasvěcené a inspirativní knížky a články o politice, společnosti, kultuře a především o výtvarném umění. A píše čtivě, zkuste si přečíst třeba Obranu ženských tvarů – knížku o životě, kráse, zdravém rozumu a politické nekorektnosti. :-) Spolu jsme také nedávno napsali knihu o současném konzervativním myšlení a politice s názvem Konzervatismus dnes.    Pojí nás spolu dlouholeté přátelství i podobný pohled na svět – věříme ve stejné hodnoty, v nichž klíčové místo zaujímá svoboda."
44a5a1a8b7f4acbe726890b108e839b8,"ODS už nepodpoří žádné prodloužení nouzového stavu. Podle předsedy ODS Petra Fialy už to není potřeba.  https://t.co/xIaYMGTWWM https://t.co/UYhfXS1AGT"
44f1826252019eb1f5be830b5a9b900d,"„Jindy rezervovaný Petr Fiala zkritizoval samotného premiéra Andreje Babiše,“ píší Eurozprávy. A mají pravdu.     Jako manažer nedokázal lidem pomoci. Řídit stát není to samé jako řídit firmu. A pokud jde o restart republiky, už nyní je jasné, že naprosto selhal, vláda zabíjí ekonomiku, protože jedná pomalu, a navíc ještě špatně.     Kdyby vládu řídila ODS, byli bychom lépe připraveni a starali se o lepší zásobování zdravotnickým materiálem. Již na konci ledna jsme upozorňovali na rizika pandemie, vládní koalice to ale ignorovala a smetla to ze stolu. Říkali bychom lidem pravdu a zavedli bychom opravdové krizové řízení a včas aktivizovali Ústřední krizový štáb. Vydávali bychom jasná i promyšlená rozhodnutí a nabídli postiženým opravdovou pomoc, ne její parodii. A především bychom zemi nabídli opravdový plán obnovy, ne shluk slibů a nesmyslů, jak to dělá současná vláda."
4bd5485a787c5c8ab204961c2f9718a3,"Nikdo z nás nechce první lednové dny a týdny sledovat, že čísla nakažených opět stoupají a nemocnice se plní vážně nemocnými. Myslete, prosím, na to. Je to na nás všech.     Hezkého silvestra a co nejlepší nový rok Vám přeje Petr Fiala."
4eb3b00c97ebfeb70a4f0e4995ae37a5,"Milí přátelé,    jsou tu sváteční chvíle, které mě už od dětství naplňují radostí a nadějí.    Přeji Vám krásné a požehnané Vánoce.    Váš Petr Fiala"
