Slovo,Podobnost
ústavního,0.3859182298183441
demokracie,0.3168121576309204
řada,0.30450552701950073
politickou,0.2993603050708771
dlouhodobě,0.291155070066452
babišem,0.28692328929901123
premiérem,0.27446478605270386
živnostníky,0.27101340889930725
variantách,0.26696017384529114
samotného,0.26670023798942566
společnosti,0.2616136968135834
brožurka,0.25792282819747925
návrhy,0.25615471601486206
rozhovoru,0.2524068355560303
souvisí,0.25225991010665894
klubů,0.2489546835422516
vydávání,0.24795646965503693
říká,0.24755853414535522
pozdější,0.24699674546718597
cílem,0.24682499468326569
podstatnou,0.24585595726966858
především,0.24006065726280212
slova,0.2392776906490326
myslete,0.2368728071451187
přiměřeně,0.23604752123355865
