Slovo,Podobnost
slabé,0.3739039897918701
říká,0.310026079416275
takovou,0.3028249442577362
postup,0.27742525935173035
podnikatelům,0.2764511704444885
občany,0.2669004797935486
režim,0.2468377649784088
obranu,0.24628204107284546
přesvědčen,0.24402672052383423
vědomi,0.2435554414987564
centimetr,0.22481407225131989
rodiny,0.22388114035129547
tzv,0.22098684310913086
informace,0.22062954306602478
vlně,0.2198595255613327
prosazovat,0.21777376532554626
izolaci,0.21530365943908691
pravý,0.21480520069599152
podhradí,0.21155975759029388
lidé,0.21131184697151184
zájmům,0.20860962569713593
evropě,0.2048873007297516
jistotou,0.20471501350402832
měsíce,0.19599109888076782
důsledků,0.19263768196105957
