Slovo,Podobnost
ministryni,0.7699549794197083
lidi,0.7463657259941101
vládě,0.7446519732475281
stát,0.7425174713134766
sněmovně,0.7168614864349365
paní,0.7112507224082947
ministerstvo,0.7053684592247009
rozpočtu,0.6887108683586121
dělat,0.6846815943717957
celou,0.6801635026931763
zákon,0.675657331943512
návrhy,0.6733476519584656
rodičovského,0.6677263975143433
eet,0.6622416377067566
zemí,0.655524492263794
premiéra,0.654321014881134
babiš,0.6501526832580566
roku,0.6500800251960754
politickou,0.6458123922348022
zrušení,0.6408348083496094
financí,0.6315351724624634
česká,0.6259531378746033
peníze,0.6217601895332336
správa,0.5943751931190491
republikou,0.5899798274040222
