Slovo,Podobnost
vládu,0.9868788719177246
politiků,0.9851322174072266
ministrem,0.982556164264679
premiér,0.9823487401008606
politických,0.982128918170929
babiš,0.9810365438461304
roku,0.979400634765625
financí,0.9784260988235474
volby,0.977861762046814
české,0.9773631691932678
předseda,0.9765149354934692
jiný,0.9725522994995117
lidi,0.9722241163253784
stát,0.971603512763977
občanů,0.9706926941871643
žádným,0.9695730805397034
stran,0.9695522785186768
podnikatelům,0.9692015051841736
vládní,0.9690560698509216
lety,0.9670889973640442
zákon,0.9656463265419006
bezpečnosti,0.9652773141860962
zeměmi,0.9645060300827026
pana,0.9635252356529236
místo,0.959793210029602
