Politician,Top 10 Unique N-grams
adam-vojtech,ministerstvo zdravotnictví (109); zdravotnictví české (82); zdravotnictví české republiky (81); ministerstvo zdravotnictví české (76); duševního zdraví (67); duševní zdraví (67); ministerstva zdravotnictví (62); praktických lékařů (57); dobré ráno (50); zdravotních pojišťoven (49); primární péče (48); vzácná onemocnění (41); veřejného zdravotního (41); zdravotní pojišťovny (40); veřejného zdravotního pojištění (40); ochranných pomůcek (38); českého zdravotnictví (35); celé čr (34); veřejného zdraví (34); elektronizaci zdravotnictví (33); veřejném zdravotním (33); zdravotním pojištění (32); veřejném zdravotním pojištění (32); péče duševní (31); úhradová vyhláška (31); lékový záznam (31); péče duševní zdraví (31); center duševního (29); zákona veřejném (29); center duševního zdraví (29); zdravotními pojišťovnami (28); nemocnice bulovce (28); zákona veřejném zdravotním (28); zákona veřejném zdravotním pojištění (27); péče pacienty (26); ministerstvu zdravotnictví (25); psychiatrické péče (25); české zdravotnictví (25); lékařských fakult (24); nošení roušek (24); ministrů zdravotnictví (24); léčebné konopí (24); duševním onemocněním (23); dostupnost zdravotní (23); paliativní péče (23); lokální ohniska (22); epidemiologická situace (22); naším cílem (22); dostupnost zdravotní péče (22); šíření koronaviru (21); českém zdravotnictví (21); tiskové konferenci (21); otevřených dveří (21); zdravotnických prostředků (20); pozitivních případů (20); léčebného konopí (20); dohodovacího řízení (20); národní referenční (20); tomto směru (19); preventivní prohlídky (19); naše občany (19); praktického lékaře (18); mimořádné opatření (18); hygienické stanice (18); nových případů (18); porodní asistence (18); ochraně veřejného (18); ochraně veřejného zdraví (18); zákona ochraně veřejného (17); zákona ochraně veřejného zdraví (17)
alena-gajduskova,veřejné služby (20); sociální demokraté (17); lidi zdravotním (16); lidi zdravotním postižením (14); alena gajdůšková (13); velké blahopřání (11); lidí zdravotním (11); lidí zdravotním postižením (11); opravdu ráda (10); ministr toman (10); zálohované výživné (9); lidé zdravotním (9); lidé zdravotním postižením (9); mužů žen (8); navýšení rodičovského (8); klimatickou změnu (8); zrušení karenční (8); karenční doby (8); rodin dětmi (8); malými dětmi (8); zaměstnávání lidí (8); žen mužů (7); očima saši (7); saši mitrofanova (7); sociální demokraty (7); osob zdravotním (7); zvýšení minimální mzdy (7); zaměstnávání lidí zdravotním (7); zaměstnávání lidí zdravotním postižením (7); médií veřejné služby (6); kvalitní zdravotní péče (5); zaměstnávání osob zdravotním (5); poslaneckého klubu čssd (5); všechny rodiny dětmi (5); hodně zdraví štěstí (5); řešení klimatické změny (5); zaměstnávání osob zdravotním postižením (5); alena gajdůšková čssd (4); výboru alena gajdůšková (4); děti lidi zdravotním (4); místopředsedkyně sociálního výboru (4); média veřejné služby (4); mld kc roce (4); děti lidi zdravotním postižením (4); spoluúčasti pacientů zdravotní (3); pacientů zdravotní péči (3); placení nemocenské prvního (3); dne zvyšování platů (3); rovnosti žen mužů (3); sociální demokraté zlínském (3); demokraté zlínském kraji (3); dostupná kvalitní zdravotní (3); osoby zdravotním postižením (3); navýšení příspěvku zaměstnávání (3); stát musí zajistit (3); minimální důstojná mzda (3); rodin dětmi dětí (3); konfederace odborových svazů (3); rok leží sněmovně (3); leží sněmovně návrh (3); sociálního výboru alena (3); zákona pobytu cizinců (3); lidem zdravotním postižením (3); zaměstnavatelů zdravotně postižených (3); děti 4 let (3); zdravotním postižením seniory (3); volte číslo 7 (3); krajská konference čssd (3); délku zdravého života (3); navýšení příspěvků zaměstnávání (3)
alena-schillerova,ministerstva financí (85); finanční úřad (84); paušální daň (77); správa čr (72); finanční správa čr (71); 500 kč (52); celní správa (48); stravenkový paušál (48); státní dluhopisy (45); kompenzačního bonusu (43); bonusové období (42); životní úrovně (41); daně příjmů (41); kč měsíčně (40); online finanční (40); nový týden (37); díky kterému (36); ministrů financí (36); příspěvek stravování (36); ministerstvu financí (36); daňové přiznání (35); správa české (35); celní správa české (35); správa české republiky (35); celní správa české republiky (35); kč denně (33); státní správě (33); úřad zastupování (33); zastupování státu (33); státu věcech (33); věcech majetkových (33); majetkových úzsvm (33); ministrem financí (33); úřad zastupování státu (33); zastupování státu věcech (33); státu věcech majetkových (33); věcech majetkových úzsvm (33); úřad zastupování státu věcech (33); státu věcech majetkových úzsvm (33); úřad zastupování státu věcech majetkových (33); zastupování státu věcech majetkových úzsvm (33); naší ekonomiky (32); roce 2018 (31); celní správy (31); dluhopis republiky (31); díky němu (30); zamezení dvojímu zdanění (26); výši mld kč (24); nový kompenzační bonus (20); vládní rozpočtové rezervy (19); elektronické evidence tržeb (18); naše veřejné finance (18); mld kč navíc (17); podání daňového přiznání (17); kolegové úřad zastupování (17); plníme programové prohlášení (17); dph vodné stočné (17); kolegové úřad zastupování státu (17); plníme programové prohlášení vlády (17); kolegové úřad zastupování státu věcech (17); 500 kč denně (16); státním rozpočtu rok (16); podepsala rozpočtové opatření (16); 1 000 korun (16); zamezení dvojího zdanění (15); jednání ministrů financí (15); boj daňovými úniky (15); národní plán obnovy (14); online finančního úřadu (14); této nelehké době (14)
alexandra-udzenija,čtěte komentáři (55); polokomunistická vláda (14); víc čtěte (11); 26 let (9); dvojka srdcem (9); časopis reflex (9); daňové prázdniny (8); důchodového systému (8); malý levný (8); komentáři časopis (8); mezi top (7); nulové zdanění (7); bohosluzba ucteni (7); ucteni pamatky (7); pamatky narodnich (7); narodnich hrdinu (7); ruskem velvyslanectvi (7); pirati sli (7); sli pietni (7); pietni akt (7); akt takoveho (7); takoveho historickeho (7); historickeho vyznamu (7); státní výpalné (7); bohosluzba ucteni pamatky (7); ucteni pamatky narodnich (7); pamatky narodnich hrdinu (7); pirati sli pietni (7); sli pietni akt (7); pietni akt takoveho (7); akt takoveho historickeho (7); takoveho historickeho vyznamu (7); čtěte komentáři časopis (7); komentáři časopis reflex (7); bohosluzba ucteni pamatky narodnich (7); ucteni pamatky narodnich hrdinu (7); pirati sli pietni akt (7); sli pietni akt takoveho (7); pietni akt takoveho historickeho (7); akt takoveho historickeho vyznamu (7); bohosluzba ucteni pamatky narodnich hrdinu (7); pirati sli pietni akt takoveho (7); sli pietni akt takoveho historickeho (7); pietni akt takoveho historickeho vyznamu (7); prázdniny rodiče (6); lidem 26 (6); socialistická vláda (6); prorodinná politika (6); fond dvojka (6); důchodovou reformu (6); meli ruskem (6); velvyslanectvi pirati (6); koalice změny (6); prorodinné politice (6); levný stát (6); daňové prázdniny rodiče (6); lidem 26 let (6); nadační fond dvojka (6); fond dvojka srdcem (6); meli ruskem velvyslanectvi (6); ruskem velvyslanectvi pirati (6); velvyslanectvi pirati sli (6); víc čtěte komentáři (6); nadační fond dvojka srdcem (6); meli ruskem velvyslanectvi pirati (6); ruskem velvyslanectvi pirati sli (6); velvyslanectvi pirati sli pietni (6); čtěte komentáři časopis reflex (6); meli ruskem velvyslanectvi pirati sli (6); ruskem velvyslanectvi pirati sli pietni (6)
andrej-babis,ráno všem (138); tenhle týden (133); krásné ráno (124); krásné ráno všem (119); jedna fotka (118); koukněte video (85); karel havlíček (75); vláda schválila (64); výsledky jednání (62); výsledky jednání vlády (61); richard brabec (53); 10 procent (53); děkuju všem (51); tady máte (51); krásný den (50); konference plánu (47); tisková konference plánu (47); pojď mě (44); brusel právě (44); brusel právě teď (44); klára dostálová (43); zdravím všechny (42); krásný den všem (42); dva dny (41); jan blatný (39); nový stavební (39); miliard euro (39); čem sním (39); celý den (39); investiční plán (38); čem sním náhodou (37); sním náhodou spím (36); čem sním náhodou spím (36); národní investiční plán (31); právě teď krásný (31); aplikaci pojď mě (28); krásný večer všem (27); knížku čem sním (25); právě teď krásné (24); knížku čem sním náhodou (23); knížku čem sním náhodou spím (22); zasedání evropské rady (21); kramářova vila právě (20); vila právě teď (20); teď krásné ráno (20); vlády zdravotní rizika (20); čau lidi dneska (20); ursulou von der (20); kramářova vila právě teď (20); teď krásné ráno všem (20); ministerstvo životního prostředí (19); právě teď krásné ráno (19); právě teď krásné ráno všem (19); strakovka právě teď (18); rady výzkum vývoj (18); předsedou evropské rady (17); teď krásný den (17); úřad vlády právě (17); vlády právě teď (17); předsedkyní evropské komise (17); právě teď krásný den (17); teď krásný den všem (17); úřad vlády právě teď (17); právě teď krásný den všem (17); palác právě teď (16); tisková konference čeká (16); bezpečnostní rady státu (16); dph točené pivo (16); proti šíření koronaviru (16); rady výzkum vývoj inovace (16)
barbora-koranova,plzeňského kraje (21); třetích zemí (18); právu občana (17); území čr (17); města plzně (16); občana digitální (16); právu občana digitální (16); pracovních agentur (12); cizinců třetích (12); občana digitální služby (12); cizinců třetích zemí (12); právu občana digitální služby (12); plzeňském kraji (11); zákona právu občana (11); zaměstnávání cizinců (10); zákona právu občana digitální (10); zemí území (9); třetích zemí území (9); zemí území čr (9); třetích zemí území čr (9); bych dnes (8); zákona právu občana digitální služby (8); práce čr (7); chtěla bych dnes (7); cizinců třetích zemí území (7); cizinců třetích zemí území čr (7); stavebního práva (6); mnoho úspěchů (6); role státu (6); pobytu cizinců (6); třetí země (6); napříč politickým (6); politickým spektrem (6); ano 2011 (6); ict unie (6); mnou připravované (6); připravované legislativě (6); plzeňský kraj (6); zákon právu občana (6); návrhu zákona právu (6); chtěla bych poděkovat (6); zaměstnávání cizinců třetích (6); mnou připravované legislativě (6); zákon právu občana digitální (6); návrhu zákona právu občana (6); zaměstnávání cizinců třetích zemí (6); návrhu zákona právu občana digitální (6); zpráv české (5); zpráv české televize (5); média role státu (5); role státu jejich (5); státu jejich kontrole (5); média role státu jejich (5); role státu jejich kontrole (5); média role státu jejich kontrole (5); seminář média role (4); schůzi vyslovení nedůvěry (4); zároveň upravovat fungování (4); úřadu práce čr (4); poslanecké sněmovně dnes (4); fungování pracovních agentur (4); území čr zároveň (4); vládnímu zmocněnci it (4); orgány činné trestním (4); činné trestním řízení (4); portálu občana skrze (4); občana skrze internetové (4); skrze internetové bankovnictví (4); vojsky varšavské smlouvy (4); pobytu cizinců třetích (4)
dominik-feri,ústavně právním (5); soudech soudcích (4); právním výboru (4); pozměňovací návrhy (4); ústavně právním výboru (4); dominik feri (3); blbě vidím (3); právní výbor (3); proti množírnám (3); sněmovního systému (3); zákona soudech (3); reprodukce časopisu (3); jeho poradce (3); zákona soudech soudcích (3); čssd spd (2); celou republiku (2); čestný předseda (2); března 1939 (2); dva tři (2); ano berkovec (2); vánoční trhy (2); proti novele (2); národním divadle (2); slev jízdném (2); svým závazkům (2); odvody dohod (2); dohod provedení (2); provedení práce (2); senátor místopředseda (2); prezidentu republiky (2); sněmovna dnes (2); dnes schválila (2); vánoční zázrak (2); nečetl nemám (2); nemám brejle (2); brejle kampaň (2); milionu chvilek (2); tenhle rok (2); martin kroh (2); rychlost připojení (2); zítra začíná (2); schůze sněmovny (2); všecko nej (2); jedna nejvýznamnějších (2); 74 lety (2); poskytování realitních (2); realitních úschov (2); ústavně právní (2); lety začala (2); dneska přijeli (2); tančit všude (2); komunistický návrh (2); odvody dohod provedení (2); dohod provedení práce (2); sněmovna dnes schválila (2); nečetl nemám brejle (2); nemám brejle kampaň (2); poskytování realitních úschov (2); ústavně právní výbor (2); proti týrání zvířat (2); zpřísnění trestů týrání (2); trestů týrání zvířat (2); nikdo kupříkladu příliš (2); sněmu top 09 (2); reprodukce časopisu pestrý (2); časopisu pestrý týden (2); novele zákona soudech (2); hromadné žaloby vzplanou (2); žaloby vzplanou společnosti (2); vzplanou společnosti emoce (2)
ivan-bartos,státní správa (7); výjimek registru (5); digitalizace státu (5); výjimek registru smluv (5); zrušení výjimek (4); státem ovládané (4); dostala područí (4); schválení zákona (4); webu můžete (4); založit firmu (4); vlajkový zákon (4); zákon digitalizace (4); jeden den (4); vlajkový zákon digitalizace (4); výjimek registru smluv čez (4); druhým čtením (3); komunikaci úřady (3); další státem (3); ovládané firmy (3); budeme držet (3); držet kurz (3); zdanění práce (3); jeho střet (3); evropské úrovni (3); bychom chtěli (3); vedení země (3); digitální ústavu (3); mobilní data (3); státní správy (3); státní správu (3); prošel čtením (3); nový web (3); premiér střetu (3); našeho poslance (3); zrušení dětských (3); rozpočtový výbor (3); výbor doporučení (3); doporučení schválení (3); zákona vůbec (3); vůbec nehlasoval (3); nehlasoval piráti (3); piráti dnes (3); dnes hlasovali (3); hlasovali zamítnutí (3); zamítnutí dodatečného (3); dodatečného zdanění (3); zrušení výjimek registru (3); čez další státem (3); další státem ovládané (3); státem ovládané firmy (3); budeme držet kurz (3); jeho střet zájmů (3); premiér střetu zájmů (3); zrušení dětských exekucí (3); rozpočtový výbor doporučení (3); výbor doporučení schválení (3); doporučení schválení zákona (3); schválení zákona vůbec (3); zákona vůbec nehlasoval (3); vůbec nehlasoval piráti (3); nehlasoval piráti dnes (3); piráti dnes hlasovali (3); dnes hlasovali zamítnutí (3); hlasovali zamítnutí dodatečného (3); zamítnutí dodatečného zdanění (3); dodatečného zdanění církevních (3); církevních restitucí důvodu (3); restitucí důvodu vláda (3); důvodu vláda nedoložila (3); vláda nedoložila došlo (3)
jan-bartosek,odpočívejte pokoji (10); jejich práci (9); dostupného bydlení (7); bezpečnostní riziko (5); jihočeském kraji (5); mezinárodní den (5); alkoholu vodáků (5); jihočeského kraje (4); dlouhodobé financování (4); miliónů kč (4); navýšení rámci (4); rámci přesunu (4); 77 lety (4); vlastní život (4); myslet budoucnost (4); jejich práce (4); svůj život (4); vládní krize (4); další generace (4); lidé mají (4); lidský život (4); nebál postavit (4); navýšení rámci přesunu (4); téma dostupného (3); politické body (3); 80 lety (3); přibližně milionu (3); věřím budeme (3); jaké překvapení (3); snižuje dph (3); téma dostupného bydlení (3); snižuje dph pivo (3); rámci přesunu kapitoly (3); nevyřeší zavedení nového (3); zavedení nového mýtného (3); českých budějovic prahy (3); svolání výboru bezpečnost (3); zlaté české ručičky (3); alkoholu vodáků cyklistů (3); jeden lidský život (3); hrozeb výsledku voleb (3); výsledku voleb chceme (3); voleb chceme rozhodnout (3); velmi vysoké úrovni (3); pití alkoholu vodáků (3); navýšení rámci přesunu kapitoly (3); nevyřeší zavedení nového mýtného (3); zavedení nového mýtného systému (3); hybridních hrozeb výsledku voleb (3); hrozeb výsledku voleb chceme (3); výsledku voleb chceme rozhodnout (3); voleb chceme rozhodnout sami (3); nevyřeší zavedení nového mýtného systému (3); kontextu hybridních hrozeb výsledku voleb (3); hybridních hrozeb výsledku voleb chceme (3); hrozeb výsledku voleb chceme rozhodnout (3); výsledku voleb chceme rozhodnout sami (3); jednání bezpečnostního výboru (2); získat politické body (2); systém přidělování dotací (2); přidělování dotací děravější (2); dotací děravější než (2); musí okamžitá vzali (2); okamžitá vzali dotaci (2); vzali dotaci neoprávněně (2); dotaci neoprávněně musí (2); zlepšovat lidem firmám (2); dubna každoročně připomíná (2); každoročně připomíná začátek (2); připomíná začátek arménské (2)
jan-cizinsky,prahy 7 (33); praze 7 (32); jan čižinský (31); praha 7 (29); praze 1 (19); milí sousedé (17); srdečně vděčně (17); vděčně jan (17); srdečně vděčně jan (17); vděčně jan čižinský (17); srdečně vděčně jan čižinský (17); naše radní (13); než panda (13); panda zoo (13); víc než panda (13); než panda zoo (13); víc než panda zoo (13); životnímu prostředí (12); klimatické nouze (10); prahy sobě (9); hana třeštíková (9); udělat chybu (9); občanská společnost (9); práva víc (9); prahy 1 (9); lidská práva víc (9); práva víc než (9); lidská práva víc než (9); práva víc než panda (9); lidská práva víc než panda (9); práva víc než panda zoo (9); chybu budeme (8); památníku ticha (8); ticha bubnech (8); milena johnová (8); renata kropáčková (8); kropáčková moderátorka (8); naše radní kulturu (8); udělat chybu budeme (8); renata kropáčková moderátorka (8); sbírali podpisy (7); řeší naše (7); kulturu hana (7); třeštíková rádi (7); rádi bychom (7); bychom pomohli (7); pomohli propagací (7); sbírky abychom (7); abychom neomezili (7); neomezili slova (7); slova praze (7); praze pracujeme (7); pracujeme hýbeme (7); výstavištěm doplatilo (7); doplatilo také (7); nemůžeme udělat (7); pražské koalice (7); hlavní město (7); všem pražanům (7); celé zemi (7); úsporné spotřebiče (7); řeší naše radní (7); radní kulturu hana (7); kulturu hana třeštíková (7); hana třeštíková rádi (7); třeštíková rádi bychom (7); rádi bychom pomohli (7); bychom pomohli propagací (7); sbírky abychom neomezili (7); abychom neomezili slova (7)
