Entity,Community
Putin,0
Lukašenko,0
Zelenský,0
Trump,0
Asad,0
Zelenskyj,0
RF,0
Kreml,0
OBSE,0
Obama,0
Biden,0
Zemanovy,2
USA,0
Clintonová,0
Stoltenberg,0
Molotov,0
CIA,0
Muslimské bratrstvo,2
FSB,0
Tálibán,0
Starostové a nezávislí,3
Jarolím,3
Městský soud v Praze,4
Půta,3
Baxa,5
JMK,3
Adamec,3
Vystrčilem,6
Decroix,3
Goláň,7
Smoljak,3
Czernin,3
Martínek,7
Čižinský,3
Marvanová,3
Hilšer,3
Kulhánek,3
Drahoš,3
Senát,6
Červíček,3
Svěrák,3
Starostové,3
Hřib,4
Pražský hrad,4
Letiště Praha,4
Pražské plynárenské,4
Integrační centrum Praha,4
Nejvyšší správní soud,5
Nejvyšší soud,5
Praha 11,4
Kolovratník,3
Unucka,3
Vildumetzová,3
Kupka,3
Ženíšek,7
Čunka,3
Dušek,3
Čunek,3
Horáčka,7
Čížek,3
Khk,3
Vaňková,3
Štětina,7
Hanák,3
Vondrák,3
Mynář,5
Fischerová,3
NSZ,5
Udženija,7
Wagenknecht,5
Bláha,3
Gerloch,5
MK,7
Rychetský,5
Šarocha,5
Jermanová,3
Pavla,5
Topolánek,7
Vitásková,5
Bradáčová,5
MO,3
Asociace krajů,8
NSA,3
Vyhnánek,3
Němeček,3
MSK,3
Dickfeld,9
Čermák,9
Dopita,9
Pupava,9
Vostenak,9
Mitterwald,9
Běrský,9
Blaško,9
Bašta,9
Schmeidler,9
Jelínek,9
David,9
Pošarová,9
Hnutí SPD,9
Vašíček,9
SPD 10 Bc,9
Henner,9
Schubert,9
Paul,9
Lukeš,9
Rozvoral,9
Zahradníček,9
Š,2
Holík,9
MBA,9
Novotného,9
Pavel,7
Vícha,9
Taber,10
IT,9
gšt,9
Kocman,3
Hahnova,9
Asociace malých a středních podniků a živnostníků,8
Open Society Fund,2
Transparency International,2
ICP,2
Ferjenčíka,7
OPU,2
JCDecaux,7
Organizace na pomoc uprchlíkům,2
