Entity,Community
Bakalář,3
Navalnyj,3
Vostenak,8
Dopita,8
Juříček,11
Schmeidler,8
Semínko,3
Fridrich,3
Heydrich,3
Scruton,3
Stoltenberg,5
Hahnova,8
Mitterwald,8
Vašíček,8
Pošarová,8
Dickfeld,8
Schubert,8
Běrský,8
Lukeš,8
Pupava,8
Čermák,8
Tabery,8
Pavel,6
Henner,8
Janeček,7
Vícha,8
Jelínek,11
Zahradníček,8
Paul,8
Kobza,11
Bojko,11
Blažek,7
Grospič,11
Horáčka,9
Kolovratník,1
Koten,11
Gajdůšková,11
Kovář,6
Vitásková,12
Paroubek,13
Wagenknecht,12
Michálek,11
Kohlíček,6
Wollner,9
Rozner,11
Šlachta,0
Vácha,7
Švarc,3
Nováková,7
Štěpánek,7
Danna,15
Blaško,8
Krpálek,8
Beran,8
Dušek,7
Šmucler,7
Goláň,7
Červíček,1
Půta,1
Hilšer,7
Navrátil,7
Gabčík,3
Kubiš,3
Opletal,3
Boček,3
Horákovou,3
Holík,11
Rozvoral,11
David,8
Hrnčíř,11
Dienstbier,0
Chovanec,0
Poche,6
Topolánek,13
Stropnický,0
Kněžínek,0
Petříček,0
Chvojka,6
Šabatový,0
Špidla,13
Herman,6
Šmarda,0
Sobotka,0
Metnar,0
Valachová,6
Hamáček,6
Staněk,0
Pelikán,0
Fico,2
Zaorálek,0
Lipavský,12
Marksová,6
Šojdrová,6
Poc,6
Teličko,6
Onderka,6
Zdechovský,6
Sehnalová,6
Bartoška,6
Prouza,6
Keller,6
Charanzová,6
Kalouskův,13
Ryšavý,13
Kalousek,13
Nečas,13
Udženija,7
Hašek,7
Stanjura,13
Faltýnek,0
Rusnok,13
Plagu,0
Arenberger,0
Ťok,0
Kremlíka,0
Prymula,0
Blatný,0
Babiš,2
Hřib,9
Hlubuček,9
Gazdík,9
Scheinherr,1
Vokřál,1
Redl,9
Rakušan,9
Kraus,9
Kolář,9
Hlaváček,1
Marvanová,1
Vyhnánek,1
Kurzem,2
Pellegrini,2
kurz,2
Morawiecki,2
Michel,2
Danka,2
Szijjártó,2
Kiska,2
Matovič,2
Kramář,2
Orbán,2
Kingem,2
Conte,2
Mayová,2
von der Leyen,2
Weber,2
Timmermans,2
Zábranský,1
Adam,1
Hubáčková,1
Pekarová Adamová,9
Vojtěch,0
Jurečka,9
Dzurilla,0
Benda,7
Jarolím,1
Čižinský,9
Peksa,9
Kolaja,9
Gregorová,1
Vondra,2
Niedermayer,6
Decroix,1
Vaňková,1
Lipovský,1
Richterová,1
Bašta,11
Doležal,11
Atkinson,15
Veleba,11
Foldyna,11
Nos,15
Brichta,15
Bartošek,9
Valenta,7
Hyťhová,11
Čížek,1
Hampl,4
Jarošová,11
Rath,12
Skopeček,13
Prchal,13
Czernin,7
Bělobrádek,6
Soukup,13
Drahoš,7
Grosse,9
Schillerová,11
Síkela,0
Čunek,1
Rychetský,12
Winton,3
Zikmund,3
Chramostová,3
Pík,3
Palach,3
Opat,3
Švehla,3
Rašín,3
Hus,3
Filip,7
Jedlička,10
Kovanda,10
Hannan,10
Piketty,10
Farský,9
Maláčová,6
Michalik,9
Polčák,9
Zahradil,2
Vondrák,1
Baxa,12
Štětina,7
Ondráček,7
Ovčáček,13
Středula,7
Vystrčil,7
Růžička,7
Toman,0
Hnilička,0
Brabec,0
Vildumetzová,1
Havlíček,0
Kováčik,7
Šarocha,12
Mynář,12
Bradáčová,12
Pavla,7
Čunka,1
Gerloch,7
Kupka,1
Koudelku,7
Vondráček,7
Bek,12
Zeman,5
Havel,4
Klaus,4
Pithart,4
Husák,3
Klaus ml,4
Klaus ml.,4
Klausovi,4
Kulhánek,1
Švejk,3
Gottwald,3
Mitrofanov,13
Pospíšil,9
Krejčíř,9
Bobošíková,9
Šídlo,13
Bláha,7
Pokorný,7
Kuberův,7
Fischer,7
Smoljak,1
Nacher,7
Stehlík,7
Kroupa,9
Štěpán,7
Janda,7
Ferjenčík,9
Jágr,7
Dlabajová,6
Lukašenko,5
Asad,5
Kreml,5
Obama,5
Putin,5
Zelenský,5
Clintonová,5
Zelenskyj,5
Trump,5
Biden,5
Erdogan,5
Johnsonovi,2
May,2
Farage,2
Corbyn,2
Tusk,2
Hofer,15
Sassoli,2
Juncker,2
Macron,2
Merkelová,2
Jermanová,1
Sáblíková,1
Churchill,3
Gottovi,3
Čaputová,2
Novotného,8
Lenin,3
Marx,3
Jourová,2
Hitler,3
Šafránková,11
Jakl,11
Ježek,6
Le Pen,15
Wilderse,15
Salvini,15
Moravec,9
Komenského,3
Lhoťan,14
Sáňka,14
Diallo,14
Shehadeh,14
Soros,2
Bakala,7
Halík,0
Masaryk,3
Baťa,3
